2,cibicida,n,n-s---mn1-,cibicid,,,[kɪ.bɪˈkiː.da],cibicida,0
43142,i2979,iubatus,a,aps---mn1-,iubat iubat iubat,,,[jʊˈbaː.tʊs],iubatus,0
43168,m0789,merda,n,n-s---fn1-,mer - merit,,,[ˈmɛr.da],merda,0
43102,n0026,nardinus,a,aps---mn1-,nardin nardin nardin,,,['n̪ar.d̪ɪ.n̪ʊs],nardinus,0
43135,o0116,oblocutor,n,n-s---mn3-,oblocutor,,,[ɔ.'blɔ.kʊ.t̪ɔr],oblocutor,0
43160,p2992,praefiscini,r,rp--------,,,,[praj.'fɪs.kɪ.n̪ɪ],praefiscini,0
43149,q0091,quadruplus,a,aps---mn1-,quadrupl quadrupl quadrupl,,,[ˈkʷa.drʊ.pɫʊs],quadruplus,0
43121,r0060,rapiditas,n,n-s---fn3-,rapiditat,,,[raˈpɪ.dɪ.taːs],rapiditas,0
43099,t0727,tinus,n,n-s---fn2-,tin,,,['t̪ɪ.n̪ʊs],tinus,0
43104,t1424,triumuiratus,n,n-s---mn4-,triumuirat,,,[t̪rɪ̣.jʊ.'muj.ra.t̪ʊs],triumuiratus,0
43229,43229,adpotus,a,aps---mn1-,adpot adpot adpot,,,['ad̪.pɔ.t̪ʊs],adpotus,0
43237,43237,aeuiternus,a,aps---mn1-,aeuitern aeuitern aeuitern,,,[ewɪ.'t̪ɛr.n̪ʊs],aeuiternus,0
43224,43224,Lamyrus,n,n-s---mn2-,Lamyr,,,[ˈɫa.mʏ.rʊs],Lamyrus,0
43197,43197,auonculus,n,n-s---mn2-,auoncul,,,[a.'wɔŋ.kʊ.lʊs],auonculus,0
43208,43208,breuium,n,n-s---nn2-,breui,,,['brewɪ̣.jũː],breuium,0
43199,43199,buccino,v,v1spia--1-,buccin buccinau buccinat,,,[ˈbʊk.kɪ.noː],buccino,0
43222,43222,caperratus,a,aps---mn1-,caperrat caperrat caperrat,,,[ka.'pɛr.ra.t̪ʊs],caperratus,0
43212,43212,cenobita,n,n-s---fn1-,cenobi,,,[kɛ.'n̪ɔ.bɪ.t̪a],cenobita,0
43226,43226,corchoros,a,aps---an3-,corchor corchor corchor,,,['kɔr.kʰɔ.rɔs],corchoros,0
43170,43170,decoco,v,v1spia--3-,decoc decox decoct,,,[ˈdeː.kɔ.koː],decoco,0
43238,43238,depraedico,v,v1spia--1-,depraedic depraedicau depraedicat,,,[d̪ɛ.'pra.jd̪ɪ.kɔ],depraedico,0
43171,43171,esecutio,n,n-s---fn3-,esecution,,,[ɛ.sɛ.'kʊ.t̪ɪ̣.jɔ],esecutio,0
43176,a8036,aesum,n,n-s---nn2-,aes,,,['aj.sũː],aesum,0
43192,43192,gypsatus,n,n-s---mn4-,gyps,,,['gyp.sa.t̪ʊs],gypsatus,0
43209,43209,incunctanter,n,n-s---mn2r,incunctanter,,,[ɪŋ.kʊŋk.'t̪an̪.t̪ɛr],incunctanter,0
43203,43203,industrie,r,rp--------,industri,,,[ɪn̪.'d̪ʊs.t̪rɪ̣.jɛ],industrie,0
43187,43187,inlabefactus,a,aps---mn1-,inlabefact inlabefact inlabefact,,,[ɪ.n̪la.'bɛ.fa.kt̪ʊs],inlabefactus,0
43210,43210,lineatus,a,aps---mn1-,lineat lineat lineat,,,[liː.nɛˈaː.tʊs],lineatus,0
43191,43191,adornate,r,rp--------,,,,[a.'d̪ɔr.n̪a.t̪ɛ],adornate,0
43223,43223,metuendus,a,aps---mn1-,metuend metuend metuend,,,[mɛ.t̪ʊ.'jɛn̪.d̪ʊs],metuendus,0
43189,43189,mimice,r,rp--------,debatu debatu debatu,,,['mɪ.mɪ.kɛ],mimice,0
43198,43198,nazoreus,n,n-s---mn2-,nazore,,,['n̪az.zɔrews],nazoreus,0
43247,43247,pastoforius,n,n-s---mn2-,pastofori,,,[pas.t̪ɔ.'fɔ.rɪ̣.jʊs],pastoforius,0
43241,43241,pausea,n,n-s---fn1-,pause,,,['paw.sɛ̣.ja],pausea,0
43196,43196,primas,n,n-s---cn3-,primat primat primat,,,['prɪ.mas],primas,0
43174,43174,prospeculor,n,n-s---fn3-,prospecul - prospeculat,,,[prɔs.'pɛ.kʊ.lɔr],prospeculor,0
43215,43215,qur,r,rp--------,,,,,qur,0
43193,43193,seriosius,r,rp--------,,,,[sɛ.rɪ̣.'jɔ.sɪ̣.jʊs],seriosius,0
43211,43211,summorosus,a,aps---mn1-,summoros summoros summoros,,,[sʊ.'mmɔ.rɔ.sʊs],summorosus,0
43177,a1257,alabaster,n,n-s---mn2r,alabastr,,,[a.ɫaˈbas.tɛr],alabaster,0
43179,43179,adfectiose,r,rp--------,adfectiosius adfectiosissime,,,[ad̪.fɛk.'t̪ɪ̣.jɔ.sɛ],adfectiose,0
43178,a3148,assessio,n,n-s---fn3-,assession,,,[as.'sɛs.sɪ̣.jɔ],assessio,0
43214,b0169,basiolum,n,n-s---nn2-,basiol,,,[ba.'sɪ̣.jɔ.ɫũː],basiolum,0
43213,b0609,brattea,n,n-s---fn1-,bratte,,,/ˈbrat.te.a/,brattea,0
43227,c0551,caprinus,a,aps---mn1-,caprin caprin caprin,,,[kaˈpriː.nʊs],caprinus,0
43201,c0930,cauaticus,a,aps---mn1-,cauatic cauatic cauatic,,,[ka.'wa.t̪ɪ.kʊs],cauaticus,0
43190,c2675,comminatiuus,a,aps---mn1-,comminatiu comminatiu comminatiu,,,[kɔ.mmɪ.'n̪a.t̪ɪ.wʊs],comminatiuus,0
43181,c3443,connumeratio,n,n-s---fn3-,connumeration,,,[kɔn̪.n̪ʊ.mɛ.'ra.t̪ɪ̣.jɔ],connumeratio,0
43180,m0026,machinarius,n,n-s---mn2-,machinari,,,[maː.kʰɪˈnaː.ri.ʊs],machinarius,0
43186,c4291,credra,n,n-s---fn1-,credr,,,['krɛ.d̪ra],credra,0
43231,d1226,diagon,n,n-s---nn2-,diagon,,,['d̪ɪ̣.ja.gɔn̪],diagon,0
43172,d1316,diatretarius,n,n-s---mn2-,diatretari,,,[d̪ɪ̣.ja.t̪rɛ.'t̪a.rɪ̣.jʊs],diatretarius,0
43195,f0121,falisca,n,n-s---fn1-,falisc,,,[faˈlɪs.ka],falisca,0
43205,i0582,impluuium,n,n-s---nn2-,impluui,,,[ɪmˈpɫʊ.wi.ũ],impluuium,0
43244,i1082,incoronatus,a,aps---mn1-,incoronat incoronat incoronat,,,[ɪŋ.kɔ.'rɔ.n̪a.t̪ʊs],incoronatus,0
43217,i2754,inuulgo,v,v1spia--1-,inuulg inuulgau inuulgat,,,[ɪ.n̪ʊ.'jʊɫ.gɔ],inuulgo,0
43225,m0445,matella,n,n-s---fn1-,lam,,,[ma.'t̪ɛɫ.la],matella,0
43185,o0007,obaeratus,a,aps---mn1-,obaerat obaerat obaerat,,,[ɔ.bae̯ˈraː.tʊs],obaeratus,0
43240,p1534,perrogatio,n,n-s---fn3-,perrogation,,,[pɛr.rɔˈɡaː.ti.oː],perrogatio,0
43175,p2918,praediatorius,a,aps---mn1-,praediatori praediatori praediatori,,,[prae̯.di.aːˈtoː.ri.ʊs],praediatorius,0
43183,p3501,prelum,n,n-s---nn2-,prel,,,[ˈpreː.ɫũ],prelum,0
43219,r1508,rogatus,n,n-s---mn4-,rog,,,[rɔ.'gaː.t̪ʊs],rogatus,0
43234,u0649,uigintiuiratus,n,n-s---mn4-,uigintiuirat,,,[wɪ.gɪn̪.t̪ɪ.'wɪ.ra.t̪ʊs],uigintiuiratus,0
43235,u1274,urtica,n,n-s---fn1-,ur uss ust,,,[ʊrˈtiː.ka],urtica,0
43266,43266,annauigo,v,v1spia--1-,annauig annauigau annauigat,,27937,[anˈnaː.wɪ.ɡoː],annauigo,0
43339,i3025,iugum,n,n-s---nn2-,,,27938,[ˈjʊ.ɡũ],iugum,0
43313,43313,ammixtus,n,n-s---mn4-,ammixt,,,['a.mmɪ.kst̪ʊs],ammixtus,0
43334,43334,ammoderate,r,rp--------,,,,[a.mmɔ.'d̪ɛ.ra.t̪ɛ],ammoderate,0
43306,a1119,affundo,v,v1spia--3-,affund - affus,,,[afˈfʊn.doː],affundo,0
43253,43253,aquula,n,n-s---fn1-,aquul,,,['a.kʷʊ.la],aquula,0
43295,43295,biometria,n,n-s---fn1-,biometri,,,[bɪ̣.jɔ.'mɛ.t̪rɪ̣.ja],biometria,0
43285,43285,bubsequa,n,n-s---mn1-,bubsequ,,,[ˈbʊ.psɛ.kʷa],bubsequa,0
43296,a0006,abax,n,n-s---mn3-,abac,,,/ˈa.baks/,abax,0
43272,43272,cantenatus,a,aps---mn1-,cantenat cantenat cantenat,,,[kan̪.'t̪ɛ.n̪a.t̪ʊs],cantenatus,0
43335,43335,confractura,n,n-s---fn1-,confractur,,,['kɔːn̪frak.t̪ʊ.ra],confractura,0
43338,43338,conlacteus,n,n-s---mn2-,conlacte,,,['kɔ.n̪lakt̪ews],conlacteus,0
43282,43282,contrarie,n,n-p---mn1-,contrari,,,[kɔn̪.'t̪ra.rɪ̣.jɛ],contrarie,0
43309,43309,coquulum,n,n-s---nn2-,coquul,,,['kɔ.kʷʊ.ɫũː],coquulum,0
43326,43326,creatiuus,a,aps---mn1-,creatiu creatiu creatiu,,,[krɛ̣.'ja.t̪ɪ.wʊs],creatiuus,0
43283,43283,cuneatus,a,aps---mn1-,cuneat cuneat cuneat,,,[kʊ.'n̪ɛ̣.ja.t̪ʊs],cuneatus,0
43291,a1426,allino,v,v1spia--3-,allin allineu allinit,,,[ˈal.lɪ.noː],allino,0
43298,43298,dalia,n,n-s---fn1-,dali,,,['d̪a.lɪ̣.ja],dalia,0
43319,43319,decemuiraliter,r,rp--------,,,,[d̪ɛ.kɛ.muj.'ra.lɪ.t̪ɛr],decemuiraliter,0
43264,43264,accersitus,n,n-s---mn4-,accersit,,,[ak.'kɛr.sɪ.t̪ʊs],accersitus,0
43288,43288,desquamatum,n,n-s---nn2-,desquamat,,,[d̪ɛs.'kʷa.ma.t̪ũː],desquamatum,0
43268,43268,dicatus,a,aps---mn1-,dicat dicat dicat,,,['d̪ɪ.ka.t̪ʊs],dicatus,0
43315,43315,fabrile,n,n-s---nn3-,fabril,,,['fa.brɪ.lɛ],fabrile,0
43269,43269,insidiae,n,n-p---fn1-,insidi,,,[iːn̪.'sɪ.d̪ɪ̣.jaj],insidiae,0
43324,43324,iulius,n,n-s---mn2-,,,,[ˈjuː.li.ʊs],iulius,0
43322,43322,obsolete,r,rp--------,telegraph telegraphau telegraphat,,,[ɔp.'sɔ.lɛ.t̪ɛ],obsolete,0
43303,43303,postatus,a,aps---mn1-,postat postat postat,,,['pɔs.t̪a.t̪ʊs],postatus,0
43317,a1873,anancitis,n,n-s---fn3-,anancitid,,,[a.naŋˈkiː.tɪs],anancitis,0
43279,43279,rabiose,r,rp--------,rabios,,,[ra.'bɪ̣.jɔ.sɛ],rabiose,0
43278,43278,reuerberatio,n,n-s---fn3-,reuerberation,,,[rewɛr.bɛ.'ra.t̪ɪ̣.jɔ],reuerberatio,0
43307,43307,ultumus,a,aps---mn1-,ultum ultum ultum,,,['ʊɫ.t̪ʊ.mʊs],ultumus,0
43318,43318,unctus,a,aps---mn1-,unct unct unct,,,[ˈʊŋk.tʊs],unctus,0
43302,43302,Decuma,n,n-s---fn1-,Decum,,,['d̪ɛ.kʊ.ma],Decuma,0
43270,43270,actuose,r,rp--------,,,,[ak.'t̪ʊ.jɔ.sɛ],actuose,0
43299,a3562,aurigator,n,n-s---mn3-,aurigator,,,[aw.'rɪ.ga.t̪ɔr],aurigator,0
43286,c0248,callais,n,n-s---fn3-,callaid,,,[ˈkal.la.ɪs],callais,0
43292,c1301,cessim,r,rp--------,,,,['kɛssĩː],cessim,0
43254,c1416,chelidoniacus,a,aps---mn1-,chelidoniac chelidoniac chelidoniac,,,[kʰɛ.lɪ.d̪ɔ.'n̪ɪ̣.ja.kʊs],chelidoniacus,0
43327,c2621,commaticus,a,aps---mn1-,commatic commatic commatic,,,[kɔ.'mma.t̪ɪ.kʊs],commaticus,0
43297,c3000,concheus,a,aps---mn1-,conche conche conche,,,[ˈkɔŋ.kʰe.ʊs],concheus,0
43258,d0504,delaboro,v,v1spia--1-,delabor delaborau delaborat,,,[d̪ɛ.'la.bɔ.rɔ],delaboro,0
43265,e0125,effercio,v,v1spia--4-,efferc - effert,,,[ɛfˈfɛr.ki.oː],effercio,0
43250,f0567,fiscella,n,n-s---fn1-,fiscell,,,[fɪsˈkɛl.la],fiscella,0
43305,h0028,haedilla,n,n-s---fn1-,haedill,,,[haj.'d̪ɪɫ.la],haedilla,0
43331,i0371,immeritus,a,aps---mn1-,immerit immerit immerit,,,[ɪmˈmɛ.rɪ.tʊs],immeritus,0
43328,i0543,impigritas,n,n-s---fn3-,impigritat,,,[ɪm.'pɪ.grɪ.t̪as],impigritas,0
43263,i2030,insilio,v,v1spia--4-,insil insilu -,,,[ĩːˈsɪ.li.oː],insilio,0
43255,n0037,narratiuncula,n,n-s---fn1-,narratiuncul,,,[n̪ar.ra.t̪ɪ̣.'jʊŋ.kʊ.la],narratiuncula,0
43293,p0883,peragratio,n,n-s---fn3-,peragration,,,[pɛ.ra.'gra.t̪ɪ̣.jɔ],peragratio,0
43290,p1018,perdignus,a,aps---mn1-,perdign perdign perdign,,,[pɛrˈdɪŋ.nʊs],perdignus,0
43333,p2140,piscarius,n,n-s---mn2-,piscari,,,[pɪsˈkaː.ri.ʊs],piscarius,0
43304,p3690,pisculentum,n,n-s---nn2-,pisculent,,,[pɪs.kʊ.'lɛn̪.t̪ũː],pisculentum,0
43249,p3110,praemetuo,v,v1spia--3-,praemetu - -,,,[praj.'mɛ.t̪ʊ.jɔ],praemetuo,0
43275,p4629,putus,a,aps---mn1-,put put put,,,[ˈpʊ.tʊs],putus,0
43316,s0610,sceptuchus,n,n-s---mn2-,sceptuch,,,['skɛp.t̪ʊ.kʰʊs],sceptuchus,0
43380,43380,parapsis,n,n-s---fn3-,parapsid,,27939,[pa.'rap.sɪs],parapsis,0
43340,43340,anticonuulsiuum,n,n-s---nn2-,anticonuulsiu,,,[an̪.t̪ɪ.kɔ.n̪ʊ.'jʊɫ.sɪ.wũː],anticonuulsiuum,0
43396,43396,apstinax,a,aps---an3-,apstinac apstinac apstinac,,,['aps.t̪ɪ.n̪aks],apstinax,0
43362,43362,blouetum,n,n-s---nn2-,blouet,,,['blɔ.wɛ.t̪ũː],blouetum,0
43410,43410,caduceus,n,n-s---mn2-,caduce,,,[kaːˈduː.ke.ʊs],caduceus,0
43398,43398,caencenatio,n,n-s---fn3-,caencenation,,,[kajŋ.kɛ.'n̪a.t̪ɪ̣.jɔ],caencenatio,0
43359,43359,cappellania,n,n-s---fn1-,cappellani,,,[kap.pɛɫ.'la.n̪ɪ̣.ja],cappellania,0
43356,43356,conpasco,v,v1spia--3-,conpasc conpau conpast,,,[kɔn̪.'pas.kɔ],conpasco,0
43376,43376,conpressus,a,aps---mn1-,conpress conpress conpress,,,['kɔn̪.prɛ.ssʊs],conpressus,0
43399,43399,deacinatus,a,aps---mn1-,deacinat deacinat deacinat,,,[d̪ɛ̣.ja.'kɪ.n̪a.t̪ʊs],deacinatus,0
43354,43354,delinitor,n,n-s---mn3-,delinitor,,,[d̪ɛ.'lɪ.n̪ɪ.t̪ɔr],delinitor,0
43347,43347,dianome,r,rp--------,dianom,,,[d̪ɪ̣.'ja.n̪ɔ.mɛ],dianome,0
43390,43390,dilancinatus,a,aps---mn1-,dilancinat dilancinat dilancinat,,,[d̪ɪ.laŋ.'kɪ.n̪a.t̪ʊs],dilancinatus,0
43406,43406,exemplaritas,n,n-s---fn3-,exemplaritat,,,[ɛk.sɛm.'pla.rɪ.t̪as],exemplaritas,0
43386,,reliquus,n,n-s---mn2-,reliqu,,,[ˈrɛ.lɪ.kʷʊs],reliquus,0
43415,43415,fractus,a,aps---mn1-,anxi anxi anxi,,,['frak.t̪ʊs],fractus,0
43351,43351,incardinatio,n,n-s---fn3-,incardination,,,[ɪŋ.kar.d̪ɪ.'n̪a.t̪ɪ̣.jɔ],incardinatio,0
43371,43371,inlicitator,n,n-s---mn3-,inlicitator,,,[ɪ.n̪lɪ.'kɪ.t̪a.t̪ɔr],inlicitator,0
43412,43412,inluuies,n,n-s---fn5-,inluui,,,[ɪ.'n̪lʊ.jʊ.jjɛs],inluuies,0
43411,d1452,diiugatio,n,n-s---fn3-,di,,,[d̪ɪj.jʊ.'ga.t̪ɪ̣.jɔ],diiugatio,0
43357,a2750,arcuarius,n,n-s---mn2-,arcuari,,,[ar.kʊˈaː.ri.ʊs],arcuarius,0
43341,43341,massuerius,n,n-s---mn2-,massueri,,,[mas.sʊ.'jɛ.rɪ̣.jʊs],massuerius,0
43409,43409,naturo,v,v1spia--1-,natur naturau naturat,,,['n̪a.t̪ʊ.rɔ],naturo,0
43369,43369,pasca,n,n-s---fn1-,pasc,,,['pas.ka],pasca,0
43361,43361,prodigialiter,r,rp--------,,,,[prɔ.d̪ɪ.gɪ̣.'ja.lɪ.t̪ɛr],prodigialiter,0
43377,43377,psittaca,n,n-s---fn1-,psittac,,,['psɪt̪.t̪a.ka],psittaca,0
43385,43385,psychoanalysta,n,n-s---fn1-,psychoanalyst,,,[psy.kʰɔ.ja.n̪a.'lys.t̪a],psychoanalysta,0
43404,43404,saccharinum,n,n-s---nn2-,saccharin,,,[sak.'kʰa.rɪ.n̪ũː],saccharinum,0
43383,43383,uolitus,a,aps---mn1-,uolit uolit uolit,,,['wɔ.lɪ.t̪ʊs],uolitus,0
43400,t0109,tapes,n,n-s---mn3-,tapet,,,/ˈta.peːs/,tapes,0
43416,43416,amplificator,n,n-s---fn3-,amplificator,,,[am.plɪ.'fɪ.ka.t̪ɔr],amplificator,0
43355,c0677,carniuorus,a,aps---mn1-,carniuor carniuor carniuor,,,[karˈnɪ.wɔ.rʊs],carniuorus,0
43384,c1261,cerritus,a,aps---mn1-,cerrit cerrit cerrit,,,[kɛrˈriː.tʊs],cerritus,0
43395,c2184,coactio,n,n-s---fn3-,coaction,,,[kɔ.'jak.t̪ɪ̣.jɔ],coactio,0
43348,c2616,commaritus,n,n-s---mn2-,commarit,,,[kɔ.'mma.rɪ.t̪ʊs],commaritus,0
43352,c2776,compagino,v,v1spia--1-,compagin compaginau compaginat,,,[kɔm.'pa.gɪ.n̪ɔ],compagino,0
43388,c4602,cumulatio,n,n-s---fn3-,cumulation,,,[kʊ.mʊ.'la.t̪ɪ̣.jɔ],cumulatio,0
43402,d0305,dedecorus,a,aps---mn1-,dedecor dedecor dedecor,,,[d̪ɛ.'d̪ɛ.kɔ.rʊs],dedecorus,0
43350,d1404,diffluo,v,v1spia--3-,difflu difflux diffluct,,,[ˈdɪf.fɫʊ.oː],diffluo,0
43368,d1709,discessio,n,n-s---fn3-,discession,,,[d̪ɪs.'kɛs.sɪ̣.jɔ],discessio,0
43372,e0400,emaneo,v,v1spia--2-,eman emans emans,,,/eːˈma.ne.oː/,emaneo,0
43345,e1026,eualidus,a,aps---mn1-,digital digital digital,,,['ewa.lɪ.d̪ʊs],eualidus,0
43391,m1834,mussito,v,v1spia--1-,mussit mussitau mussitat,,,[ˈmʊs.sɪ.toː],mussito,0
43342,n0559,nouamen,n,n-s---nn3-,nouamin,,,['n̪ɔ.wa.mɛn̪],nouamen,0
43378,p1043,perducto,v,v1spia--1-,perduct perductau perductat,,,[pɛr.'d̪ʊk.t̪ɔ],perducto,0
43358,p1252,perinuitus,a,aps---mn1-,perinuit perinuit perinuit,,,[pɛ.rɪ.'n̪uj.t̪ʊs],perinuitus,0
43365,p1279,peristeron,n,n-s---mn3-,peristeron,,,[pɛ.'rɪs.t̪ɛ.rɔn̪],peristeron,0
43413,p2724,posticulum,n,n-s---nn2-,posticul,,,[pɔs.'t̪ɪ.kʊ.ɫũː],posticulum,0
43373,p3028,praegnatio,n,n-s---fn3-,praegnation,,,[prajŋ.'n̪a.t̪ɪ̣.jɔ],praegnatio,0
43408,p4440,puleium,n,n-s---nn2-,pulei,,,['pʊɫ.ejũː],puleium,0
43394,a1785,ampullarius,n,n-s---mn2-,ampullari,,,[am.pʊɫ.'la.rɪ̣.jʊs],ampullarius,0
43366,s0485,saxificus,a,aps---mn1-,saxific saxific saxific,,,[sak.'sɪ.fɪ.kʊs],saxificus,0
43364,s2935,sublica,n,n-s---fn1-,sublic,,,[ˈsʊ.blɪ.ka],sublica,0
43353,t0685,tignum,n,n-s---nn2-,tign,,,[ˈtiːŋ.nũ],tignum,0
43420,43420,adgaudeo,v,v1spia--2-,adgaud - -,,27942,/adˈɡau̯.de.oː/,adgaudeo,0
43470,43470,adtondeo,v,v1spia--2-,adtond adtond adtons,,27940,[atˈtɔn.de.oː],adtondeo,0
43498,p2461,polium,n,n-s---nn2-,poli,,27941,[ˈpɔ.li.ũ],polium,0
43482,43482,adiunctus,a,aps---mn1-,accusatric accusatric accusatric,,,[adˈjʊŋk.tʊs],adiunctus,0
43419,43419,ampeloeuce,n,n-s---nn3-,ampeloeuc,,,[am.'pɛɫew.kɛ],ampeloeuce,0
43496,43496,arutaena,n,n-s---fn1-,arutaen,,,[a.rʊ.'t̪aj.n̪a],arutaena,0
43437,43437,auellanus,a,aps---mn1-,auellan auellan auellan,,,[a.'wɛɫ.la.n̪ʊs],auellanus,0
43476,43476,baiolus,n,n-s---mn2-,bai,,,['baj.jɔ.lʊs],baiolus,0
43481,a0327,accusatrix,n,n-s---fn3-,accusatric,,,/ak.kuːˈsaː.triːks/,accusatrix,0
43440,43440,calligo,v,v1spia--1-,callig calligau calligat,,,['kaɫ.lɪ.gɔ],calligo,0
43445,43445,clatra,n,n-s---fn1-,clatr,,,['kla.t̪ra],clatra,0
43490,43490,clusura,n,n-s---fn1-,clusur,,,['klʊ.sʊ.ra],clusura,0
43493,43493,collacticia,n,n-s---fn1-,collactici,,,[kɔɫ.lak.'t̪ɪ.kɪ̣.ja],collacticia,0
43429,43429,colligate,r,rp--------,,,,[kɔɫ.'lɪ.ga.t̪ɛ],colligate,0
43487,43487,confractorium,n,n-s---nn2-,confractori,,,[kɔːn̪frak.'t̪ɔ.rɪ̣.jũː],confractorium,0
43457,43457,connubium,n,n-s---nn2-,connubi,,,[kɔn̪.'n̪ʊ.bɪ̣.jũː],connubium,0
43468,43468,conseruatorium,n,n-s---nn2-,conseruatori,,,[kɔːn̪sɛ.rʊ.ja.'t̪ɔ.rɪ̣.jũː],conseruatorium,0
43478,43478,cupitus,n,n-s---mn4-,cupit,,,['kʊ.pɪ.t̪ʊs],cupitus,0
43442,43442,dartos,a,aps---an3-,dart dart dart,,,['d̪ar.t̪ɔs],dartos,0
43444,43444,donec,r,rp--------,chorag,,,[ˈdoː.nɛk],donec,0
43458,43458,duouir,n,n-s---mn2r,duouir,,,['d̪ʊ.jɔ.wɪr],duouir,0
43471,43471,etiamsi,r,rp--------,adtond adtond adtons,,,[ɛ.tɪˈãː.siː],etiamsi,0
43475,43475,facinerosus,n,n-s---mn2-,faci,,,[fa.kɪ.nɛˈroː.sʊs],facinerosus,0
43451,43451,fugiendus,a,aps---mn1-,brac brac brac,,,[fʊ.gɪ̣.'jɛn̪.d̪ʊs],fugiendus,0
43497,43497,generilitas,n,n-s---fn3-,generilitat,,,[gɛ.n̪ɛ.'rɪ.lɪ.t̪as],generilitas,0
43488,43488,groccio,v,v1spia--1-,grocc - -,,,['grɔk.kɪ̣.jɔ],groccio,0
43452,43452,hissopus,n,n-s---mn2-,hissop,,,['hɪs.sɔ.pʊs],hissopus,0
43422,43422,indirectus,a,aps---mn1-,indirect indirect indirect,,,[ɪn̪.d̪ɪ.'rɛk.t̪ʊs],indirectus,0
43453,43453,indissolubiliter,r,rp--------,,,,[ɪn̪.d̪ɪs.sɔ.lʊ.'bɪ.lɪ.t̪ɛr],indissolubiliter,0
43483,43483,latinitas,n,n-s---fn3-,latinitat,,,[la.'t̪ɪ.n̪ɪ.t̪as],latinitas,0
43456,43456,ordinabiliter,r,rp--------,,,,[ɔr.d̪ɪ.n̪a.'bɪ.lɪ.t̪ɛr],ordinabiliter,0
43433,43433,palaestrice,r,rp--------,,,,/paˈlaɪs.tri.keː/,palaestrice,0
43426,43426,parametrum,n,n-s---nn2-,parametr,,,[pa.'ra.mɛ.t̪rũː],parametrum,0
43441,43441,politus,a,aps---mn1-,polit polit polit,,,['pɔ.lɪ.t̪ʊs],politus,0
43455,43455,uolitio,n,n-s---fn3-,uolition,,,[wɔ.'lɪ.t̪ɪ̣.jɔ],uolitio,0
43460,43460,actarius,n,n-s---mn2-,actari,,,[ak.'t̪a.rɪ̣.jʊs],actarius,0
43495,a1134,agellulus,n,n-s---mn2-,agellul,,,[a.'gɛɫ.lʊ.lʊs],agellulus,0
43492,a1339,alga,n,n-s---fn1-,alg,,,[ˈaɫ.ɡa],alga,0
43449,a1512,altiliarius,n,n-s---mn2-,altiliari,,,[aɫ.t̪ɪ.lɪ̣.'ja.rɪ̣.jʊs],altiliarius,0
43462,a3150,assessorius,a,aps---mn1-,assessori assessori assessori,,,[as.sɛs.'sɔ.rɪ̣.jʊs],assessorius,0
43491,b0157,basilicum,n,n-s---nn2-,basilic,,,[baˈsɪ.lɪ.kũ],basilicum,0
43434,b0489,blendius,n,n-s---mn2-,blendi,,,['blɛn̪.d̪ɪ̣.jʊs],blendius,0
43467,c0766,castellatim,r,rp--------,,,,[kas.'t̪ɛɫ.lat̪ĩː],castellatim,0
43443,c1485,choragus,n,n-s---mn2-,chorag,,,['kʰɔ.ragʷs],choragus,0
43477,c2549,colymbas,n,n-s---fn3-,colymbad,,,[kɔ.'lym.bas],colymbas,0
43436,e1385,excudo,v,v1spia--3-,excud excud excus,,,[ɛkˈskuː.doː],excudo,0
113731,i1104,incredibilitas,n,n-s---fn3-,incredibilitat,,,[ɪŋ.krɛ.d̪ɪ.'bɪ.lɪ.t̪as],incredibilitas,0
43472,i1846,innumerabilitas,n,n-s---fn3-,innumerabilitat,,,[ɪn̪.n̪ʊ.mɛ.ra.'bɪ.lɪ.t̪as],innumerabilitas,0
43473,l1060,lotium,n,n-s---nn2-,loti,,,[ˈɫoː.ti.ũ],lotium,0
43466,m9996,mandatus,n,n-s---mn4-,mandat,,,['man̪.d̪a.t̪ʊs],mandatus,0
43430,p1196,perhorreo,v,v1spia--2-,perhorr perhorru perhorrit,,,[pɛrˈhɔr.re.oː],perhorreo,0
43427,p4276,psaltria,n,n-s---fn1-,psaltri,,,['psaɫ.t̪rɪ̣.ja],psaltria,0
43499,r7048,rictum,n,n-s---nn2-,rict,,,['rɪk.t̪ũː],rictum,0
43489,s3427,sullaturio,v,v1spia--4-,sullatur - -,,,[sʊl.laːˈtʊ.ri.oː],sullaturio,0
43425,t0011,tabernarius,n,n-s---mn2-,tabernari,,,[ta.bɛrˈnaː.ri.ʊs],tabernarius,0
43446,t1260,trifur,n,n-s---mn3-,trifur,,,['t̪rɪ.fʊr],trifur,0
43567,43567,percio,v,v1spia--4-,perci - -,,27943,[ˈpɛr.ki.oː],percio,0
43580,43580,adtribulo,v,v1spia--1-,adtribul adtribulau adtribulat,,27944,[atˈdrɪ.bʊ.ɫoː],adtribulo,0
43573,43573,ammugio,v,v1spia--4-,ammug - -,,,[a.'mmʊ.gɪ̣.jɔ],ammugio,0
43574,43574,annexus,a,aps---mn1-,annex annex annex,,,[an̪.'n̪ɛk.sʊs],annexus,0
43510,43510,antidhac,r,rp--------,,,,[an̪.'t̪ɪd̪.hak],antidhac,0
43555,43555,astrictus,a,aps---mn1-,astrict astrict astrict,,,['as.t̪rɪ.kt̪ʊs],astrictus,0
43583,43583,biologus,n,n-s---mn2-,biolog,,,[bɪˈɔ.ɫɔ.ɡʊs],biologus,0
