id,uri,lemma,pos,morpho,principal_parts,prosody,validated
23275,f0260,fatigo,v,v1spia--1-,fatig fatigau fatigat,fatigo,1
23230,f0070,facundus,a,aps---mn1-,facund facund facund,facundus,1
23284,f0275,fauilla,n,n-s---fn1-,fauill,fauilla,1
23285,f0281,fauisor,n,n-s---mn3-,fauisor,fauisor,1
23262,f0221,fas,n,n-s---n---,fas,fas,1
23287,f0283,fauor,n,n-s---mn3-,fauor,fauor,1
23297,f0343,femina,n,n-s---fn1-,femin,femina,1
23288,f0300,fauus,n,n-s---mn2-,fau,fauus,1
102710,102710,antiscorodon,n,n-s---nn2-,antiscorod,antiscorodon,0
23289,f0301,fax,n,n-s---fn3-,fac,fax,1
23291,f0319,fecundus,a,aps---mn1-,fecund fecund fecund,fecundus,1
23292,f0320,fel,n,n-s---nn3-,fell,fel,1
23294,f0322,felicitas,n,n-s---fn3-,felicitat,felicitas,1
23254,23254,fandus,a,aps---mn1-,fand fand fand,fandus,1
23296,f0341,femella,n,n-s---fn1-,femell,femella,1
23299,f0346,femininus,a,aps---mn1-,feminin feminin feminin,femininus,1
23300,f0347,femur,n,n-s---nn3-,femor,femur,1
23304,f0360,ferculum,n,n-s---nn2-,fercul,ferculum,1
23305,f0361,fere,r,rp--------,,fere,1
23306,f0370,ferio,v,v1spia--4-,fer - ferit,ferio,1
23307,f0371,feritas,n,n-s---fn3-,feritat,feritas,1
23309,f0381,fermentum,n,n-s---nn2-,ferment,fermentum,1
23277,23277,fatue,r,rp--------,fatu,fatue,1
23229,f0067,facundia,n,n-s---fn1-,facundi,facundia,1
23286,23286,Fauonius,n,n-s---mn2-,Fauoni,Fauonius,1
23302,23302,fenus,n,n-s---nn3-,fenor,fenus,1
23308,23308,ferme,r,rp--------,,ferme,1
23280,23280,Fauna,n,n-s---fn1-,Faun,Fauna,1
120092,120092,oxymel,n,n-s---nn3-,oxymell,oxymel,0
23314,f0406,ferrumino,v,v1spia--1-,ferrumin ferruminau ferruminat,ferrumino,1
23328,f0433,festino,v,v1spia--1-,festin festinau festinat,festino,1
23316,f0408,fertilitas,n,n-s---fn3-,fertilitat,fertilitas,1
23318,f0413,feruefacio,v,v1spia--3i,feruefac feruefec feruefact,feruefacio,1
23340,f0488,fideiussor,n,n-s---mn3-,fideiussor,fideiussor,1
23321,f0415,feruidus,a,aps---mn1-,feruid feruid feruid,feruidus,1
23313,f0404,ferrumen,n,n-s---nn3-,ferrumin,ferrumen,1
23317,f0416,ferula,n,n-s---fn1-,ferul,ferula,1
23322,f0421,feruor,n,n-s---mn3-,feruor,feruor,1
23323,f0426,fessus,a,aps---mn1-,fess fess fess,fessus,1
23355,f0539,filix,n,n-s---fn3-,filic,filix,1
23329,f0432,festinus,a,aps---mn1-,festin festin festin,festinus,1
102714,102714,antispasticus,a,aps---mn1-,antispastic antispastic antispastic,antispasticus,0
23330,f0435,festiuitas,n,n-s---fn3-,festiuitat,festiuitas,1
23331,f0438,festuca,n,n-s---fn1-,festuc,festuca,1
23333,f0456,fetus,a,aps---mn1-,fet fet fet,fetus,1
23332,f0456,fetus,n,n-s---mn4-,fet,fetus,1
23334,f0457,fiber,n,n-s---mn2r,fibr,fiber,1
23336,f0460,fibula,n,n-s---fn1-,fibul,fibula,1
23357,f0545,fimum,n,n-s---nn2-,fim,fimum,1
23339,f0482,ficus,n,n-s---cn2-,fic,ficus,1
23342,f0492,fidelitas,n,n-s---fn3-,fidelitat,fidelitas,1
23324,23324,festinanter,r,rp--------,festinant,festinanter,1
23347,f0507,fidus,a,aps---mn1-,fid fid fid,fidus,1
23348,f9511,figmentum,n,n-s---nn2-,figment,figmentum,1
23349,f0512,figo,v,v1spia--3-,fig fix fix,figo,1
23350,f0517,figulus,n,n-s---mn2-,figul,figulus,1
23351,f0518,figura,n,n-s---fn1-,figur,figura,1
23353,f0528,filia,n,n-s---fn1-,fili,filia,1
23354,f0538,filius,n,n-s---mn2-,fili,filius,1
23356,f0541,filum,n,n-s---nn2-,fil,filum,1
23358,f0546,findo,v,v1spia--3-,find fid fiss,findo,1
23359,f0548,fingo,v,v1spia--3-,fing fix finct,fingo,1
23362,f0553,finitio,n,n-s---fn3-,finition,finitio,1
23364,f0558,firmamen,n,n-s---nn3-,firmamin,firmamen,1
23366,f0561,firmitas,n,n-s---fn3-,firmitat,firmitas,1
23368,f0562,firmitudo,n,n-s---fn3-,firmitudin,firmitudo,1
23370,f0564,firmus,a,aps---mn1-,firm firm firm,firmus,1
23372,f0577,fistula,n,n-s---fn1-,fistul,fistula,1
23373,f0601,flagello,v,v1spia--1-,flagell flagellau flagellat,flagello,1
23327,23327,festinato,r,rp--------,festinat,festinato,1
23374,f0602,flagellum,n,n-s---nn2-,flagell,flagellum,1
23375,f0603,flagitatio,n,n-s---fn3-,flagitation,flagitatio,1
23376,f0607,flagitium,n,n-s---nn2-,flagiti,flagitium,1
23379,f0613,flagro,v,v1spia--1-,flagr flagrau flagrat,flagro,1
23380,f0614,flagrum,n,n-s---nn2-,flagr,flagrum,1
23382,f0623,flamma,n,n-s---fn1-,flamm,flamma,1
23384,f0630,flammidus,a,aps---mn1-,flammid flammid flammid,flammidus,1
23386,f0635,flammiger,a,aps---mn1r,flammiger flammiger flammiger,flammiger,1
113074,i0333,imitatorius,a,aps---mn1-,imitatori imitatori imitatori,imitatorius,0
23320,f0414,ferueo,v,v1spia--2-,feru feru -,ferueo,1
23337,23337,ficte,r,rp--------,,ficte,1
23338,23338,fictus,a,aps---mn1-,fict fict fict,fictus,1
23343,23343,fideliter,r,rp--------,fidel,fideliter,1
23312,f0403,ferrum,n,n-s---nn2-,ferr,ferrum,1
23367,23367,firmiter,r,rp--------,firm,firmiter,1
102715,a2260,antispastus,n,n-s---mn2-,antispast,antispastus,0
23392,f9207,fletus,n,n-s---mn4-,flet,fletus,1
23393,f0664,flexanimus,a,aps---mn1-,flexanim flexanim flexanim,flexanimus,1
23394,f0667,flexibilitas,n,n-s---fn3-,flexibilitat,flexibilitas,1
23395,f9208,flexus,n,n-s---mn4-,flex,flexus,1
23396,f0679,flo,v,v1spia--1-,fl fleu flet,flo,1
23399,f9910,floresco,v,v1spia--3-,floresc - -,floresco,1
23400,f0703,flos,n,n-s---mn3-,flor,flos,1
23401,f0711,fluctio,n,n-s---fn3-,fluction,fluctio,1
23404,f9719,fluentum,n,n-s---nn2-,fluent,fluentum,1
23406,f0725,flumen,n,n-s---nn3-,flumin,flumen,1
23407,f0730,fluo,v,v1spia--3-,flu flux flux,fluo,1
23408,f1195,fluuius,n,n-s---mn2-,fluui,fluuius,1
23409,f0753,focaria,n,n-s---fn1-,focari,focaria,1
23411,f0754,foculus,n,n-s---mn2-,focul,foculus,1
23412,f0755,focus,n,n-s---mn2-,foc,focus,1
23413,f0757,fodina,n,n-s---fn1-,fodin,fodina,1
23414,f0758,fodio,v,v1spia--3i,fod fod foss,fodio,1
23415,f0759,foedero,v,v1spia--1-,foeder foederau foederat,foedero,1
23416,f0761,foeditas,n,n-s---fn3-,foeditat,foeditas,1
23417,f0762,foedo,v,v1spia--1-,foed foedau foedat,foedo,1
23419,f0768,foetor,n,n-s---mn3-,foetor,foetor,1
23420,f0626,folium,n,n-s---nn2-,foli,folium,1
23423,f0794,fomentum,n,n-s---nn2-,foment,fomentum,1
23426,f0807,foramen,n,n-s---nn3-,foramin,foramen,1
23427,f0812,foras,r,rp--------,,foras,1
23430,f0826,foricula,n,n-s---fn1-,foricul,foricula,1
23432,f0831,foris,r,rp--------,,foris,1
23434,f0840,formica,n,n-s---fn1-,formic,formica,1
23436,f0851,formido,v,v1spia--1-,formid formidau formidat,formido,1
102716,a2261,antispecto,v,v1spia--1-,antispect antispectau antispecta,antispecto,0
23438,f0857,formo,v,v1spia--1-,form formau format,formo,1
23440,f0863,formula,n,n-s---fn1-,formul,formula,1
23441,f0870,fornax,n,n-s---fn3-,fornac,fornax,1
23442,f0873,fornicatio,n,n-s---fn3-,fornication,fornicatio,1
23443,f0874,fornicator,n,n-s---mn3-,fornicator,fornicator,1
23444,f0875,fornicatrix,n,n-s---fn3-,fornicatric,fornicatrix,1
120099,120099,oxysaccharum,n,n-s---nn2-,oxysacchar,oxysaccharum,0
23447,f0880,forpex,n,n-s---fn3-,forpic,forpex,1
23449,23449,forsan,r,rp--------,,forsan,1
23448,f0881,fors,n,n-s---fn3-,fort,fors,1
23428,f0814,forceps,n,n-s---fn3-,forcip,forceps,1
23450,23450,forsit,r,rp--------,,forsit,1
23458,f0891,fortitudo,n,n-s---fn3-,fortitudin,fortitudo,1
23451,23451,forsitan,r,rp--------,,forsitan,1
23452,23452,fortasse,r,rp--------,,fortasse,1
23460,f0895,fortuna,n,n-s---fn1-,fortun,fortuna,1
23453,23453,fortassis,r,rp--------,,fortassis,1
23454,23454,forte,r,rp--------,fort,forte,1
23457,23457,fortiter,r,rp--------,fort,fortiter,1
23459,23459,fortuito,r,rp--------,,fortuito,1
23461,23461,fortunatus,a,aps---mn1-,fortunat fortunat fortunat,fortunatus,1
23446,f0878,fornix,n,n-s---mn3-,fornic,fornix,1
23462,f0900,forum,n,n-s---nn2-,for,forum,1
23463,f0732,fossa,n,n-s---fn1-,foss,fossa,1
113075,i9856,imitatus,n,n-s---mn4-,imitat,imitatus,0
23391,f0662,fleo,v,v1spia--2-,fl fleu flet,fleo,1
23388,f9206,flatus,n,n-s---mn4-,flat,flatus,1
23435,f0852,formido,n,n-s---fn3-,formidin,formido,1
120106,120106,ozaenosus,a,aps---mn1-,ozaenos ozaenos ozaenos,ozaenosus,0
23469,f0925,fragilitas,n,n-s---fn3-,fragilitat,fragilitas,1
