id,lemma,synset,period,genre,notes
704,133205,180590,,,
705,133201,175725,,,
706,133201,180791,,,
707,133191,180219,,,
709,133286,176316,,,
710,27064,142855,,,
711,133270,176678,,,
712,20849,116899,,,
713,20849,124586,,,
714,20849,120855,,,
715,20849,120382,,,
716,20849,116351,,,
717,53484,116899,,,
718,53484,167876,,,
719,53484,124107,,,
720,53484,211254,,,
721,53484,211255,,,
722,25182,124586,,,
723,27211,141441,,,
724,27211,141442,,,
725,27211,204559,,,
726,21130,126071,,,
727,21130,127291,,,
728,29054,156409,,,
730,20366,108435,,,
731,20366,130158,,,
732,97760,211301,,,
733,22708,141121,,,
734,22708,142465,,,
735,22708,162629,,,
736,22708,141126,,,
737,22708,142859,,,
738,22708,162636,,,
739,22708,162637,,,
740,22708,162641,,,
741,22708,142322,,,
742,23842,177570,,,
743,23842,177577,,,
744,23842,177579,,,
745,23842,169363,,,
746,23842,177493,,,
747,23403,152393,,,
748,23403,137354,,,
749,23403,165853,,,
751,20268,178950,,,
752,20268,169735,,,
753,20268,175753,,,
754,20268,180876,,,
755,20268,176525,,,
756,20268,169615,,,
757,20268,174236,,,
758,20268,172573,,,
759,20268,173088,,,
760,20268,178592,,,
761,20268,178595,,,
762,20268,178596,,,
763,20268,178600,,,
764,20268,171820,,,
765,20268,176943,,,
766,20268,175920,,,
767,20268,173617,,,
768,20268,172213,,,
769,20268,171958,,,
770,20268,177080,,,
772,20268,177081,,,
773,20268,181306,,,
774,20268,170812,,,
775,20268,169920,,,
776,20268,176194,,,
777,20268,178117,,,
932,22455,137668,,,
778,20268,178118,,,
779,20268,179659,,,
780,20268,181199,,,
781,20268,171601,,,
782,20268,179027,,,
783,20268,169560,,,
784,20268,178137,,,
785,20268,179035,,,
786,20268,175452,,,
787,20268,169820,,,
788,20268,179038,,,
789,20268,179682,,,
790,20268,169704,,,
791,20268,169834,,,
792,20268,174314,,,
793,20268,169836,,,
794,20268,175600,,,
795,20268,172020,,,
796,20268,173816,,,
797,20268,180220,,,
798,21148,169730,,,
799,21148,175075,,,
800,21148,179268,,,
801,21148,179269,,,
802,21148,178409,,,
803,21148,179081,,,
804,21148,181132,,,
805,21148,178236,,,
806,21148,170991,,,
807,21148,170994,,,
808,21148,178228,,,
809,21148,170997,,,
810,21148,174263,,,
811,21148,174428,,,
812,19243,126209,,,
813,19939,162819,,,
814,133203,175228,,,
815,20022,144449,,,
816,20022,145131,,,
817,20022,152300,,,
818,20022,125519,,,
819,20022,145201,,,
820,20022,145113,,,
821,20022,104830,,,
822,20160,171010,,,
827,20481,189568,,,
828,20481,184483,,,
829,20481,189598,,,
830,20774,119158,,,
831,20774,162652,,,
832,21140,124845,,,
833,21994,106880,,,
834,21994,142210,,,
835,21994,103333,,,
836,21994,205384,,,
837,21994,138173,,,
838,21994,144698,,,
839,21994,143004,,,
840,21994,118333,,,
841,21994,118334,,,
842,22139,171164,,,
843,22139,176193,,,
844,22531,130371,,,
845,22531,126886,,,
846,22531,128296,,,
848,22531,126634,,,
849,22531,128264,,,
850,22531,146125,,,
851,22531,127665,,,
852,22531,127987,,,
853,22531,132921,,,
854,22531,141786,,,
855,22531,107967,,,
856,22726,172738,,,
857,22726,172739,,,
858,22726,172228,,,
859,22726,172232,,,
860,22726,172425,,,
861,22726,173298,,,
862,22726,171994,,,
863,22726,178845,,,
864,22726,172286,,,
865,22726,178687,,,
866,22915,141946,,,
867,22915,141960,,,
869,25168,127470,,,
870,26118,137101,,,
871,26362,171714,,,
872,26362,176488,,,
873,26362,177014,,,
874,26362,178352,,,
933,23279,166826,,,
934,23279,145815,,,
935,23279,128146,,,
936,23279,145567,,,
939,23262,165228,2,,
2,19120,129799,,,
8,19151,179503,,,
29,19625,168518,,,
50,19791,128517,,,
71,20282,127087,,,
92,20315,171898,,,
99,20341,117508,,,
105,20518,144470,,,
126,20557,178393,,,
147,20574,125846,,,
168,20786,125934,,,
189,20812,119473,,,
196,20826,160443,,,
202,20855,162657,,,
223,20908,162657,,,
244,21039,166906,,,
265,21128,160369,,,
286,21396,179151,,,
293,21570,128167,,,
299,21570,130926,,,
320,21795,166952,,,
341,21837,162629,,,
362,21809,128435,,,
383,21809,141308,,,
390,21935,162658,,,
396,21974,162668,,,
417,22009,125477,,,
438,22271,168748,,,
459,22271,127842,,,
480,22614,171996,,,
487,22725,136459,,,
493,22728,185064,,,
514,23742,177349,,,
535,24517,161599,,,
556,26017,165874,,,
577,26642,106651,,,
584,26766,176308,,,
590,26803,171686,,,
611,26897,137825,,,
632,27807,108318,,,
653,34920,177335,,,
674,99218,117585,,,
875,26362,178564,,,
876,27025,211259,,,
877,27025,119010,,,
878,27025,119673,,,
879,27025,211260,,,
880,27025,211261,,,
881,27025,211263,,,
882,27916,211318,,,
883,138098,160398,,,
884,138098,160613,,,
885,28197,181626,,,
886,25472,178628,,,
887,97759,107020,,,
888,19621,177314,,,
889,19621,177321,,,
890,19621,177066,,,
891,19621,177323,,,
892,19621,177327,,,
893,19621,177333,,,
894,138643,114547,,,
895,21581,162629,,,
896,21581,162635,,,
897,21939,116759,,,
898,110305,150389,,,
899,116481,138810,,,
900,21184,171601,,,
901,21184,179038,,,
902,21184,169735,,,
903,138774,172394,,,
904,22214,180532,,,
905,23484,173131,,,
824,20345,117125,,,
825,20345,118483,,,
826,20345,124511,,,
906,24934,144964,,,
907,23435,123408,,,
917,25795,211355,,,
918,23435,211355,,,
910,25047,211355,,,
919,27724,211355,,,
916,27687,120454,,,
920,27687,151065,,,
921,23848,120454,,,
922,23848,151065,,,
681,99365,167986,,,
687,100605,120557,,,
708,133285,211234,,,
729,20366,126640,,,
750,23403,163841,,,
771,20268,174521,,,
823,20160,175533,,,
847,22531,150377,,,
868,25168,106688,,,
937,98507,130678,5,,
938,23262,126742,2,,"Usually translated as an adjective: right, proper, allowable"
940,98500,211384,2,,
