,184167,,,
360316,45853,182505,,,
360323,45853,188380,,,
360330,45853,188370,,,
360337,45853,187325,,,
360344,45853,187820,,,
360351,45853,182934,,,
360358,45853,192908,,,
360365,45858,194681,,,
360372,45858,197058,,,
360377,45858,185014,,,
360381,45858,190504,,,
360388,45854,181244,,,
360395,45854,181355,,,
360402,45854,179172,,,
360409,45854,173788,,,
360416,45854,181318,,,
360423,45854,175673,,,
360430,45854,180000,,,
360437,45854,179225,,,
360444,45854,180486,,,
360451,45854,174464,,,
360458,45895,194637,,,
360465,45835,106963,,,
360472,45843,161517,,,
360479,45843,118624,,,
360484,45857,184171,,,
360488,45857,194253,,,
360495,45857,190986,,,
360502,45857,190979,,,
360509,45873,202882,,,
360516,45842,180712,,,
360523,45842,174031,,,
360530,45842,175038,,,
360537,45842,181124,,,
360544,45842,171893,,,
360551,45842,181091,,,
360558,45842,174415,,,
360565,45842,180027,,,
360572,45842,181024,,,
360579,45842,179983,,,
360586,45842,172761,,,
360591,45842,179399,,,
360595,45842,170686,,,
360602,45842,172715,,,
360609,45842,180885,,,
360616,45842,179329,,,
360623,45842,172137,,,
360630,45842,181310,,,
360637,45842,181271,,,
360644,45842,180744,,,
360651,45887,121724,,,
360658,45887,162635,,,
360665,45887,116540,,,
360672,45887,105123,,,
360679,45870,202761,,,
360686,45849,195694,,,
360693,45849,195688,,,
360698,45849,193254,,,
360702,45849,190020,,,
360709,45849,189999,,,
360716,45849,194576,,,
360723,45874,195580,,,
360730,45874,191857,,,
360737,45874,194279,,,
360744,45874,183910,,,
360751,45874,195674,,,
360758,45874,181571,,,
360765,45874,193594,,,
360772,45874,188968,,,
360779,45874,190748,,,
360786,45874,192020,,,
360793,45874,182792,,,
360800,45968,103291,,,
360805,45968,136882,,,
360809,45968,149671,,,
360816,45964,201586,,,
360823,45974,202610,,,
360830,45974,200550,,,
360837,45967,189265,,,
360844,45967,194530,,,
360851,45916,174057,,,
360858,45916,172490,,,
360865,45916,172845,,,
360872,45916,179616,,,
360879,45916,180239,,,
360886,45924,121042,,,
360893,45928,152055,,,
360900,45928,159726,,,
360907,45928,104792,,,
360912,45928,160849,,,
360916,45928,114374,,,
360923,45928,127287,,,
360930,45928,151973,,,
360937,45928,104346,,,
360944,45928,111632,,,
360951,45928,138113,,,
360958,45977,181723,,,
360965,45929,118908,,,
360972,45929,145238,,,
360979,45929,145199,,,
360986,45922,177279,,,
360993,45922,169607,,,
361000,45969,177899,,,
361007,45969,180175,,,
361014,45969,177203,,,
361019,45969,169640,,,
361023,45969,170777,,,
361030,45969,177420,,,
361037,45957,163451,,,
361044,45957,125803,,,
361051,45957,127842,,,
361058,45957,128085,,,
361065,45957,165445,,,
361072,45957,134082,,,
361079,45957,142138,,,
361086,45957,161843,,,
361093,45957,133675,,,
361100,45957,130333,,,
361107,45957,131478,,,
