id,offset,pos,language,gloss,semfield
104437,00189841,n,10,an exploratory walk by an astronaut on the surface of the moon,
104439,00190140,n,10,walking with your feet in water,
104440,00190224,n,10,(Australia) nomadic excursions into the bush made by an Aborigine,1675
104441,00190345,n,10,a public stroll by a celebrity to meet people informally,
104442,00190457,n,10,a walking trip or tour,2772
104444,00190719,n,10,a slow pace of running,
104445,00190823,n,10,a steady trot like that of a dog,
104446,00190909,n,10,a quick run,
104447,00190998,n,10,(basketball) a rapid dash to get a shot as soon as possible after taking possession of the ball,"2633,2871"
104451,00191691,n,10,(auto racing) the first lap of a car race that prepares the cars for a fast start,2651
104454,00192460,n,10,travel (especially by foot),2772
104455,00192583,n,10,travel across,2772
104456,00192663,n,10,travelling about without any clear destination,2772
104457,00192806,n,10,aimless wandering from place to place,2772
104458,00192898,n,10,traveling across,2772
104459,00193005,n,10,the act of crossing a stream or river by wading or in a car or on a horse,2772
104460,00193175,n,10,fording at a shallow place,2772
104461,00193263,n,10,fording at a deep place in the stream,2772
104462,00193359,n,10,taking a zigzag path on skis,"2646,2772"
104465,00193791,n,10,riding a horse as a means of transportation,1946
104466,00193978,n,10,capturing cattle or horses with a lasso,
104467,00194106,n,10,breaking a bronco to saddle,"1946,2600"
104468,00194213,n,10,riding for long hours over long distances,1946
104407,00186257,n,10,a gait faster than a walk; diagonally opposite legs strike the ground together,
133657,04953751,n,10,the central meaning or theme of a speech or literary work,
133659,04954004,n,10,an expression whose meaning cannot be determined from its context,1969
104492,00197419,n,10,a landing (as the wheels touch the landing field); especially of airplanes,1946
104498,00198268,n,10,a departure; especially of airplanes,1942
104509,00200009,n,10,"a regular trip: ""the ship made its run in record time""",2772
104507,00199642,n,10,"a journey for some purpose (usually including the return); ""he took a trip to the shopping center""",2772
104510,00200113,n,10,"a short trip: ""take a run into town""",2772
104511,00200199,n,10,"a journey usually by ship: ""the outward passage took 10 days""",
104513,00200531,n,10,"a ride in a car: ""he gave me a lift home""",
104514,00200623,n,10,"a ride in a car taken solely for pleasure: ""they took their girlfriends for joyrides in stolen cars""",
104531,00202953,n,10,"a journey or passage: ""they are on the way""",
104526,00202155,n,10,a pilgrimage to Mecca; every Muslim must make this journey at least once,"1565,2772"
104529,00202658,n,10,"an short excursion (a walk or ride) in the open air; ""after lunch he took the air""; ""he took the dogs for an airing""",2600
104478,00195490,n,10,"a flight made without intermediate landings between source and destination: ""how many nonstops are there to Dallas?""",1946
104470,00194393,n,10,riding along a roughly blazed path,1946
104471,00194486,n,10,capturing a calf with a lasso and binding its feet,2600
104472,00194613,n,10,capturing a steer with a lasso,2600
104473,00194721,n,10,travel on a motorcycle,"1948,2643,2772"
104476,00195217,n,10,a flight that begins and ends in the same country,1946
104477,00195346,n,10,a flight that takes off in one country and lands in another,1946
104479,00195677,n,10,a night flight from which the passengers emerge with eyes red from lack of sleep,1946
104481,00196097,n,10,the performance of stunts while in flight in an aircraft,1942
104482,00196267,n,10,flying in a balloon,1942
104484,00196489,n,10,the activity of flying a glider,1942
104485,00196652,n,10,gliding in a hang glider,1942
104486,00196735,n,10,descent with a parachute,1942
104487,00196842,n,10,performing acrobatics in free fall before pulling the ripcord of a parachute,1942
104488,00196975,n,10,gliding in a parasail,1942
104490,00197191,n,10,a flight in which the aircraft pilot is unaccompanied,1942
104491,00197295,n,10,an operational flight by a single aircraft (as in a military operation),1942
104493,00197549,n,10,landing an aircraft,"1942,2772"
104494,00197704,n,10,an emergency landing under circumstances where a normal landing is impossible (usually damaging the aircraft),"1942,2772"
104495,00197873,n,10,a landing in which all three wheels of the aircraft touch the ground at the same time,"1942,2772"
104496,00198024,n,10,an aircraft landing made entirely by means of instruments,1942
104497,00198146,n,10,a landing of a spacecraft in the sea at the end of a space flight,1946
104499,00198358,n,10,rapid descent of an aircraft in a steep spiral spin,1942
104500,00198471,n,10,flight at very low altitudes,1942
104501,00198579,n,10,the act of traveling from one place to another,2772
104503,00199147,n,10,(nautical) the distance traveled by a sailing vessel on a single tack,1942
104504,00199284,n,10,(British) a section along the route of a bus for which the fare is the same,"1946,2772"
104506,00199551,n,10,a long wandering and eventful journey,2772
104508,00199917,n,10,a trip to some place and back again,2772
104515,00200777,n,10,a journey organized for a particular purpose,
104516,00200932,n,10,an expedition undertaken to gain information,
104517,00201036,n,10,an overland journey by hunters (especially in Africa),2656
104518,00201174,n,10,to travel for the purpose of discovery,2772
104519,00201294,n,10,wandering from the main path of a journey,2772
104520,00201404,n,10,any long and difficult trip,2772
104521,00201482,n,10,(South African) a journey by ox wagon (especially an organized migration by a group of settlers),2772
104522,00201629,n,10,an extended journey,2772
104523,00201763,n,10,an extended sightseeing tour undertaken for pleasure,2772
104525,00202033,n,10,a journey to a sacred place,"1565,2772"
104528,00202570,n,10,taking an excursion for pleasure,2772
104530,00202833,n,10,a journey to some distant place,2772
104532,00203046,n,10,an act of traveling by water,"1946,2772"
104533,00203158,n,10,an ocean trip taken for pleasure,"1946,2772"
104534,00203250,n,10,a voyage across a body of water (usually across the Atlantic Ocean),2772
104480,00195810,n,10,"an instance of traveling by air: ""flying was still an exciting adventure for him""",1942
