id,type,source,target
287257,/,19659,102067
287258,/,19659,30603
287259,/,19659,19663
287260,/,19661,21068
287261,/,19661,25348
287262,\,101596,19664
287263,\,19271,19664
287264,\,45670,19664
287265,\,19275,19664
300659,\,32996,55279
287267,\,47782,19664
287268,\,97562,19664
287269,\,56845,19664
287270,\,19655,19664
287271,\,53759,19664
287272,\,34499,19664
287273,\,98917,19664
287274,\,19674,19673
287275,/,19674,33446
287276,/,19677,54802
287277,/,19677,31214
287278,/,19677,102129
287279,/,19677,45708
287280,/,19677,19678
287281,/,19677,40630
287282,/,19677,19680
287283,/,19677,97573
287284,/,19677,54682
287285,/,19677,28408
287286,/,19677,19682
287287,/,19677,31411
287288,/,19677,43639
287289,/,19677,19684
287290,/,19677,19685
287291,/,19677,50711
287292,/,19677,19687
287293,/,19678,54802
287294,/,19678,31214
287295,/,19678,102129
287296,/,19678,45708
287297,/,19678,40630
287298,/,19678,19680
287299,/,19678,102131
287300,/,19678,97573
287301,/,19678,50221
287302,/,19678,54564
287303,/,19678,102132
287304,/,19678,54682
287305,/,19678,52739
287306,/,19678,28408
287307,/,19678,36797
287308,/,19678,42392
287309,/,19678,45649
287310,/,19678,19682
287311,/,19678,31411
287312,/,19678,43639
287313,/,19678,19685
287314,/,19678,50711
287315,/,19678,49508
287316,/,19678,19687
287317,/,19682,54802
287318,/,19682,19677
287319,/,19682,31214
287320,/,19682,45708
287321,/,19682,19678
287322,/,19682,40630
287323,/,19682,19680
287324,/,19682,97573
287325,/,19682,50221
287326,/,19682,54682
287327,/,19682,28408
287328,/,19682,31411
287329,/,19682,43639
287330,/,19682,19684
287331,/,19682,19685
287332,/,19682,50711
287333,/,19682,19687
287334,/,19685,54802
287335,/,19685,19677
287336,/,19685,31214
287337,/,19685,102129
287338,/,19685,19678
287339,/,19685,40630
287340,/,19685,19680
287341,/,19685,97573
287342,/,19685,50221
287343,/,19685,54682
287344,/,19685,28408
287345,/,19685,19682
287346,/,19685,31411
287347,/,19685,43639
287348,/,19685,19684
287349,/,19685,50711
287350,/,19685,19687
287351,\,54802,19687
287352,\,102129,19687
287353,\,28408,19687
287354,\,31411,19687
287355,\,50711,19687
287356,\,44174,19689
287357,\,47436,19689
287358,\,38678,19689
287359,\,52589,19689
287360,/,19690,19671
287361,/,19690,43521
287362,/,19690,19676
287363,/,19690,19705
287364,/,19690,38809
287365,\,97535,19692
287366,\,45008,19692
287367,\,19706,19692
287368,/,19696,102150
287369,/,19696,55020
287370,/,19696,49570
287371,\,19700,19702
287372,/,19706,31867
287373,/,19706,45008
287374,/,19706,19708
287375,/,19732,47761
287376,\,19732,132233
287377,\,47761,132233
287378,\,102226,19739
287379,\,19736,19739
