s1125,semirasus,a,0,aps---mn1-,semiras semiras semiras,semirasus
42511,u0240,ueliuolus,a,0,aps---mn1-,ueliuol ueliuol ueliuol,ueliuolus
42509,u0343,ueratrum,n,0,n-s---nn2-,ueratr,ueratrum
42497,u0846,uitex,n,0,n-s---fn3-,uitic,uitex
42607,e0862,ereptor,n,0,n-s---mn3-,ereptor,ereptor
42571,a1717,amorabundus,a,0,aps---mn1-,amorabund amorabund amorabund,amorabundus
42618,42618,apprime,r,0,rp--------,,apprime
42567,i0082,idiota,n,0,n-s---mn1-,idiot,idiota
42573,42573,auarca,n,0,n-s---fn1-,auarc,auarca
42564,42564,auriphrygius,a,0,aps---mn1-,auriphrygi auriphrygi auriphrygi,auriphrygius
42594,42594,charistia,n,0,n-p---nn2-,charisti,charistia
42575,42575,colubrimodus,a,0,aps---mn1-,colubrimod colubrimod colubrimod,colubrimodus
42595,42595,commoenio,v,0,v1spia--4-,commoen commoeniu commoenit,commoenio
42556,a0917,aequamen,n,0,n-s---nn3-,aequamin,aequamen
42581,42581,criminologia,n,0,n-s---fn1-,criminologi,criminologia
42578,42578,domna,n,0,n-s---fn1-,domn,domna
42577,a0923,aequator,n,0,n-s---mn3-,aequator,aequator
42613,a1478,alsus,a,0,aps---mn1-,als als als,alsus
42585,42585,fascisticus,a,0,aps---mn1-,fascistic fascistic fascistic,fascisticus
42576,42576,incongrue,r,0,rp--------,,incongrue
42553,42553,irrepticius,a,0,aps---mn1-,irreptici irreptici irreptici,irrepticius
42574,42574,literum,n,0,n-s---nn2-,liter,literum
42554,42554,nartator,n,0,n-s---mn3-,nartator,nartator
42580,42580,obfringo,v,0,v1spia--3-,obfring obfreg obfract,obfringo
42623,42623,parabolois,a,0,aps---cn3-,paraboloid paraboloid paraboloid,parabolois
42604,42604,paullo,r,0,rp--------,,paullo
42619,42619,percommode,r,0,rp--------,,percommode
42565,42565,perurgueo,v,0,v1spia--2-,perurgu - -,perurgueo
42583,42583,premagnus,a,0,aps---mn1-,premagn premagn premagn,premagnus
42599,42599,repraesentatiuus,a,0,aps---mn1-,repraesentatiu repraesentatiu repraesentatiu,repraesentatiuus
42616,42616,saccharum,n,0,n-s---nn2-,sacchar,saccharum
42617,42617,sesqualter,a,0,aps---mn1r,sesqualter sesqualter sesqualter,sesqualter
42579,42579,tribualis,a,0,aps---cn3-,tribual tribual tribual,tribualis
42572,42572,adiacens,n,0,n-s---cn3-,adiacent,adiacens
42606,,praestrigia,n,0,n-s---fn1-,praestrigi,praestrigia
42592,f0858,formositas,n,0,n-s---fn3-,form,formositas
42620,a2132,antistatus,n,0,n-s---mn4-,antistat,antistatus
42563,m1245,molo,v,0,v1spia--3-,mol molu molit,molo
26617,r0063,rapina,n,1,n-s---fn1-,rapin,răpina
42552,42552,uolpes,n,0,n-s---fn3-,uolp,uolpes
42610,a3483,auguratio,n,0,n-s---fn3-,auguration,auguratio
42611,c1157,centrosus,a,0,aps---mn1-,centros centros centros,centrosus
42582,c2245,coccinus,a,0,aps---mn1-,coccin coccin coccin,coccinus
42561,c3881,conuergo,v,0,v1spia--3-,conuerg - -,conuergo
42584,c4026,cordyla,n,0,n-s---fn1-,cordyl,cordyla
42559,e0056,ecliptica,n,0,n-p---nn2-,ecliptic,ecliptica
42615,i3035,iunceus,a,0,aps---mn1-,iunce iunce iunce,iunceus
42609,m0288,manifestatio,n,0,n-s---fn3-,manifestation,manifestatio
42566,p2725,pigneraticius,a,0,aps---mn1-,pigneratici pigneratici pigneratici,pigneraticius
42605,p3015,praefulgidus,a,0,aps---mn1-,praefulgid praefulgid praefulgid,praefulgidus
42612,p3144,praemoueo,v,0,v1spia--2-,praemou praemou praemot,praemoueo
42562,a0244,accendium,n,0,n-s---nn2-,accendi,accendium
42558,r1006,recipero,v,0,v1spia--1-,reciper reciperau reciperat,recipero
42589,t0014,tabidulus,a,0,aps---mn1-,tabidul tabidul tabidul,tabidulus
42590,t0031,tabulatus,a,0,aps---mn1-,tabulat tabulat tabulat,tabulatus
42560,t1273,triginta,a,0,aps---an--,ecliptic ecliptic ecliptic,triginta
42693,42693,eburnus,a,0,aps---mn2-,eburn eburn eburn,eburnus
42694,42694,cinematographus,n,0,n-s---mn2-,cinematograph,cinematographus
42627,42627,circumtextus,n,0,n-s---nn3-,circumtext circumtext circumtext,circumtextus
42642,42642,commentariolus,n,0,n-s---mn2-,commentariol,commentariolus
42662,42662,complexitas,n,0,n-s---fn3-,complexitat,complexitas
42696,42696,derosus,a,0,aps---mn1-,deros deros deros,derosus
42665,42665,dynamica,n,0,n-s---fn1-,dynamic,dynamica
42628,a2320,apra,n,0,n-s---fn1-,apr,apra
42660,42660,epitritus,a,0,aps---mn1-,epitrit epitrit epitrit,epitritus
42656,42656,granata,n,0,n-s---fn1-,granat,granata
42659,a2634,arale,n,0,n-s---nn3-,aral,arale
42675,42675,imo,r,0,rp--------,,imo
42633,42633,inbibo,v,0,v1spia--3-,inbib inbib inbit,inbibo
