s1125,semirasus,a,0,aps---mn1-,semiras semiras semiras,semirasus
45257,45257,deiferus,a,0,aps---mn1-,deifer deifer deifer,deiferus
45249,45249,ebureus,a,0,aps---mn1-,ebure ebure ebure,ebureus
45291,45291,exsecrandus,a,0,aps---mn1-,exsecrand exsecrand exsecrand,exsecrandus
45248,45248,fanale,n,0,n-s---mn3-,fanal,fanale
45242,45242,implicite,r,0,rp--------,,implicite
45232,45232,inquinatus,a,0,aps---mn1-,inguinat inguinat inguinat,inquinatus
45227,45227,insulio,v,0,v1spia--4-,insul insulu -,insulio
45295,45295,iocunde,r,0,rp--------,iocund,iocunde
45294,45294,istuc,r,0,rp--------,,istuc
45288,45288,iuctim,r,0,rp--------,palli,iuctim
45292,c0785,castorinatus,a,0,aps---mn1-,castorinat castorinat castorinat,castorinatus
45240,45240,microphonum,n,0,n-s---nn2-,microphon,microphonum
45250,45250,munitus,a,0,aps---mn1-,munit munit munit,munitus
45282,c0789,castrator,n,0,n-s---mn3-,castrator,castrator
45222,45222,publice,r,0,rp--------,public,publice
45228,45228,rassista,n,0,n-s---fn1-,rassist,rassista
45243,c0882,cateruatim,r,0,rp--------,,cateruatim
45271,45271,solipuga,n,0,n-s---fn1-,solipug,solipuga
45264,c1567,chytropus,n,0,n-s---mn3-,chytropod,chytropus
45277,45277,tertiana,n,0,n-s---fn1-,tertian,tertiana
45239,45239,trirota,n,0,n-s---fn1-,trirot,trirota
45266,45266,Corinthius,n,0,n-s---mn2-,Corinthi,Corinthius
45273,45273,adroro,v,0,v1spia--1-,adror adrorau adrorat,adroro
45251,c3025,concinnatio,n,0,n-s---fn3-,concinnation,concinnatio
45253,c4014,corcillum,n,0,n-s---nn2-,corcill,corcillum
45263,c4077,coronis,n,0,n-s---fn3-,coronid,coronis
45269,e0696,ephippiatus,a,0,aps---mn1-,ephippiat ephippiat ephippiat,ephippiatus
45252,h0132,haruspex,n,0,n-s---mn3-,haruspic,haruspex
45281,i0057,icio,v,0,v1spia--3i,ic ic ict,icio
45260,i0238,illigo,v,0,v1spia--1-,illig illigau illigat,illigo
45229,l1047,loreus,a,0,aps---mn1-,lore lore lore,loreus
45283,m0536,medicatus,n,0,n-s---mn4-,medicat,medicatus
45223,m0922,miraculus,a,0,aps---mn1-,miracul miracul miracul,miraculus
45280,o0183,obrussa,n,0,n-s---fn1-,obruss,obrussa
45287,p0117,pallidus,a,0,aps---mn1-,palli palli palli,pallidus
45254,p1514,perpugnax,a,0,aps---an3-,perpugnac perpugnac perpugnac,perpugnax
45241,p1914,philosophicus,a,0,aps---mn1-,philosophic philosophic philosophic,philosophicus
45256,p2694,possibilitas,n,0,n-s---fn3-,possibilitat,possibilitas
45278,p3955,propatruus,n,0,n-s---mn2-,propatru,propatruus
45293,r0072,raptio,n,0,n-s---fn3-,rapt,raptio
45225,r1235,renarro,v,0,v1spia--1-,renarr renarrau renarrat,renarro
45272,t0866,torridus,a,0,aps---mn1-,torrid torrid torrid,torridus
28112,u0593,uicia,n,1,n-s---fn1-,uici,uicia
45311,m1285,monaulus,n,0,n-s---mn2-,monaul,monaulus
45351,45351,adpectoro,v,0,v1spia--1-,adpector adpectorau adpectorat,adpectoro
45333,45333,acueo,v,0,v1spia--2-,acu acuu acuit,acueo
45346,45346,adtillo,v,0,v1spia--1-,adtill adtillau adtillat,adtillo
45335,45335,caementitium,n,0,n-s---nn2-,caementiti,caementitium
45323,45323,caepulla,n,0,n-s---fn1-,caepull,caepulla
45315,45315,calciatus,n,0,n-s---mn4-,calciat,calciatus
45369,45369,callide,r,0,rp--------,callidius callidissime,callide
45301,a1972,angarus,n,0,n-s---mn2-,angar,angarus
45334,45334,celeste,n,0,n-s---nn3-,celest,celeste
45347,a2449,apotelesma,n,0,n-s---nn3-,apotelesmat,apotelesma
45316,45316,colonialista,n,0,n-s---fn1-,colonialist,colonialista
45359,45359,comata,n,0,n-s---fn1-,comat,comata
45375,45375,confertus,a,0,aps---mn1-,confert confert confert,confertus
45373,45373,constitutus,a,0,aps---mn1-,constitut constitut constitut,constitutus
45352,a2684,arcera,n,0,n-s---fn1-,arcer,arcera
45343,45343,conuiuans,n,0,n-s---cn3-,conuiuant,conuiuans
45329,45329,deiuro,v,0,v1spia--1-,d ded dat,deiuro
45326,45326,documentalis,a,0,aps---cn3-,documental documental documental,documentalis
45367,45367,funambulus,a,0,aps---mn1-,funambul funambul funambul,funambulus
45378,45378,fundimentum,n,0,n-s---nn2-,fundiment,fundimentum
45299,45299,intertextus,a,0,aps---mn1-,intertext intertext intertext,intertextus
45355,45355,mactare,n,0,n-s---nn3-,militar,mactare
45312,45312,maeander,n,0,n-s---mn2r,maeandr,maeander
45349,45349,maeuia,n,0,n-s---fn1-,maeui,maeuia
45360,c0960,cauillabundus,a,0,aps---mn1-,cauillabund cauillabund cauillabund,cauillabundus
45319,45319,parce,r,0,rp--------,parcius parcissime,parce
45345,45345,paulumper,r,0,rp--------,,paulumper
45353,45353,postremo,r,0,rp--------,,postremo
45298,45298,proquam,r,0,rp--------,,proquam
45309,45309,quinquepartitus,a,0,aps---mn1-,quinquepartit quinquepartit quinquepartit,quinquepartitus
45350,45350,rabiola,n,0,n-s---fn1-,rabiol,rabiola
45324,c2778,compalpo,v,0,v1spia--1-,compalp compalpau compalpat,compalpo
45363,45363,spiritualiter,r,0,rp--------,,spiritualiter
45365,45365,sulfur,n,0,n-s---nn3-,sulfur,sulfur
45322,45322,uociuos,a,0,aps----n3-,uociu uociu uociu,uociuos
45297,c3697,contemplatiuus,a,0,aps---mn1-,contemplatiu contemplatiu contemplatiu,contemplatiuus
45300,c3777,contortiplicatus,a,0,aps---mn1-,contortiplicat contortiplicat contortiplicat,contortiplicatus
45331,c4811,cynarium,n,0,n-s---nn2-,cynari,cynarium
45325,e1070,euersor,n,0,n-s---mn3-,euersor,euersor
45308,e1454,exfornicatus,a,0,aps---mn1-,exfornicat exfornicat exfornicat,exfornicatus
45320,f1035,fructuarius,a,0,aps---mn1-,fructuari fructuari fructuari,fructuarius
45341,g0175,generositas,n,0,n-s---fn3-,generositat,generositas
45314,h0501,holosericus,a,0,aps---mn1-,holoseric holoseric holoseric,holosericus
45338,i0124,ignauus,a,0,aps---mn1-,  ,ignauus
45321,n0070,natrix,n,0,n-s---fn3-,natric,natrix
45332,p1591,persisto,v,0,v1spia--3-,cynari,persisto
45337,p2140,piscarius,a,0,aps---mn1-,piscari piscari piscari,piscarius
45330,r0021,radicitus,r,0,rp--------,,radicitus
45296,r1375,resuscito,v,0,v1spia--1-,resuscit resuscitau resuscitat,resuscito
45362,s0653,scintillula,n,0,n-s---fn1-,scintillul,scintillula
45356,t9920,tractatus,n,0,n-s---mn4-,tractat,tractatus
45409,45409,algebra,n,0,n-s---fn1-,algebr,algebra
45396,a2001,angulatus,a,0,aps---mn1-,angulat angulat angulat,angulatus
45403,45403,adtenuate,r,0,rp--------,,adtenuate
45431,45431,achanum,n,0,n-s---nn2-,achan,achanum
45420,i0032,ianitrix,n,0,n-s---fn3-,ian,ianitrix
45429,45429,antependium,n,0,n-s---nn2-,antependi,antependium
45455,45455,silenda,n,0,n-s---fn1-,,silenda
45435,45435,azurium,n,0,n-s---nn2-,azuri,azurium
45451,a2994,aruncus,n,0,n-s---mn2-,arunc,aruncus
45406,45406,charmidatus,a,0,aps---mn1-,charmidat charmidat charmidat,charmidatus
45380,45380,cocinarius,a,0,aps---mn1-,cocinari cocinari cocinari,cocinarius
45433,c0360,canaliculatus,a,0,aps---mn1-,canaliculat canaliculat canaliculat,canaliculatus
45457,45457,cogulo,v,0,v1spia--1-,cogul cogulau cogulat,cogulo
45434,c0860,catax,a,0,aps---an3-,catac catac catac,catax
45382,45382,configo,r,0,rp--------,speculation,configo
45400,45400,contemtus,n,0,n-s---mn4-,contemt,contemtus
45410,45410,corrumptella,n,0,n-s---fn1-,corrumptell,corrumptella
45412,45412,cotidio,r,0,rp--------,,cotidio
45425,45425,directum,n,0,n-s---nn2-,direct,directum
45404,45404,erumpnus,a,0,aps---mn1-,erumpn erumpn erumpn,erumpnus
45422,45422,impensus,a,0,aps---mn1-,impens impens impens,impensus
45442,45442,inobedus,a,0,aps---mn1-,inobed inobed inobed,inobedus
45452,n0569,noster,a,0,aps---mn1r,nostr nostr nostr,noster
45454,45454,nunciator,n,0,n-s---mn3-,nunciator,nunciator
45383,45383,porcellanus,a,0,aps---mn1-,porcellan porcellan porcellan,porcellanus
45438,c7253,coculeatus,a,0,aps---mn1-,coculeat coculeat coculeat,coculeatus
45426,45426,ridiculum,n,0,n-s---nn2-,ridicul,ridiculum
45379,45379,sodalitius,a,0,aps---mn1-,sodaliti sodaliti sodaliti,sodalitius
45408,45408,supercilius,a,0,aps---mn1-,supercili supercili supercili,supercilius
45446,c2326,cohabito,v,0,v1spia--1-,cohabit cohabitau cohabitat,cohabito
45424,i2957,Italus,a,1,aps---mn1-,Ital Ital Ital,Italus
45416,c2948,concalefactio,n,0,n-s---fn3-,concalefaction,concalefactio
45393,c4484,cubiculata,n,0,n-s---fn1-,cubiculat,cubiculata
45441,d1771,discupio,v,0,v1spia--3i,discup discupiu discupit,discupio
45397,e9993,elegantia,n,0,n-s---fn1-,eleganti,elegantia
45449,e0457,emico,v,0,v1spia--1-,emic emicu emicat,emico
45387,m0005,maccus,n,0,n-s---mn2-,macc,maccus
45432,m0263,mandra,n,0,n-s---fn1-,mandr,mandra
45395,m1770,murinus,a,0,aps---mn1-,murin murin murin,murinus
45384,m1841,mustelinus,a,0,aps---mn1-,muste muste muste,mustelinus
45394,n0462,noctiuagus,a,0,aps---mn1-,noctiuag noctiuag noctiuag,noctiuagus
45402,o9998,occasus,n,0,n-s---mn4-,occas,occasus
45399,p0905,peraro,v,0,v1spia--1-,perar perarau perarat,peraro
45428,p1757,peruoluo,v,0,v1spia--3-,peruol peruolau peruolat,peruoluo
45390,p3361,praetento,v,0,v1spia--1-,praetent praetentau praetentat,praetento
45445,p4000,propitio,v,0,v1spia--1-,propiti propitiau propitiat,propitio
45447,p4104,proseucha,n,0,n-s---fn1-,proseuch,proseucha
45388,q0104,quaestiuncula,n,0,n-s---fn1-,quaestiuncul,quaestiuncula
45414,s0077,saraballa,n,0,n-s---fn1-,saraball,saraballa
45381,s2126,speculatio,n,0,n-s---fn3-,speculation,speculatio
45458,t0855,torpeo,v,0,v1spia--2-,torp - -,torpeo
45411,u0580,uicaria,n,0,n-s---fn1-,uicari,uicaria
45448,a0390,aclys,n,0,n-s---fn3-,aclyd,aclys
45450,p1077,perennitas,n,0,n-s---fn3-,perennitat,perennitas
45523,p0414,parma,n,0,n-s---fn1-,parm,parma
45531,c1517,chromaticos,a,0,aps---mn1g,chromatic chromatic chromatic,chromaticos
45521,45521,conpeditus,n,0,n-s---mn4-,conpedit,conpeditus
45532,45532,crucifer,n,0,n-s---mn2r,crucifer,crucifer
45527,45527,alcoholismus,n,0,n-s---mn2-,alcoholism,alcoholismus
45485,45485,alluuies,n,0,n-s---fn2-,alluui,alluuies
45496,45496,apolectus,n,0,n-s---mn2-,apolect apolect apolect,apolectus
45495,45495,arcosolium,n,0,n-s---nn2-,arcosoli,arcosolium
45524,45524,arundo,n,0,n-s---fn3-,arundin,arundo
45470,45470,casu,r,0,rp--------,,casu
45466,45466,cathurnus,n,0,n-s---mn2-,cathurn,cathurnus
45489,45489,chemicus,a,0,aps---mn1-,chemic chemic chemic,chemicus
45468,45468,compte,r,0,rp--------,comptius comptissime,compte
45529,45529,congrue,r,0,rp--------,,congrue
45502,45502,quadrupedo,n,0,n-s---fn3-,quadr,quadrupedo
45519,45519,conrumptela,n,0,n-s---fn1-,conrumptel,conrumptela
45501,i2986,iucunditas,n,0,n-s---fn3-,,iucunditas
45464,45464,existumatio,n,0,n-s---fn3-,existumation,existumatio
45538,45538,illatinus,a,0,aps---mn1-,illatin illatin illatin,illatinus
45475,45475,indisciplinosus,a,0,aps---mn1-,indisciplinos indisciplinos indisciplinos,indisciplinosus
45499,45499,lachryma,n,0,n-s---fn1-,lachrym,lachryma
45488,45488,mangifera,n,0,n-s---fn1-,mangifer,mangifera
45494,45494,manufestarius,a,0,aps---mn1-,manufestari manufestari manufestari,manufestarius
45492,45492,moderate,r,0,rp--------,biarch,moderate
45467,45467,mozzetta,n,0,n-s---fn1-,mozzett,mozzetta
45528,45528,oportunitas,n,0,n-s---fn3-,oportunitat,oportunitas
45522,45522,pagensis,n,0,n-s---mn3-,pagens,pagensis
28172,u0843,uitellus,n,1,n-s---mn2-,uitell,uitellus
45526,45526,priuato,r,0,rp--------,,priuato
45505,45505,recuperator,n,0,n-s---mn3-,recuperator,recuperator
45491,b0296,biarchus,n,0,n-s---mn2-,biarch,biarchus
45533,b0385,bimenstruus,a,0,aps---mn1-,bimenstru bimenstru bimenstru,bimenstruus
45481,b0758,burrus,a,0,aps---mn1-,burr burr burr,burrus
45469,45469,resummonitio,n,0,n-s---fn3-,resummonition,resummonitio
45516,45516,socagium,n,0,n-s---nn2-,socagi,socagium
45462,45462,spongea,n,0,n-s---fn1-,sponge,spongea
45484,45484,stlatarius,a,0,aps---mn1-,stlatari stlatari stlatari,stlatarius
45536,45536,adseueranter,r,0,rp--------,adseuerant,adseueranter
45479,c1992,citocacium,n,0,n-s---nn2-,citocaci,citocacium
45460,c2680,comminus,r,0,rp--------,com com com,comminus
45514,c2852,complantatio,n,0,n-s---fn3-,complantation,complantatio
45490,c2343,concupio,v,0,v1spia--3i,concup concupiu concupit,concupio
45518,c3653,consultatio,n,0,n-s---fn3-,consultation,consultatio
45483,c4381,criterium,n,0,n-s---nn2-,criteri,criterium
45498,f0678,fligo,v,0,v1spia--3-,flig - -,fligo
45482,i1678,ingemino,v,0,v1spia--1-,ingemin ingeminau ingeminat,ingemino
45535,i1708,ingrauesco,v,0,v1spia--3-,ingrauesc - -,ingrauesco
45530,l0743,lignatio,n,0,n-s---fn3-,lignation,lignatio
45513,m0805,mergus,n,0,n-s---mn2-,merg,mergus
45478,p3488,precarius,a,0,aps---mn1-,precari precari precari,precarius
45497,s2705,suauidicus,a,0,aps---mn1-,suauidic suauidic suauidic,suauidicus
45476,s3148,substerno,v,0,v1spia--3-,substern substrau substrat,substerno
45465,s3814,sura,n,0,n-s---fn1-,sur,sura
45610,c0582,capto,v,0,v1spia--1-,capt captau captat,capto
45541,45541,aliquit,r,0,rp--------,,aliquit
54279,54279,bratus,n,0,n-s---mn2-,brat,bratus
45594,45594,ambidens,n,0,n-s---cn3-,ambident,ambidens
45604,45604,an,r,0,rp--------,taed,an
45613,45613,anicla,n,0,n-s---fn1-,anicl,anicla
45556,45556,basilice,r,0,rp--------,basilic,basilice
45564,45564,ahenipes,a,0,aps---an3-,aheniped aheniped aheniped,ahenipes
45576,45576,commissarius,n,0,n-s---mn2-,commissari,commissarius
45584,45584,conctanter,r,0,rp--------,conctius conctissime,conctanter
45585,45585,connexiuus,a,0,aps---mn1-,connexiu connexiu connexiu,connexiuus
45550,45550,cullearis,n,0,n-s---mn2-,cullear cullear cullear,cullearis
45563,a2071,annullo,v,0,v1spia--1-,annull annullau annullat,annullo
45569,a2350,apiacus,a,0,aps---mn1-,apiac apiac apiac,apiacus
45546,45546,defigurstus,a,0,aps---mn1-,defigurst defigurst defigurst,defigurstus
45599,45599,diiuncte,r,0,rp--------,tel,diiuncte
45571,45571,efformatio,n,0,n-s---fn3-,efformation,efformatio
45582,45582,etheca,n,0,n-s---fn1-,ethec,etheca
45568,45568,frucuosus,a,0,aps---mn1-,frucuos frucuos frucuos,frucuosus
45557,45557,laura,n,0,n-s---fn1-,laur,laura
45544,45544,maledicus,a,0,aps---mn1-,maledic maledic maledic,maledicus
45548,45548,nefarie,r,0,rp--------,,nefarie
45567,45567,politus,n,0,n-s---mn4-,polit,politus
45540,45540,promtuarius,a,0,aps---mn1-,promtuari promtuari promtuari,promtuarius
45593,45593,relatiuitas,n,0,n-s---fn3-,relatiuitat,relatiuitas
45592,c0393,candidulus,a,0,aps---mn1-,candidul candidul candidul,candidulus
45578,45578,suppaenitet,v,0,v1spia--3-,suppaenit suppaenitu -,suppaenitet
45588,45588,unificus,a,0,aps---mn1-,unific unific unific,unificus
45596,45596,adstituo,v,0,v1spia--3-,adstitu adstitu adstitut,adstituo
45614,c0786,castorinus,a,0,aps---mn1-,castorin castorin castorin,castorinus
45579,c0871,catella,n,0,n-s---fn1-,catell,catella
45543,c1637,cincinnus,n,0,n-s---mn2-,cincinn,cincinnus
45608,c1744,circumfarcio,v,0,v1spia--4-,circumfarc circumfars circumfart,circumfarcio
45609,c3465,consanguinea,n,0,n-s---fn1-,consanguine,consanguinea
45611,e0110,edulium,n,0,n-s---nn2-,eduli,edulium
45573,f0708,fluctifragus,a,0,aps---mn1-,fluctifrag fluctifrag fluctifrag,fluctifragus
45554,f0957,fraxineus,a,0,aps---mn1-,fraxine fraxine fraxine,fraxineus
45577,g0072,graculus,n,0,n-s---mn2-,gracul,graculus
45551,i9024,iampridem,r,0,rp--------,cullear,iampridem
45612,i3206,inustus,a,0,aps---mn1-,inust inust inust,inustus
45601,l1128,lucubratio,n,0,n-s---fn3-,lucubration,lucubratio
45589,l1239,luter,n,0,n-s---mn3-,luter,luter
45547,l1280,lympho,v,0,v1spia--1-,lymph lymphau lymphat,lympho
45545,m0047,macrocollum,n,0,n-s---nn2-,macrocoll,macrocollum
45607,o0913,opulento,v,0,v1spia--1-,acquir acquisiu acquisit,opulento
45587,p9801,penitus,a,0,aps---mn1-,penit penit penit,penitus
45598,p0926,perca,n,0,n-s---fn1-,tel tel tel,perca
45561,p3989,propino,v,0,v1spia--1-,propin propinau propinat,propino
45542,r0057,raphanitis,n,0,n-s---fn3-,raphanitid,raphanitis
45591,r0349,reliquator,n,0,n-s---mn3-,reliquator,reliquator
45581,r0867,rudiarius,n,0,n-s---mn2-,rudiari,rudiarius
45559,r0932,russeus,a,0,aps---mn1-,russ russ russ,russeus
45562,s1207,senesco,v,0,v1spia--3-,senesc senu -,senesco
45603,t0042,taeda,n,0,n-s---fn1-,taed,taeda
45628,45628,commictus,a,0,aps---mn1-,commict commict commict,commictus
45617,45617,ammoueo,v,0,v1spia--2-,ammou ammou ammot,ammoueo
45631,45631,ambufariam,r,0,rp--------,,ambufariam
45672,45672,antirrhinon,n,0,n-s---nn2-,antirrhin,antirrhinon
45670,a9991,actum,n,0,n-s---nn2-,act,actum
45656,45656,battuens,n,0,n-s---cn3-,battuent,battuens
45653,45653,caucalis,n,0,n-s---nn3-,caucalid,caucalis
45679,45679,chalasticamen,n,0,n-s---nn3-,chalasticamin,chalasticamen
45643,a1592,amasiuncula,n,0,n-s---fn1-,amasiuncul,amasiuncula
45630,d1967,distortio,n,0,n-s---fn3-,di,distortio
45654,45654,conpes,n,0,n-s---fn3-,conped,conpes
45634,45634,consepio,v,0,v1spia--4-,consep conseps consept,consepio
45648,45648,conualidatio,n,0,n-s---fn3-,conualidation,conualidatio
45641,45641,dentista,n,0,n-s---fn1-,dentist,dentista
45642,45642,electriso,v,0,v1spia--1-,electris electrisau electrisat,electriso
45665,45665,emissorium,n,0,n-s---nn2-,emissori,emissorium
45637,45637,exegeta,n,0,n-s---fn1-,exeget,exegeta
45655,45655,exsuflo,v,0,v1spia--1-,exsufl exsuflau exsuflat,exsuflo
45620,45620,hemorrhoissa,n,0,n-s---fn1-,hemorrhoiss,hemorrhoissa
45657,45657,incredibiliter,r,0,rp--------,battuent,incredibiliter
45682,a3044,asellulus,n,0,n-s---mn2-,asellul,asellulus
45675,45675,interminabiliter,r,0,rp--------,,interminabiliter
45645,a3182,assatura,n,0,n-s---fn1-,assatur,assatura
45677,45677,magnuficentia,n,0,n-s---fn1-,magnuficenti,magnuficentia
45650,45650,minagium,n,0,n-s---nn2-,minagi,minagium
45618,45618,oenococtus,a,0,aps---mn1-,oenococt oenococt oenococt,oenococtus
45674,45674,perridicule,r,0,rp--------,,perridicule
45684,45684,perterrefactus,a,0,aps---mn1-,perterrefact perterrefact perterrefact,perterrefactus
45627,45627,pragmatismus,n,0,n-s---mn2-,pragmatism,pragmatismus
45638,45638,pseudochristus,n,0,n-s---mn2-,pseudochrist,pseudochristus
45644,45644,quadrangulus,a,0,aps---mn1-,quadrangul quadrangul quadrangul,quadrangulus
45683,c1663,cinnus,n,0,n-s---mn2-,cinn,cinnus
45667,c2065,clauicarius,n,0,n-s---mn2-,clauicari,clauicarius
45639,c2295,cofanus,n,0,n-s---mn2-,cofan,cofanus
45646,45646,residentialis,a,0,aps---cn3-,residential residential residential,residentialis
45647,c3340,congaudeo,v,0,v1spia--2-,congaud congauis congauis,congaudeo
45652,45652,solidarietas,n,0,n-s---fn3-,solidarietat,solidarietas
45662,c4323,crepitulum,n,0,n-s---nn2-,crepitul,crepitulum
45621,45621,superstitiose,r,0,rp--------,,superstitiose
45681,45681,susiciuus,a,0,aps---mn1-,susiciu susiciu susiciu,susiciuus
45651,c4415,crotalistria,n,0,n-s---fn1-,crotalistri,crotalistria
45622,45622,trano,v,0,v1spia--1-,tran tranau tranat,trano
45629,d0902,derigeo,v,0,v1spia--2-,derig - -,derigeo
45666,d1058,desultor,n,0,n-s---mn3-,desultor,desultor
45640,e1151,eurous,a,0,aps---mn1-,euro euro euro,eurous
45632,e1563,exosus,a,0,aps---mn1-,exos exos exos,exosus
45757,f0106,fala,n,0,n-s---fn1-,fal,fala
45664,h0600,horrisonus,a,0,aps---mn1-,horrison horrison horrison,horrisonus
45624,m0303,mannulus,n,0,n-s---mn2-,mannul,mannulus
45625,p1553,perscriptio,n,0,n-s---fn3-,perscription,perscriptio
45668,p1901,philitia,n,0,n-p---nn2-,philiti,philitia
45676,t1413,triuium,n,0,n-s---nn2-,triui,triuium
45649,a1301,albogiluus,a,0,aps---mn1-,albogilu albogilu albogilu,albogiluus
45678,45678,palatium,n,1,n-s---nn2-,palati,palatium
45703,45703,exequia,n,0,n-s---fn1-,exequi,exequia
45700,45700,acicula,n,0,n-s---fn1-,acicul,acicula
45716,45716,angellus,a,0,aps---mn1-,angell angell angell,angellus
45736,45736,antique,r,0,rp--------,antiquius antiquissime,antique
45725,45725,biometricus,a,0,aps---mn1-,biometric biometric biometric,biometricus
45748,45748,bipatens,n,0,n-s---nn3-,bipatent bipatent bipatent,bipatens
45712,h0726,hymnizo,v,0,v1spia--1-,hymniz hymnizau hymnizat,hymnizo
45728,45728,ceruicatas,n,0,n-s---fn3-,ceruicatat,ceruicatas
45735,45735,chordacista,n,0,n-s---mn1-,chordacist,chordacista
45752,45752,conitum,n,0,n-s---nn2-,conit,conitum
45714,45714,consequens,a,0,aps---an3-,consequent consequent consequent,consequens
45742,45742,conuiuentia,n,0,n-s---fn1-,conuiuenti,conuiuentia
45753,45753,culminatio,n,0,n-s---fn3-,culmination,culminatio
45701,45701,deliquatitudo,n,0,n-s---fn3-,deliquatitudin,deliquatitudo
45686,45686,diadiapason,n,0,n-s---nn2-,diadiapas,diadiapason
45687,45687,didascalus,n,0,n-s---mn2-,didascal,didascalus
45704,45704,docte,r,0,rp--------,exequi,docte
45740,a2981,anularius,n,0,n-s---mn2-,anulari,anularius
45750,45750,effuse,r,0,rp--------,effusius effusissime,effuse
45707,a2552,apricitas,n,0,n-s---fn3-,apricitat,apricitas
45708,a1280,albatus,a,0,aps---mn1-,albat albat albat,albatus
45727,45727,inidoneus,a,0,aps---mn1-,inidone inidone inidone,inidoneus
45749,a2857,armamentum,n,0,n-s---nn2-,armament,armamentum
45731,45731,lethum,n,0,n-s---nn2-,leth,lethum
45715,a2936,arsenogonon,n,0,n-s---nn2g,arsenogon,arsenogonon
45720,45720,megestanus,n,0,n-s---mn2-,megestan,megestanus
45705,45705,occultismus,n,0,n-s---mn2-,occultism,occultismus
45721,45721,paenitendus,a,0,aps---mn1-,megestan megestan megestan,paenitendus
45754,b0204,beatificus,a,0,aps---mn1-,beatific beatific beatific,beatificus
45685,45685,posse,a,0,aps---an3-,perterrefact perterrefact perterrefact,posse
45733,45733,protestantismus,n,0,n-s---mn2-,protestantism,protestantismus
45744,45744,pugilus,n,0,n-s---mn2-,pugil,pugilus
45690,45690,quintadecumanus,n,0,n-s---mn2-,quintadecuman,quintadecumanus
45710,45710,septemdecem,a,0,aps---an3-,testudine testudine testudine,septemdecem
45691,45691,ternus,a,0,aps---mn1-,tern tern tern,ternus
45699,b0727,bulimosus,a,0,aps---mn1-,bulimos bulimos bulimos,bulimosus
45719,45719,unusquisque,a,0,aps---an3-,un un un,unusquisque
45751,b0774,butio,n,0,n-s---mn3-,bution,butio
45698,c1063,celeuma,n,0,n-s---nn3-,celeumat,celeuma
45732,c2238,coaudio,v,0,v1spia--4-,coaud coaudiu coaudit,coaudio
45718,c4528,cuicuimodi,r,0,rp--------,,cuicuimodi
45730,d0681,denauigo,v,0,v1spia--1-,denauig denauigau denauigat,denauigo
45702,e0482,epulae,n,0,n-p---fn1-,epul,epulae
45741,e1033,euangelium,n,0,n-s---nn2-,euangeli,euangelium
45688,e1381,excubitor,n,0,n-s---mn3-,excubitor,excubitor
45696,m0743,menstruo,v,0,v1spia--1-,menstru menstruau menstruat,menstruo
45694,p1294,perlaetus,a,0,aps---mn1-,perlaet perlaet perlaet,perlaetus
45697,r0413,repagulum,n,0,n-s---nn2-,repagul,repagulum
45756,s0524,scala,n,0,n-s---fn1-,scal,scala
45723,t0293,teneritudo,n,0,n-s---fn3-,teneritudin,teneritudo
45709,t0455,testudineus,a,0,aps---mn1-,testudine testudine testudine,testudineus
45734,u0720,uinitor,n,0,n-s---mn3-,uinitor,uinitor
45706,a0392,acnua,n,0,n-s---fn1-,acnu,acnua
45831,45831,circumiacentium,n,0,n-s---nn2-,circumiacenti,circumiacentium
45804,a3741,agonia,n,0,n-s---fn1-,agoni,agonia
45767,a0396,acona,n,0,n-s---fn1-,acon,acona
45777,45777,impartio,v,0,v1spia--4-,impart impartiu impartit,impartio
45788,45788,adsecue,r,0,rp--------,,adsecue
45823,45823,amoenum,n,0,n-s---nn2-,amoen,amoenum
45822,45822,auctumnus,a,0,aps---mn1-,auctumn auctumn auctumn,auctumnus
45820,i9911,iubilatus,n,0,n-s---mn4-,iubilat,iubilatus
45763,45763,cocoa,n,0,n-s---fn1-,coco,cocoa
45810,45810,connascor,n,0,n-s---nn3-,connasc - connat,connascor
45765,45765,contrafacio,v,0,v1spia--3-,contrafac contrafec contrafact,contrafacio
45769,45769,decendium,n,0,n-s---nn2-,decendi,decendium
45832,45832,ethnologus,n,0,n-s---mn2-,ethnolog,ethnologus
45772,45772,execrabilis,a,0,aps---cn3-,execrabil execrabil execrabil,execrabilis
45778,45778,expectatio,n,0,n-s---fn3-,expectation,expectatio
45792,45792,fastigatus,a,0,aps---mn1-,fastigat fastigat fastigat,fastigatus
45814,45814,galetta,n,0,n-s---fn1-,galett,galetta
45773,45773,hercle,r,0,rp--------,execrabil,hercle
45797,45797,immobiliter,r,0,rp--------,,immobiliter
45807,45807,memorandus,a,0,aps---mn1-,memorand memorand memorand,memorandus
45771,45771,nasciturus,a,0,aps---mn1-,nascitur nascitur nascitur,nasciturus
45764,45764,plas,r,0,rp--------,,plas
45826,p3271,praesensio,n,0,n-s---fn3-,praed,praesensio
45825,45825,pusillianimis,a,0,aps---cn3-,pusillianim pusillianim pusillianim,pusillianimis
45819,b0418,bis,r,0,rp--------,centen,bis
45762,45762,sumptuose,r,0,rp--------,terebenthin,sumptuose
45809,c0053,cadauerina,n,0,n-s---fn1-,cadauerin,cadauerina
45818,c1134,centenum,n,0,n-s---nn2-,centen,centenum
45834,c1288,ceruiscus,a,0,aps---mn1-,ceruisc ceruisc ceruisc,ceruiscus
45770,45770,superlabens,a,0,aps---an3-,superlabent superlabent superlabent,superlabens
