,praesignis,a,aps---cn3i,praesign praesign praesign,praesignis,0
49349,49349,antista,n,n-s---fn1-,antist,antista,0
46040,p4649,pyrethrum,n,n-s---nn2-,pyrethr,pyrethrum,0
46012,h0673,hybrida,n,n-s---cn1-,hybrid,hybrida,1
101179,u1167,uolo,v,v1spia--3-,uol uolu -,uolo,1
24719,l0805,limus,n,n-s---mn2-,lim,limus,1
21250,c2718,compectum,n,n-s---nn2-,compect,compectum,1
102805,a2385,apochyma,n,n-s---nn3-,apochymat,apochyma,0
102807,a2388,apocolocyntosis,n,n-s---fn3i,apocolocyntos,apocolocyntosis,0
102810,a1255,apocopus,a,aps---mn1-,apocop apocop apocop,apocopus,0
102812,a2392,apocrotus,a,aps---mn1-,apocrot apocrot apocrot,apocrotus,0
102814,102814,apocrusticus,a,aps---mn1-,apocrustic apocrustic apocrustic,apocrusticus,0
102816,a2396,apocynon,n,n-s---nn2g,apocyn,apocynon,0
102817,a2397,apodecta,n,n-s---mn1-,apodect,apodecta,0
102818,a2398,apoderinus,a,aps---mn1-,apoderin apoderin apoderin,apoderinus,0
102819,a2400,apodixis,n,n-s---fn3i,apodix,apodixis,0
102826,a2411,apologismos,n,n-s---mn2g,apologism,apologismos,0
102827,a2414,apomeli,n,n-s---nn3-,apomelit,apomeli,0
102829,a2416,apophlegmatismos,n,n-s---mn2g,apophlegmatism,apophlegmatismos,0
102831,a2417,apophlegmatizo,v,v1spia--1-,apophlegmatiz apophlegmatizau apophlegmatiza,apophlegmatizo,0
129835,t0463,tethalassomenos,n,n-s---mn2g,tethalassomen,tethalassomenos,1
102768,102768,aphe,n,n-s---fn1g,aph,aphe,0
25081,m1101,miser,a,aps---mn1r,miser miser miser,miser,1
20977,c2012,clades,n,n-s---fn3i,clad,clades,1
21373,c3071,concors,a,aps---cn3i,concord concord concord,concors,1
21655,c3701,contemplo,v,v1spia--1-,contempl contemplau contemplat,contemplo,1
21730,c3868,conueho,v,v1spia--3-,conueh conuex conuect,conueho,1
22019,c4802,cymbalum,n,n-s---nn2-,cymbal,cymbalum,1
22193,d0518,delecto,v,v1spia--1-,delect - delectat,delecto,1
22690,d2113,doleo,v,v1spia--2-,dol dolu dolit,doleo,1
22910,e0791,epitonium,n,n-s---nn2-,epitoni,epitonium,1
24092,i1170,incuruus,a,aps---mn1-,incuru incuru incuru,incuruus,1
24226,i1782,iniquus,a,aps---mn1-,iniqu iniqu iniqu,iniquus,1
29984,i2968,ithyphallicus,a,aps---mn1-,ithyphallic ithyphallic ithyphallic,ithyphallicus,0
25233,m1836,musso,v,v1spia--1-,muss mussau mussat,musso,1
25406,n0712,nutrico,v,v1spia--1-,nutric - nutricat,nutrico,1
125003,r1200,remedio,v,v1spia--1-,remedi remediau remediat,remedio,0
25830,p0799,peniculus,n,n-s---mn2-,penicul,peniculus,1
26105,p2479,polluo,v,v1spia--3-,pollu polluu polluit,polluo,1
29558,c2145,clueo,v,v1spia--2-,clue clueau clueat,clueo,0
37806,a0873,aegocephalus,n,n-s---mn2-,aegocephal,aegocephalus,0
102808,a1269,apocopa,n,n-s---fn1-,apocop,apocopa,0
21928,21928,crumena,n,n-s---fn1-,crumen,crumena,1
102809,102809,apocope,n,n-s---fn1g,apocop,apocope,0
102811,102811,apocrisarius,n,n-s---mn2-,apocrisari,apocrisarius,0
102813,102813,apocrusis,n,n-s---fn3i,apocrus,apocrusis,0
102820,102820,apodosis,n,n-s---fn3i,apodos,apodosis,0
102822,102822,apollinaris,n,n-s---fn3i,apollinar,apollinaris,0
102825,102825,apologeticum,n,n-s---nn2-,apologetic,apologeticum,0
102769,102769,aphorus,n,n-s---mn2-,aphor,aphorus,0
102830,102830,apophlegmatismus,n,n-s---mn2-,apophlegmatism,apophlegmatismus,0
102823,102823,Apollinaristae,n,n-p---mn1-,Apollinarist,Apollinaristae,0
102766,102766,aphanticum,n,n-s---nn2-,aphantic,aphanticum,0
27154,27154,sepulchrum,n,n-s---nn2-,sepulchr,sepulchrum,1
34783,34783,adtorqueo,v,v1spia--2-,adtorqu adtors adtort,adtorqueo,0
36696,36696,summurmuro,v,v1spia--1-,summurmur summurmurau summurmurat,summurmuro,0
49391,a0222,acanthius,a,aps---mn1-,acanthi acanthi acanthi,acanthius,0
49429,49429,mistus,a,aps---mn1-,mist mist mist,mistus,0
102836,a2420,apopiras,n,n-s---nn3-,apopirat,apopiras,0
102837,102837,apoplanesis,n,n-s---fn3i,apoplanes,apoplanesis,0
102839,a2424,apoproegmena,n,n-p---nn2-,apoproegmen,apoproegmena,0
102840,102840,apoproegmenon,n,n-s---nn2g,apoproegmen,apoproegmenon,0
102841,102841,aporema,n,n-s---nn3-,aporemat,aporema,0
102842,a2429,aporria,n,n-s---fn1-,aporri,aporria,0
102843,a2430,aposcopeuon,n,n-s---mn3i,aposcopeuont,aposcopeuon,0
102844,a2431,aposiopesis,n,n-s---fn3i,aposiopes,aposiopesis,0
102845,a2433,aposplenos,n,n-s---fn2g,aposplen,aposplenos,0
102846,a2436,apostatatio,n,n-s---fn3-,apostatation,apostatatio,0
102848,102848,apostatice,r,rp--------,,apostatice,0
102847,a2437,apostatatus,n,n-s---mn4-,apostatat,apostatatus,0
102850,102850,apostoli,n,n-p---mn2-,apostol,apostoli,0
102851,102851,apostolice,r,rp--------,,apostolice,0
102852,102852,apostrophe,n,n-s---fn1g,apostroph,apostrophe,0
102853,102853,apostrophus,n,n-s---fn2-,apostroph,apostrophus,0
102858,102858,apothermum,n,n-s---nn2-,apotherm,apothermum,0
102861,102861,appagineculi,n,n-p---mn2-,appaginecul,appagineculi,0
102864,102864,apparens,a,aps---an3i,apparent apparent apparent,apparens,0
102855,a2448,apotamia,n,n-s---fn1-,apotami,apotamia,0
102856,a2450,apotelesmatice,n,n-s---fn1g,apotelesmatic,apotelesmatice,0
102865,102865,apparenter,r,rp--------,,apparenter,0
102866,102866,apparitorium,n,n-s---nn2-,apparitori,apparitorium,0
102869,102869,appellatus,a,aps---mn1-,appellat appellat appellat,appellatus,0
102859,a2455,apothesis,n,n-s---fn3i,apothes,apothesis,0
102870,102870,appellitatus,a,aps---mn1-,appellitat appellitat appellitat,appellitatus,0
102872,102872,appendiculum,n,n-s---nn2-,appendicul,appendiculum,0
102860,a2457,apotome,n,n-s---fn1g,apotom,apotome,0
102875,102875,appetitiuus,a,aps---mn1-,appetitiu appetitiu appetitiu,appetitiuus,0
102862,a2462,apparamentum,n,n-s---nn2-,apparament,apparamentum,0
102878,102878,appianum,n,n-s---nn2-,appian,appianum,0
102880,102880,appiosus,a,aps---mn1-,appios appios appios,appiosus,0
102881,102881,applano,v,v1spia--1-,applan applanau applana,applano,0
102884,102884,applecto,v,v1spia--3-,,applecto,0
102886,102886,applodo,v,v1spia--3-,applod applos applos,applodo,0
102867,a2474,appasco,v,v1spia--3-,,appasco,0
102887,102887,applosus,a,aps---mn1-,applos applos applos,applosus,0
102868,a2476,appectoro,v,v1spia--1-,appector appectorau appectora,appectoro,0
102891,102891,apprehensus,a,aps---mn1-,apprehens apprehens apprehens,apprehensus,0
102892,102892,appretiatus,a,aps---mn1-,appretiat appretiat appretiat,appretiatus,0
102871,a2484,appendicium,n,n-s---nn2-,appendici,appendicium,0
102854,102854,Apotactitae,n,n-p---mn1-,Apotactit,Apotactitae,0
102832,102832,apophonema,n,n-s---nn3-,apophonemat,apophonema,0
102873,a2486,appendium,n,n-s---nn2-,appendi,appendium,0
102874,a2489,appensio,n,n-s---fn3-,appension,appensio,0
102877,a2497,appetitrix,n,n-s---fn3-,appetitric,appetitrix,0
102879,a2501,appingo,v,v1spia--3-,,appingo,0
102882,a2503,applar,n,n-s---nn3i,applar,applar,0
102885,a2506,applene,r,rp--------,,applene,0
102889,a2519,appositiuus,a,aps---mn1-,appositiu appositiu appositiu,appositiuus,0
102890,a2524,apprehensibilis,a,aps---cn3i,apprehensibil apprehensibil apprehensibil,apprehensibilis,0
102893,a2530,approbabilis,a,aps---cn3i,approbabil approbabil approbabil,approbabilis,0
102894,a2531,approbamentum,n,n-s---nn2-,approbament,approbamentum,0
49434,49434,nouitiatus,n,n-s---mn4-,nouitiat,nouitiatus,0
102898,a2548,appungo,v,v1spia--3-,appung - appunct,appungo,0
102951,a2902,aratus,n,n-s---mn4-,arat,aratus,0
102899,102899,aprarlus,a,aps---mn1-,aprarl aprarl aprarl,aprarlus,0
102901,a2556,aprifer,a,aps---mn1r,aprifer aprifer aprifer,aprifer,0
102902,102902,aprocopes,n,n-s---mn3-,aprocop,aprocopes,0
102903,a2560,aproxis,n,n-s---fn3i,aprox,aproxis,0
102906,a2569,apsyctos,n,n-s---fn2g,apsyct,apsyctos,0
102907,a2570,aptabilis,a,aps---cn3i,aptabil aptabil aptabil,aptabilis,0
102909,102909,aptabiliter,r,rp--------,,aptabiliter,0
102910,a2573,aptatura,n,n-s---fn1-,aptatur,aptatura,0
102911,102911,aptifico,v,v1spia--1-,aptific aptificau aptifica,aptifico,0
102913,102913,aptote,r,rp--------,,aptote,0
102912,a2576,aptota,n,n-p---nn2-,aptot,aptota,0
102914,a2576,aptotus,a,aps---mn1-,aptot aptot aptot,aptotus,0
102915,a2577,aptra,n,n-p---nn2-,aptr,aptra,0
102918,102918,apyrotos,a,aps---mn1g,apyrot apyrot apyrot,apyrotos,0
102919,102919,aquaeductio,n,n-s---fn3-,aquaeduction,aquaeductio,0
102920,102920,aquaemanale,n,n-s---nn3i,aquaemanal,aquaemanale,0
102916,a2580,apuliae,n,n-p---fn1-,apuli,apuliae,0
102922,102922,aquaemanalis,n,n-s---mn3i,aquaemanal,aquaemanalis,0
102923,102923,aquale,n,n-s---nn3i,aqual,aquale,0
102917,a2584,apyros,a,aps---mn1g,apyr apyr apyr,apyros,0
102927,102927,aquifuga,n,n-s---fn1-,aquifug,aquifuga,0
102928,102928,aquilegium,n,n-s---nn2-,aquilegi,aquilegium,0
102929,102929,aquilegus,n,n-s---mn2-,aquileg,aquilegus,0
102921,a2587,aquaemanalis,a,aps---cn3i,aquaemanal aquaemanal aquaemanal,aquaemanalis,0
102932,102932,aquilonaris,a,aps---cn3i,aquilonar aquilonar aquilonar,aquilonaris,0
102934,102934,aquimanarium,n,n-s---nn2-,aquimanari,aquimanarium,0
102935,102935,aquimanile,n,n-s---nn3i,aquimanil,aquimanile,0
102937,102937,aquipenser,n,n-s---mn3-,aquipenser,aquipenser,0
102924,a2591,aqualium,n,n-s---nn2-,aquali,aqualium,0
102926,a2595,aquatilis,a,aps---cn3i,aquatil aquatil aquatil,aquatilis,0
102941,102941,aracusia,n,n-s---fn1-,aracusi,aracusia,0
102944,102944,arapennis,n,n-s---mn3i,arapenn,arapennis,0
102945,102945,arataeus,a,aps---mn1-,aratae aratae aratae,arataeus,0
102931,a2613,aquilonalis,a,aps---cn3i,aquilonal aquilonal aquilonal,aquilonalis,0
102949,102949,aratura,n,n-s---fn1-,aratur,aratura,0
102950,102950,aratus,a,aps---mn1-,arat arat arat,aratus,0
102933,a2615,aquilonianus,a,aps---mn1-,aquilonian aquilonian aquilonian,aquilonianus,0
102954,102954,arbitratus,a,aps---mn1-,arbitrat arbitrat arbitrat,arbitratus,0
102936,a2618,aquiminale,n,n-s---nn3i,aquiminal,aquiminale,0
102956,102956,arboracia,n,n-s---fn1-,arboraci,arboracia,0
102957,102957,arboraria,n,n-s---fn1-,arborari,arboraria,0
102958,102958,arbuscular,n,n-s---nn3i,arbuscular,arbuscular,0
102938,a2623,aquositas,n,n-s---fn3-,aquositat,aquositas,0
102961,102961,arbutetum,n,n-s---nn2-,arbutet,arbutetum,0
102897,102897,approximatio,n,n-s---fn3-,approximation,approximatio,0
102940,a2632,aracos,n,n-s---mn2g,arac,aracos,0
102942,a2633,araeostylos,a,aps---mn1g,araeostyl araeostyl araeostyl,araeostylos,0
102943,a2636,araneans,a,aps---an3i,araneant araneant araneant,araneans,0
102947,a2645,aratorius,a,aps---mn1-,aratori aratori aratori,aratorius,0
102948,a2646,aratrix,n,n-s---fn3-,aratric,aratrix,0
102955,a2656,arbitrix,n,n-s---fn3-,arbitric,arbitrix,0
102959,a2666,arbusculosus,a,aps---mn1-,arbusculos arbusculos arbusculos,arbusculosus,0
102960,a2667,arbusticola,n,n-s---mn1-,arbusticol,arbusticola,0
49414,c0250,calleo,v,v1spia--2-,call callu -,calleo,0
49399,49399,obductus,a,aps---mn1-,superlin superlin superlin,obductus,0
102965,a2685,arcessio,n,n-s---fn3-,arcession,arcessio,0
102963,102963,arcellacae,n,n-s---fn1g,arcellaca,arcellacae,0
102966,102966,archa,n,n-s---fn1-,arch,archa,0
102970,a2693,archebion,n,n-s---nn2g,archebi,archebion,0
102971,a3730,archebulius,a,aps---mn1-,archebuli archebuli archebuli,archebulius,0
102972,a2694,archeotes,n,n-s---mn1g,archeot,archeotes,0
102973,a2697,archezostis,n,n-s---fn3i,archezost,archezostis,0
102975,a2699,archiatria,n,n-s---fn1-,archiatri,archiatria,0
102968,102968,archaismos,n,n-s---mn2g,archaism,archaismos,0
102977,a2701,archiclinicus,n,n-s---mn2-,archiclinic,archiclinicus,0
102978,a2705,archidiacon,n,n-s---mn3-,archidiacon,archidiacon,0
102976,102976,archiatros,n,n-s---mn2g,archiatr,archiatros,0
102979,a2708,archierosyne,n,n-s---fn1g,archierosyn,archierosyne,0
102982,a2714,archimandritissa,n,n-s---fn1-,archimandritiss,archimandritissa,0
102980,102980,archigeron,n,n-s---mn3i,archigeront,archigeron,0
102984,102984,archinauta,n,n-s---mn1-,archinaut,archinauta,0
102985,102985,archineaniscus,n,n-s---mn2-,archineanisc,archineaniscus,0
102983,a2715,archimartyr,n,n-s---mn3-,archimartyr,archimartyr,0
102986,102986,archipiraticus,a,aps---mn1-,archipiratic archipiratic archipiratic,archipiraticus,0
102989,102989,archisellium,n,n-s---nn2-,archiselli,archisellium,0
102990,102990,archisynagoga,n,n-s---fn1-,archisynagog,archisynagoga,0
102987,a2718,archiposia,n,n-s---fn1-,archiposi,archiposia,0
102995,102995,architectonia,n,n-s---fn1-,architectoni,architectonia,0
102988,a2720,archisacerdos,n,n-s---mn3-,archisacerdot,archisacerdos,0
102993,a2722,architecticus,a,aps---mn1-,architectic architectic architectic,architecticus,0
102994,a2723,architectio,n,n-s---fn3-,architection,architectio,0
103003,103003,arcio,v,v1spia--4-,arc arciu arcit,arcio,0
103004,103004,arcipirata,n,n-s---mn1-,arcipirat,arcipirata,0
103005,103005,arcites,n,n-s---mn3-,arcit,arcites,0
102998,a2729,architectulus,n,n-s---mn2-,architectul,architectulus,0
103008,103008,arctatio,n,n-s---fn3-,arctation,arctatio,0
103009,103009,arctatus,a,aps---mn1-,arctat arctat arctat,arctatus,0
102999,a2731,architriclinium,n,n-s---nn2-,architriclini,architriclinium,0
103011,103011,arctum,n,n-s---nn2-,arct,arctum,0
103012,103012,arctura,n,n-s---fn1-,arctur,arctura,0
103000,a2736,archontici,n,n-p---mn2-,archontic,archontici,0
103001,a2738,arcifer,n,n-s---mn2r,arcifer,arcifer,0
103002,a2739,arcifinalis,a,aps---cn3i,arcifinal arcifinal arcifinal,arcifinalis,0
103016,103016,arcubius,n,n-s---mn2-,arcubi,arcubius,0
103017,103017,arcuites,n,n-s---mn3-,arcuit,arcuites,0
103020,103020,arcumen,n,n-s---nn3-,arcumin,arcumen,0
103006,a2745,arciuus,a,aps---mn1-,arciu arciu arciu,arciuus,0
103023,103023,arefactus,a,aps---mn1-,arefact arefact arefact,arefactus,0
103024,103024,arenacius,a,aps---mn1-,arenaci arenaci arenaci,arenacius,0
103025,103025,arenarius,n,n-s---mn2-,arenari,arenarius,0
103007,a2746,arcoleon,n,n-s---mn3i,arcoleont,arcoleon,0
102962,102962,arcebion,n,n-s---nn2g,arcebi,arcebion,0
103010,a2748,arction,n,n-s---nn2g,arcti,arction,0
103014,a2757,arcuballistarius,n,n-s---mn2-,arcuballistari,arcuballistarius,0
103015,a2758,arcubii,n,n-p---mn2-,arcubi,arcubii,0
103018,a2761,arculata,n,n-p---nn2-,arculat,arculata,0
103021,a2770,ardissa,n,n-s---fn1-,ardiss,ardissa,0
103026,a2780,arepennis,n,n-s---mn3i,arepenn,arepennis,0
49364,c0387,candetum,n,n-s---nn2-,candet,candetum,0
49416,c1267,certatiue,r,rp--------,,certatiue,0
49400,49400,quiddam,n,n-s---mn1-,,quiddam,0
49370,49370,rescriptum,n,n-s---nn2-,rescript,rescriptum,0
49483,a0384,acinosus,a,aps---mn1-,acinos acinos acinos,acinosus,0
49550,49550,adgnatus,n,n-s---mn2-,adgnat,adgnatus,0
45553,u9893,utrimquesecus,r,rp--------,,utrimquesecus,0
49645,49645,aduentitius,a,aps---mn1-,aduentiti aduentiti aduentiti,aduentitius,0
49736,49736,affectrix,n,n-s---fn3-,affectric,affectrix,0
49766,i3033,iumentum,n,n-s---nn2-,,iumentum,0
48552,u1343,utrinde,r,rp--------,,utrinde,0
50029,,nardus,n,n-s---fn2-,nard,nardus,1
49989,m0629,melissophyllum,n,n-s---nn2-,melissophyll,melissophyllum,1
50138,50138,apathicus,a,aps---mn1-,apathic apathic apathic,apathicus,0
50174,50174,apsto,v,v1spia--1-,apst apstet apstat,apsto,0
50244,50244,antefixus,n,n-s---nn3-,antefix antefix antefix,antefixus,0
103082,103082,aron,n,n-s---nn2g,ar,aron,0
103083,103083,aros,n,n-s---fn2g,ar,aros,0
103058,a2846,aristocratia,n,n-s---fn1-,aristocrati,aristocratia,0
103030,a2793,argentifex,n,n-s---mn3-,argentific,argentifex,0
103084,103084,arquipotens,a,aps---an3i,arquipotent arquipotent arquipotent,arquipotens,0
103086,103086,arquo,v,v1spia--1-,arqu arquau arqua,arquo,0
103087,103087,arragia,n,n-s---fn1-,arragi,arragia,0
103089,103089,arrhabo,n,n-s---mn3-,arrhabon,arrhabo,0
103090,103090,arrhalis,a,aps---cn3i,arrhal arrhal arrhal,arrhalis,0
103091,103091,arrhenogonon,n,n-s---nn2-,arrhenogon,arrhenogonon,0
103085,a2906,arquites,n,n-s---mn3-,arquit,arquites,0
103028,103028,Argenta,n,n-p---nn2-,Argent,Argenta,0
103033,103033,arguitio,n,n-s---fn3-,arguition,arguitio,0
103088,a2910,arralis,a,aps---cn3i,arral arral arral,arralis,0
103029,103029,argentalis,a,aps---cn3i,argental argental argental,argentalis,0
103034,103034,arguiturus,a,aps---mn1-,arguitur arguitur arguitur,arguiturus,0
103035,103035,argumentabilis,a,aps---cn3i,argumentabil argumentabil argumentabil,argumentabilis,0
103037,103037,argumentatus,a,aps---mn1-,argumentat argumentat argumentat,argumentatus,0
103038,103038,argumentose,r,rp--------,,argumentose,0
103092,a2915,arrhenogonos,a,aps---mn1g,arrhenogon arrhenogon arrhenogon,arrhenogonos,0
115434,i2965,iteratiuus,a,aps---mn1-,iteratiu iteratiu iteratiu,iteratiuus,0
103045,a2821,argyritis,n,n-s---fn3-,argyritid,argyritis,0
103039,a7808,argumentuose,r,rp--------,,argumentuose,0
103040,a2814,argutio,n,n-s---fn3-,argution,argutio,0
103042,a2818,argyranche,n,n-s---fn1g,argyranch,argyranche,0
103047,a2823,argyrodamas,n,n-s---mn3i,argyrodamant,argyrodamas,0
103048,a2824,argyroprata,n,n-s---mn1-,argyroprat,argyroprata,0
103043,a2819,argyraspides,n,n-s---mn3-,argyraspid,argyraspides,0
103059,a2848,aristophorum,n,n-s---nn2-,aristophor,aristophorum,0
103046,103046,argyrocorinthius,a,aps---mn1-,argyrocorinthi argyrocorinthi argyrocorinthi,argyrocorinthius,0
103051,a1568,arida,n,n-s---fn1-,arid,arida,0
103041,103041,arguturus,a,aps---mn1-,argutur argutur argutur,arguturus,0
103044,103044,argyraspis,n,n-s---mn3-,argyraspid,argyraspis,0
103049,103049,argyros,n,n-s---fn2g,argyr,argyros,0
103053,a2838,aringus,n,n-s---mn2-,aring,aringus,0
103050,103050,argyrotoxus,n,n-s---mn2-,argyrotox,argyrotoxus,0
103052,103052,arietatus,a,aps---mn1-,arietat arietat arietat,arietatus,0
103054,103054,ariolatio,n,n-s---fn3-,ariolation,ariolatio,0
103056,103056,ariste,n,n-s---fn1g,arist,ariste,0
50369,i3067,iuro,v,v1spia--1-,iur iurau iurat,iuro,0
103098,a2935,arsen,n,n-s---mn3-,arsen,arsen,0
19636,a1057,aeuum,n,n-s---nn2-,aeu,aeuum,1
46009,46009,alumentarius,a,aps---mn1-,alumentari alumentari alumentari,alumentarius,0
103125,a2970,artius,a,aps---mn1-,arti arti arti,artius,0
103100,a2938,arsis,n,n-s---fn3i,ars,arsis,0
103101,a2781,arsura,n,n-s---fn1-,arsur,arsura,0
103102,103102,arsus,a,aps---mn1-,ars ars ars,arsus,0
103103,103103,artemedion,n,n-s---nn2g,artemedi,artemedion,0
103106,103106,Artena,n,n-s---fn1-,Arten,Artena,0
103105,103105,artemon,n,n-s---mn3-,artemon,artemon,0
103158,103158,Ascalon,n,n-s---fn3-,Ascalon,Ascalon,0
103110,103110,arteriosus,a,aps---mn1-,arterios arterios arterios,arteriosus,0
103111,103111,arthrisis,n,n-s---fn3i,arthris,arthrisis,0
103112,103112,arthrum,n,n-s---nn2-,arthr,arthrum,0
103114,103114,artificalis,a,aps---cn3i,artifical artifical artifical,artificalis,0
103115,103115,artifice,r,rp--------,,artifice,0
103116,103116,artificialia,n,n-p---nn3i,artificial,artificialia,0
103109,a2946,arteriasis,n,n-s---mn3i,arterias,arteriasis,0
103122,103122,artios,a,aps---mn1g,arti arti arti,artios,0
103123,103123,artisellium,n,n-s---nn2-,artiselli,artisellium,0
103113,a2955,articulator,n,n-s---mn3-,articulator,articulator,0
103126,103126,artolagynos,n,n-s---mn2g,artolagyn,artolagynos,0
103118,a2961,artificina,n,n-s---fn1-,artificin,artificina,0
103131,103131,aruena,n,n-s---mn1-,aruen,aruena,0
103132,103132,aruenio,v,v1spia--4-,aruen arueniu aruenit,aruenio,0
103119,a2962,artificiolum,n,n-s---nn2-,artificiol,artificiolum,0
103134,103134,aruilla,n,n-s---fn1-,aruill,aruilla,0
103121,a2966,artigraphus,n,n-s---mn2-,artigraph,artigraphus,0
103137,103137,aruix,n,n-s---mn3-,aruig,aruix,0
103138,103138,arundifer,a,aps---mn1r,arundifer arundifer arundifer,arundifer,0
103139,103139,arundinaceus,a,aps---mn1-,arundinace arundinace arundinace,arundinaceus,0
103140,103140,arundinarius,n,n-s---mn2-,arundinari,arundinarius,0
103141,103141,arundinatio,n,n-s---fn3-,arundination,arundinatio,0
103142,103142,arundineus,a,aps---mn1-,arundine arundine arundine,arundineus,0
103124,a2968,artitus,a,aps---mn1-,artit artit artit,artitus,0
103145,103145,aruspica,n,n-s---fn1-,aruspic,aruspica,0
103146,103146,aruspicinus,a,aps---mn1-,aruspicin aruspicin aruspicin,aruspicinus,0
103147,103147,arytena,n,n-s---fn1-,aryten,arytena,0
103148,103148,arythmatus,a,aps---mn1-,arythmat arythmat arythmat,arythmatus,0
103149,103149,arythmus,a,aps---mn1-,arythm arythm arythm,arythmus,0
103150,103150,asaron,n,n-s---nn2g,asar,asaron,0
103151,103151,asarota,n,n-p---nn2-,asarot,asarota,0
103153,103153,asarotum,n,n-s---nn2-,asarot,asarotum,0
103154,103154,asbestinum,n,n-s---nn2-,asbestin,asbestinum,0
103155,103155,asbestinus,a,aps---mn1-,asbestin asbestin asbestin,asbestinus,0
103156,103156,asbeston,n,n-s---nn2-,asbest,asbeston,0
103104,103104,Artemo,n,n-s---mn3-,Artemon,Artemo,0
103128,a2978,artro,v,v1spia--1-,artr artrau artra,artro,0
103129,a2980,artuo,v,v1spia--1-,artu artuau artua,artuo,0
103130,a3006,arua,n,n-s---fn1-,aru,arua,0
103133,a2987,aruignus,a,aps---mn1-,aruign aruign aruign,aruignus,0
103135,a2990,aruinula,n,n-s---fn1-,aruinul,aruinula,0
103144,a3005,arusion,n,n-s---nn2g,arusi,arusion,0
103152,a3002,asaroticus,a,aps---mn1-,asarotic asarotic asarotic,asaroticus,0
103157,a3013,asbestos,n,n-s---mn2g,asbest,asbestos,0
115439,i7967,itero,r,rp--------,,itero,0
103164,103164,ascenus,a,aps---mn1-,ascen ascen ascen,ascenus,0
19189,19189,abundans,a,aps---an3i,abundant abundant abundant,abundans,1
103215,a3123,assello,v,v1spia--1-,assell assellau assella,assello,0
103166,103166,asceterion,n,n-s---nn2g,asceteri,asceterion,0
103167,a6025,ascetriae,n,n-p---fn1-,ascetri,ascetriae,0
103168,103168,asciculus,n,n-s---mn2-,ascicul,asciculus,0
103170,103170,asclepion,n,n-s---nn2g,asclepi,asclepion,0
103169,a3029,asciola,n,n-s---fn1-,asciol,asciola,0
103171,103171,ascriptiui,n,n-p---mn2-,ascriptiu,ascriptiui,0
103174,103174,asena,n,n-s---fn1-,asen,asena,0
103177,103177,asiarchia,n,n-s---fn1-,asiarchi,asiarchia,0
103172,a3043,asellio,n,n-s---mn3-,asellion,asellio,0
103163,103163,ascendentes,n,n-p---mn3i,ascendent,ascendentes,0
103179,103179,asinaricius,n,n-s---mn2-,asinarici,asinaricius,0
103173,a3046,asemus,a,aps---mn1-,asem asem asem,asemus,0
103181,103181,asomatos,a,aps---mn1g,asomat asomat asomat,asomatos,0
103182,103182,asoticos,a,aps---mn1g,asotic asotic asotic,asoticos,0
103184,103184,aspalathos,n,n-s---mn2g,aspalath,aspalathos,0
103175,a3047,aseptus,a,aps---mn1-,asept asept asept,aseptus,0
103189,103189,asperatus,a,aps---mn1-,asperat asperat asperat,asperatus,0
103180,a3060,asma,n,n-s---nn3-,asmat,asma,0
103190,103190,asperitudo,n,n-s---fn3-,asperitudin,asperitudo,0
103192,103192,aspernandus,a,aps---mn1-,aspernand aspernand aspernand,aspernandus,0
103193,103193,aspernatus,a,aps---mn1-,aspernat aspernat aspernat,aspernatus,0
103197,103197,asphodilus,n,n-s---mn2-,asphodil,asphodilus,0
103183,a3063,asotus,a,aps---mn1-,asot asot asot,asotus,0
103199,103199,aspideion,n,n-s---nn2-,aspidei,aspideion,0
103186,a3069,aspector,n,n-s---mn3-,aspector,aspector,0
103187,a3071,aspendios,n,n-s---fn2g,aspendi,aspendios,0
103188,a3073,asperatio,n,n-s---fn3-,asperation,asperatio,0
103207,103207,aspreta,n,n-p---nn2-,aspret,aspreta,0
103191,a3079,aspernabilis,a,aps---cn3i,aspernabil aspernabil aspernabil,aspernabilis,0
103208,103208,aspro,v,v1spia--1-,aspr asprau asprat,aspro,0
103209,103209,assa,n,n-p---nn2-,ass,assa,0
103212,103212,assator,n,n-s---mn3-,assator,assator,0
103194,a3086,asperugo,n,n-s---fn3-,asperugin,asperugo,0
103213,103213,assatus,a,aps---mn1-,assat assat assat,assatus,0
103220,103220,assertus,a,aps---mn1-,assert assert assert,assertus,0
103196,a3088,asphaltus,n,n-s---fn2-,asphalt,asphaltus,0
103198,a3090,aspicialis,a,aps---cn3i,aspicial aspicial aspicial,aspicialis,0
103200,a3093,aspiramentum,n,n-s---nn2-,aspirament,aspiramentum,0
103222,103222,assidarius,n,n-s---mn2-,assidari,assidarius,0
103201,a3094,aspiratiuus,a,aps---mn1-,aspiratiu aspiratiu aspiratiu,aspiratiuus,0
103223,103223,assifolium,n,n-s---nn2-,assifoli,assifolium,0
103161,103161,ascaris,n,n-s---fn3-,ascarid,ascaris,0
103202,a3098,aspisatis,n,n-s---fn3i,aspisat,aspisatis,0
103205,a3102,aspratilis,a,aps---cn3i,aspratil aspratil aspratil,aspratilis,0
103206,a3103,aspratura,n,n-s---fn1-,aspratur,aspratura,0
103210,a3109,assacrificium,n,n-s---nn2-,assacrifici,assacrificium,0
103211,a3111,assaratum,n,n-s---nn2-,assarat,assaratum,0
103216,a3127,assentaneus,a,aps---mn1-,assentane assentane assentane,assentaneus,0
