id,uri,lemma,pos,morpho,principal_parts,irregular_forms,alternative_forms,pronunciation,prosody,validated
21669,21669,continens,a,aps---an3i,continent continent continent,,,[ˈkɔn.tɪ.nẽːs],continens,1
21607,21607,constans,a,aps---an3i,constant constant constant,,,[ˈkõː.stãːs],constans,1
119998,119998,ossigenius,a,aps---mn1-,ossigeni ossigeni ossigeni,,,[ɔs.sɪ.'gɛ.n̪ɪ̣.jʊs],ossigenius,0
21679,c3759,contio,n,n-s---fn3-,contion,,,/ˈkoːn.ti.oː/,contio,1
46118,46118,Here,n,n-s---fn3g,Her,,,['hɛ.rɛ],Here,0
46131,46131,adsessorium,n,n-s---nn2-,adsessori,,,[ad̪.sɛs.'sɔ.rɪ̣.jũː],adsessorium,0
21680,c3774,contorqueo,v,v1spia--2-,contorqu contors contort,,,[kɔnˈtɔr.kᶣe.oː],contorqueo,1
21681,c3783,contractio,n,n-s---fn3-,contraction,,,/konˈtrak.ti.oː/,contractio,1
21683,c3787,contradico,v,v1spia--3-,contradic contradix contradict,,,/kon.traːˈdiː.koː/,contradico,1
21677,21677,continuo,r,rp--------,,,,[kɔn̪.'t̪ɪ.n̪ʊ.joː],continuo,1
21684,c3788,contradictio,n,n-s---fn3-,contradiction,,,/kon.traːˈdik.ti.oː/,contradictio,1
21685,c3790,contradictor,n,n-s---mn3-,contradictor,,,/kon.traːˈdik.tor/,contradictor,1
21687,c3791,contrapositum,n,n-s---nn2-,contraposit,,,[kɔn̪.t̪ra.'pɔ.sɪ.t̪ũː],contrapositum,1
21688,c3798,contrarietas,n,n-s---fn3-,contrarietat,,,[kɔn̪.t̪ra.'rɪ̣.jɛ.t̪as],contrarietas,1
21689,c3800,contrarius,a,aps---mn1-,contrari contrari contrari,,,[kɔnˈtraː.ri.ʊs],contrarius,1
21690,c3811,contrecto,v,v1spia--1-,contrect contrectau contrectat,,,[kɔnˈtrɛk.toː],contrecto,1
21693,c3818,contribuo,v,v1spia--3-,contribu contribu contribut,,,[kɔnˈtrɪ.bʊ.oː],contribuo,1
21694,c3819,contributio,n,n-s---fn3-,contribution,,,[kɔn̪.t̪rɪ.'bʊ.t̪ɪ̣.jɔ],contributio,1
21695,c3820,contrico,v,v1spia--1-,contric contricau contricat,,,['kɔn̪.t̪rɪ.kɔ],contrico,1
21696,c3821,contrio,v,v1spia--4-,contr contriu contrit,,,['kɔn̪.t̪rɪ̣.jɔ],contrio,1
21697,c3823,contristo,v,v1spia--1-,contrist contristau contristat,,,[kɔnˈtriːs.toː],contristo,1
21698,c3824,contritio,n,n-s---fn3-,contrition,,,[kɔn̪.'t̪rɪ.t̪ɪ̣.jɔ],contritio,1
21700,c3825,controuersia,n,n-s---fn1-,controuersi,,,[kɔn.troːˈwɛr.si.a],controuersia,1
21703,c3831,contrucido,v,v1spia--1-,contrucid contrucidau contrucidat,,,[kɔn.trʊˈkiː.doː],contrucido,1
21704,c3832,contrudo,v,v1spia--3-,contrud contrus contrus,,,[kɔnˈtruː.doː],contrudo,1
21682,21682,contractus,a,aps---mn1-,contract contract contract,,,[kɔnˈtrak.tʊs],contractus,1
21706,c3835,contubernium,n,n-s---nn2-,contuberni,,,[kɔn.tʊˈbɛr.ni.ũ],contubernium,1
21708,c9826,contuitus,n,n-s---mn4-,contuit,,,[kɔn̪.'t̪uj.t̪ʊs],contuitus,1
21709,c3837,contumacia,n,n-s---fn1-,contumaci,,,/kon.tuˈma.ki.a/,contumacia,1
21711,c3838,contumax,a,aps---an3-,contumac contumac contumac,,,[ˈkɔn.tʊ.maːks],contumax,1
21712,c3839,contumelia,n,n-s---fn1-,contumeli,,,[kɔn.tʊˈmeː.li.a],contumelia,1
21715,c3845,conturbatio,n,n-s---fn3-,conturbation,,,[kɔn̪.t̪ʊr.'ba.t̪ɪ̣.jɔ],conturbatio,1
21699,21699,contritus,a,aps---mn1-,contrit contrit contrit,,,[kɔnˈtriː.tʊs],contritus,1
21717,c3847,conturbo,v,v1spia--1-,conturb conturbau conturbat,,,[kɔnˈtʊr.boː],conturbo,1
21718,c3850,contus,n,n-s---mn2-,cont,,,['kɔn̪.t̪ʊs],contus,1
21719,c3851,contusio,n,n-s---fn3-,contusion,,,[kɔn̪.'t̪ʊ.sɪ̣.jɔ],contusio,1
21720,c3984,contusum,n,n-s---nn2-,contus,,,[kɔn̪.'t̪uː.sũː],contusum,1
21710,21710,contumaciter,r,rp--------,contumac,,,[kɔn.tʊˈmaː.kɪ.tɛr],contumaciter,1
21725,c3855,conualesco,v,v1spia--3-,conualesc conualu conualit,,,[kɔn.waˈɫeːs.koː],conualesco,1
21726,c3857,conuallis,n,n-s---fn3i,conuall,,,[kɔ.n̪ʊ.'jaɫ.lɪs],conuallis,1
21727,c3858,conuallo,v,v1spia--1-,conuall conuallau conuallat,,,[kɔ.n̪ʊ.'jaɫ.lɔ],conuallo,1
21728,c3860,conuaso,v,v1spia--1-,conuas conuasau conuasat,,,[kɔ.'n̪ʊ.ja.sɔ],conuaso,1
21721,c3861,conubialis,a,aps---cn3i,conubial conubial conubial,,,[kɔ.n̪ʊ.'bɪ̣.ja.lɪs],conubialis,1
21722,c3862,conubium,n,n-s---nn2-,conubi,,,[koːˈnuː.bi.ũ],conubium,1
21729,c4841,conuector,n,n-s---mn3-,conuector,,,[kɔ.n̪ʊ.'jɛk.t̪ɔr],conuector,1
21731,c3869,conuello,v,v1spia--3-,conuell conuuls conuuls,,,[kɔnˈwɛl.loː],conuello,1
21734,c3872,conuenio,v,v1spia--4-,conuen conuen conuent,,,[kɔnˈwɛ.ni.oː],conuenio,1
21735,c3875,conuentio,n,n-s---fn3-,conuention,,,[kɔ.n̪ʊ.'jɛn̪.t̪ɪ̣.jɔ],conuentio,1
21723,c3940,conus,n,n-s---mn2-,con,,,[ˈkoː.nʊs],conus,1
113053,i0309,imbracteo,v,v1spia--1-,imbracte - imbracteat,,,[ɪm.'bra.kt̪ɛ̣.jɔ],imbracteo,0
21672,c3750,contineo,v,v1spia--2-,contin continu content,,,[kɔnˈtɪ.ne.oː],contineo,1
21716,21716,conturbatus,a,aps---mn1-,conturbat conturbat conturbat,,,[kɔn̪.'t̪ʊr.ba.t̪ʊs],conturbatus,1
21674,c3753,continuatim,r,rp--------,,,,[kɔn̪.'t̪ɪ.n̪ʊ.jat̪ĩː],continuatim,1
21732,21732,conueniens,a,aps---an3i,conuenient conuenient conuenient,,,[kɔ.n̪ʊ.'jɛ.n̪ɪ̣.jeːn̪s],conueniens,1
46202,a0551,ademptor,n,n-s---mn3-,ademptor,,,[a.'d̪ɛmp.t̪ɔr],ademptor,0
21740,c4848,conuersatio,n,n-s---fn3-,conuersation,,,[kɔn.wɛrˈsaː.ti.oː],conuersatio,1
21742,c3892,conuerto,v,v1spia--3-,conuert conuert conuers,,,[kɔnˈwɛr.toː],conuerto,1
21743,c3895,conuestio,v,v1spia--4-,conuest conuestiu conuestit,,,[kɔnˈwɛs.ti.oː],conuestio,1
21744,c3897,conuexio,n,n-s---fn3-,conuexion,,,[kɔ.n̪ʊ.'jɛk.sɪ̣.jɔ],conuexio,1
21745,c3898,conuexitas,n,n-s---fn3-,conuexitat,,,[kɔ.n̪ʊ.'jɛk.sɪ.t̪as],conuexitas,1
21746,c3900,conuexus,a,aps---mn1-,conuex conuex conuex,,,[kɔnˈwɛk.sʊs],conuexus,1
21749,c4851,conuictio,n,n-s---fn3-,conuiction,,,[kɔ.'n̪ujk.t̪ɪ̣.jɔ],conuĭctio,1
21750,c3925,conuictus,n,n-s---mn4-,conuict,,,[kɔ.'n̪ujk.t̪ʊs],conuictus,1
21752,c3910,conuinctio,n,n-s---fn3-,conuinction,,,[kɔ.'n̪ujŋk.t̪ɪ̣.jɔ],conuinctio,1
21753,c3911,conuiolo,v,v1spia--1-,conuiol conuiolau conuiolat,,,[kɔ.'n̪ʊj.jɔ.lɔ],conuiolo,1
21754,c3915,conuiso,v,v1spia--3-,conuis conuis conuis,,,[kɔ.'n̪uj.sɔ],conuiso,1
21755,c3919,conuiuator,n,n-s---mn3-,conuiuator,,,[kɔ.n̪ʊj.'jʊ.ja.t̪ɔr],conuiuator,1
