id,type,source,target
203701,@,104350,104349
203702,@,104351,104350
203703,@,104352,106603
203704,@,104353,104034
203705,@,104354,104353
203706,@,104355,104353
203707,@,104356,104355
203708,@,104357,104875
203709,@,104359,104358
203710,@,104360,104358
203711,@,104361,104358
203712,@,104362,104358
203713,@,104363,104358
203714,@,104364,104363
203715,@,104365,104034
203716,@,104366,104367
203717,@,104367,104365
203718,@,104368,104367
203719,@,104369,104034
203720,@,104370,104369
203721,@,104371,104369
203722,@,104372,104034
203723,@,104373,104005
203724,@,104374,104005
203725,@,104375,104373
203726,@,104376,104373
203727,@,104377,104373
203728,@,104378,104377
203729,@,104380,104377
203730,@,104381,104377
203731,@,104382,104381
203732,@,104383,104373
203733,@,104384,104383
203734,@,104385,104383
203735,@,104386,104383
203736,@,104387,104383
203737,@,104388,104373
203738,@,104389,104388
203739,@,104390,104388
203740,%p,104390,104398
203741,@,104391,104390
203742,@,104392,104393
203743,@,104393,104452
203744,@,104394,104393
203745,@,104395,106772
203746,@,104395,104390
203747,@,104396,106772
203748,@,104396,136084
203749,@,104398,104397
203750,@,104399,104397
203751,@,104400,104397
203752,@,104401,104390
203753,@,104402,104401
203754,@,104403,104388
203755,@,104404,104403
203756,@,104405,104403
203757,@,104406,104403
203758,@,104407,104403
203759,@,104408,104407
203760,@,104409,104407
203761,@,104410,105095
203762,@,104411,104410
203763,@,104412,104410
203764,@,104413,104403
203765,@,104414,104403
203766,@,104415,104397
203767,@,104416,104393
203768,@,104417,104393
203769,@,104419,104401
203770,@,104420,104401
203771,@,104421,104401
203772,@,104422,104401
203773,@,104423,104373
203774,@,104424,104401
203775,@,104426,104401
203776,@,104427,104390
203777,@,104428,104427
203778,@,104429,104427
203779,@,104430,104427
203780,@,104432,104390
203781,@,104433,104390
203782,@,104434,104393
203783,@,104435,104390
203784,@,104436,104942
203785,@,104437,104393
203786,@,104438,105453
203787,@,104439,104390
203788,@,104440,104393
203789,@,104441,104416
203790,@,104442,104522
203791,@,104443,104388
203792,@,104444,104388
203793,@,104445,104444
203794,@,104446,104443
203795,@,104447,104448
203796,@,104448,104446
203797,@,104449,104388
203798,@,104450,104388
203799,@,104451,104450
203800,@,104453,104452
203801,@,104454,104452
203802,@,104455,104454
203803,@,104456,104454
203804,@,104457,104456
203805,@,104458,104452
203806,@,104459,104458
203807,@,104460,104459
203808,@,104461,104459
203809,@,104462,104458
203810,@,104463,107778
203811,@,104464,104452
203812,@,104464,106588
203813,@,104465,104452
203814,@,104466,105896
203815,@,104467,104465
203816,@,104468,104465
203817,@,104469,104465
203818,@,104470,104465
203819,@,104471,104466
203820,@,104473,104452
203821,@,104474,104452
203822,@,104475,104507
203823,@,104476,104475
203824,@,104477,104475
203825,@,104478,104475
203826,@,104479,104475
203827,@,104480,104474
203828,@,104481,104480
203829,@,104482,104480
203830,@,104483,104480
203831,@,104484,104480
203832,@,104485,104484
203833,@,104486,104591
203834,@,104487,104486
203835,@,104488,104484
203836,@,104489,104480
203837,@,104490,104480
203838,@,104491,104480
203839,@,104492,103372
203840,@,104494,103374
203841,@,104495,104493
203842,@,104496,104493
203843,@,104497,103372
203844,@,104498,103375
203845,@,104499,104481
203846,@,104500,104480
203847,@,104501,104452
203848,%p,104501,104502
203849,@,104502,104452
203850,@,104503,104452
203851,@,104503,128072
203852,@,104504,104502
203853,@,104505,104501
203854,@,104506,104501
203855,@,104507,104501
203856,@,104508,104507
203857,@,104509,104507
203858,@,104510,104507
203859,@,104511,104501
203860,@,104513,104512
203861,@,104514,104512
203862,@,104515,104501
203863,@,104516,104515
203864,@,104517,104515
203865,@,104518,104515
203866,@,104520,104507
203867,@,104521,104501
203868,@,104522,104501
203869,@,104523,104522
203870,@,104524,104452
203871,@,104526,104525
203872,@,104527,104501
203873,@,104528,104452
203874,@,104529,104527
203875,@,104530,104501
