id,lemma,synset,period,genre,notes
135,19175,176269,,,
136,19175,174440,,,
137,19175,174432,,,
138,19175,171872,,,
139,19113,199719,,,
141,19123,177570,,,
142,19181,172733,,,
143,19181,180080,,,
144,19181,179050,,,
145,19181,179046,,,
146,19181,180037,,,
148,19183,178755,,,
149,19183,178753,,,
150,19184,192758,,,
151,19184,193330,,,
152,19186,106686,,,
153,19187,201389,,,
155,19188,133678,,,
156,19189,181513,,,
157,19190,200787,,,
158,19191,165558,,,
159,19191,160868,,,
160,19191,128019,,,
162,19192,137367,,,
163,19193,199514,,,
164,19194,181169,,,
165,19194,178433,,,
166,19195,136043,,,
167,19197,144861,,,
169,19201,109645,,,
170,19202,178347,,,
171,19203,127790,,,
172,19203,169217,,,
173,19205,176479,,,
174,19205,177044,,,
176,19205,172876,,,
177,19205,181387,,,
178,19205,169606,,,
179,19205,181380,,,
180,19205,170561,,,
181,19206,104821,,,
183,19208,135956,,,
184,19208,165476,,,
185,19210,103545,,,
186,19211,179130,,,
187,19212,160389,,,
188,19213,195866,,,
190,19217,134171,,,
191,19217,104377,,,
192,19217,165686,,,
193,19217,164116,,,
194,19217,116021,,,
195,19217,108436,,,
197,19217,105134,,,
198,19217,136939,,,
199,19217,107240,,,
200,19217,103355,,,
201,19217,128293,,,
202,19217,205376,,,
204,19218,163827,,,
205,19218,136897,,,
206,19218,136896,,,
207,19220,174091,,,
208,19220,181129,,,
209,19221,131451,,,
211,19222,136338,,,
212,19222,133472,,,
213,19223,136135,,,
214,19223,134057,,,
216,19224,173138,,,
217,19224,173140,,,
218,19224,173553,,,
220,19224,173137,,,
221,19227,137183,,,
222,19227,161651,,,
223,19227,104011,,,
224,19228,169921,,,
225,19228,176792,,,
227,19229,172202,,,
228,19229,172201,,,
229,19230,169950,,,
230,19230,170359,,,
231,19230,171762,,,
232,19230,169933,,,
234,19230,180420,,,
235,19230,170339,,,
236,19231,161558,,,
237,19233,170063,,,
238,19233,175914,,,
239,19233,175368,,,
241,19233,175909,,,
242,19234,181570,,,
243,19235,134171,,,
244,19235,164116,,,
245,19235,105134,,,
246,19235,107240,,,
248,19236,134246,,,
249,19236,136621,,,
250,19237,197603,,,
251,19238,148934,,,
252,19238,146866,,,
253,19239,172781,,,
255,19239,172842,,,
256,19239,172776,,,
257,19240,157990,,,
258,19240,157989,,,
259,19242,201734,,,
260,19242,201712,,,
262,19199,141578,,,
263,19199,141584,,,
264,19179,172572,,,
265,19245,191685,,,
266,19245,194859,,,
267,19245,194858,,,
269,19244,178978,,,
270,19241,185931,,,
271,19241,191726,,,
272,19281,211307,,,
273,19281,211308,,,
274,19281,120131,,,
276,19251,210775,,,
277,19251,146045,,,
278,19252,124845,,,
279,19255,123428,,,
280,19253,194858,,,
281,19254,106845,,,
283,19254,122552,,,
284,19254,130066,,,
285,19254,134635,,,
286,19254,126187,,,
287,19254,126177,,,
288,19254,130080,,,
290,19250,210773,,,
291,19250,166548,,,
292,19258,151412,,,
293,19260,130463,,,
294,19260,127476,,,
295,19262,127676,,,
297,19262,125921,,,
298,19262,127649,,,
299,19277,159767,,,
300,19277,134635,,,
301,19277,159618,,,
302,19277,122552,,,
304,19264,138073,,,
305,19264,137816,,,
306,19264,127254,,,
307,19264,126770,,,
308,19264,125902,,,
309,19264,127449,,,
311,19264,125921,,,
312,19265,147615,,,
313,19265,147614,,,
314,19266,136650,,,
315,19268,144888,,,
316,19269,107165,,,
318,19269,125880,,,
319,19269,108151,,,
320,19269,133364,,,
321,19269,103316,,,
323,19269,108153,,,
324,19269,104942,,,
325,19269,133415,,,
327,19271,146908,,,
328,19271,146876,,,
329,19271,149943,,,
330,19271,149867,,,
331,19271,146903,,,
332,19273,150505,,,
334,19274,186322,,,
335,19275,161209,,,
336,19275,103316,,,
337,19275,133364,,,
338,19275,135667,,,
339,19275,105680,,,
341,19275,103328,,,
342,19276,199609,,,
343,19279,191726,,,
344,19280,176541,,,
345,19280,174677,,,
346,19280,174675,,,
348,19280,176557,,,
349,19282,200553,,,
350,19247,179431,,,
351,19247,175914,,,
352,19247,169962,,,
353,19249,168327,,,
355,19283,188286,,,
356,19283,191741,,,
357,19283,185936,,,
358,19283,191389,,,
359,19283,191726,,,
360,19283,185069,,,
362,19257,115841,,,
363,19285,172154,,,
364,19285,172246,,,
365,19285,172104,,,
366,19285,172327,,,
367,19285,172193,,,
369,19288,174937,,,
370,19289,116647,,,
371,19289,167019,,,
372,19289,167162,,,
373,19289,160961,,,
374,19290,171688,,,
376,19290,170616,,,
377,19291,176535,,,
378,19291,178742,,,
379,19291,179916,,,
380,19291,171686,,,
381,19291,175172,,,
383,19291,176256,,,
384,19292,104838,,,
385,19292,144645,,,
386,19292,104635,,,
387,19292,137553,,,
388,19293,169921,,,
390,19295,161558,,,
391,19297,169933,,,
392,19298,161558,,,
393,19299,174303,,,
394,19299,171863,,,
395,19299,176082,,,
397,19300,178347,,,
398,19301,171183,,,
399,19301,171182,,,
400,19301,171181,,,
401,19302,171852,,,
402,19304,103494,,,
404,19305,175550,,,
405,19305,170063,,,
406,19305,169933,,,
407,19305,170087,,,
408,19305,175395,,,
409,19306,173173,,,
411,19307,172573,,,
412,19307,171132,,,
413,19307,178093,,,
414,19307,169704,,,
415,19307,179976,,,
416,19307,181029,,,
418,19308,149925,,,
419,19311,199551,,,
420,19311,199554,,,
421,19310,177382,,,
422,19310,178347,,,
423,19310,174049,,,
425,19316,201871,,,
426,19317,134044,,,
427,19318,136082,,,
428,19318,136643,,,
430,19318,130186,,,
431,19320,200490,,,
432,19321,138013,,,
434,19321,138008,,,
435,19321,130834,,,
436,19321,147214,,,
437,19321,103309,,,
438,19321,137728,,,
439,19322,176878,,,
441,19324,138013,,,
442,19324,127228,,,
443,19324,141147,,,
444,19324,138008,,,
445,19324,125846,,,
446,19324,130872,,,
448,19324,130834,,,
449,19324,103314,,,
450,19324,163503,,,
451,19324,147214,,,
452,19324,103309,,,
453,19324,144422,,,
455,19324,141126,,,
456,19324,165666,,,
457,19324,137731,,,
458,19324,142465,,,
459,19324,131201,,,
460,19324,137728,,,
462,19325,173371,,,
463,19325,175673,,,
464,19325,176536,,,
465,19325,173398,,,
466,19325,173365,,,
467,19327,176487,,,
469,19328,181899,,,
470,19329,170238,,,
471,19329,172346,,,
472,19329,180139,,,
473,19329,173572,,,
474,19329,172129,,,
476,19330,151994,,,
477,19330,106681,,,
478,19330,106674,,,
479,19330,152416,,,
480,19331,137764,,,
481,19331,137763,,,
483,19331,137768,,,
484,19332,177158,,,
485,19332,169638,,,
486,19332,180610,,,
487,19333,136898,,,
488,19334,179487,,,
490,19334,178041,,,
491,19334,179823,,,
492,19334,173961,,,
493,19334,177158,,,
494,19334,169638,,,
495,19334,175297,,,
497,19335,169335,,,
498,19335,181426,,,
499,19336,181513,,,
500,19337,202885,,,
501,19337,200787,,,
502,19338,165725,,,
504,19338,128034,,,
505,19338,128017,,,
506,19339,177123,,,
507,19340,173705,,,
508,19341,106189,,,
509,19341,152116,,,
511,19342,178827,,,
512,19342,178705,,,
513,19342,181400,,,
514,19343,179431,,,
515,19343,169962,,,
516,19343,175368,,,
518,19346,134171,,,
519,19346,164116,,,
520,19346,105134,,,
521,19346,107240,,,
522,19346,205376,,,
523,19347,147070,,,
525,19349,106406,,,
526,19351,127190,,,
527,19351,164539,,,
528,19352,127190,,,
529,19352,164539,,,
530,19353,178462,,,
532,19353,180691,,,
533,19353,174258,,,
534,19354,136670,,,
535,19354,108266,,,
537,19355,136670,,,
538,19355,136224,,,
539,19357,199509,,,
541,19359,175924,,,
542,19359,170063,,,
543,19359,169933,,,
544,19359,170277,,,
545,19359,173824,,,
546,19360,170027,,,
548,19362,137951,,,
549,19362,103423,,,
550,19362,103418,,,
551,19362,104080,,,
552,19363,169933,,,
553,19365,120661,,,
555,19366,148971,,,
556,19367,186960,,,
557,19370,104187,,,
558,19370,103358,,,
559,19370,134171,,,
560,19370,104377,,,
562,19370,164116,,,
563,19370,165683,,,
564,19370,169170,,,
565,19370,119184,,,
566,19370,105134,,,
567,19370,136939,,,
569,19370,131046,,,
570,19370,128293,,,
571,19370,205376,,,
572,19370,136864,,,
573,19371,124511,,,
574,19371,108285,,,
576,19371,130357,,,
577,19371,147056,,,
578,19371,107429,,,
579,19371,128195,,,
580,19371,107235,,,
581,19372,175593,,,
583,19376,165529,,,
584,19376,137753,,,
585,19315,127096,,,
586,19315,108343,,,
587,19315,134192,,,
588,19315,125967,,,
590,19380,177239,,,
591,19380,172573,,,
592,19380,175919,,,
593,19380,177240,,,
594,19381,205220,,,
595,19382,106132,,,
597,19385,136643,,,
598,19388,176267,,,
599,19389,137367,,,
600,19389,152092,,,
601,19390,198444,,,
602,19394,124511,,,
604,19394,108250,,,
605,19394,130357,,,
606,19394,124981,,,
607,19394,103923,,,
608,19394,160432,,,
609,19394,107429,,,
611,19394,107235,,,
612,19395,147056,,,
