"TYPE","SOURCE","TARGET","W_SOURCE","W_TARGET"
"^","v#01083862","v#01084148","",""
"^","v#01071376","v#01069335","",""
"^","v#01069335","v#01071376","",""
"^","v#01070744","v#01069335","",""
"^","v#01069335","v#01070744","",""
"^","v#01351432","v#01064160","",""
"^","v#01064160","v#01351432","",""
"^","v#01817101","v#01063950","",""
"^","v#01063950","v#01817101","",""
"^","v#01094954","v#01063950","",""
"^","v#01063950","v#01094954","",""
"^","v#01550228","v#01063016","",""
"^","v#01063016","v#01550228","",""
"^","v#01576630","v#01063016","",""
"^","v#01063016","v#01576630","",""
"^","v#01817101","v#01063016","",""
"^","v#01063016","v#01817101","",""
"^","v#01352850","v#01061911","",""
"^","v#01061911","v#01352850","",""
"^","v#01060417","v#01059371","",""
"^","v#01059371","v#01060417","",""
"^","v#01223346","v#01059371","",""
"^","v#01059371","v#01223346","",""
"^","v#01853436","v#01050882","",""
"^","v#01050882","v#01853436","",""
"^","v#01835411","v#01050882","",""
"^","v#01050882","v#01835411","",""
"^","v#01722278","v#01048914","",""
"^","v#01048914","v#01722278","",""
"^","v#01369917","v#01047899","",""
"^","v#01047899","v#01369917","",""
"^","v#01559048","v#01032948","",""
"^","v#01032948","v#01559048","",""
"^","v#01033263","v#01032517","",""
"^","v#01032517","v#01033263","",""
"^","v#01081422","v#01026409","",""
"^","v#01026409","v#01081422","",""
"^","v#01699803","v#01026409","",""
"^","v#01026409","v#01699803","",""
"^","v#01349596","v#01026409","",""
"^","v#01026409","v#01349596","",""
"^","v#01804260","v#01026409","",""
"^","v#01026409","v#01804260","",""
"^","v#01140839","v#01026409","",""
"^","v#01026409","v#01140839","",""
"^","v#01137704","v#01026409","",""
"^","v#01026409","v#01137704","",""
"^","v#01348051","v#01026409","",""
"^","v#01026409","v#01348051","",""
"^","v#01757527","v#01026409","",""
"^","v#01026409","v#01757527","",""
"^","v#01754432","v#01026409","",""
"^","v#01026409","v#01754432","",""
"^","v#01843771","v#01026409","",""
"^","v#01026409","v#01843771","",""
"^","v#01886493","v#01025850","",""
"^","v#01025850","v#01886493","",""
"^","v#01080585","v#01025850","",""
"^","v#01025850","v#01080585","",""
"^","v#01241339","v#01025850","",""
"^","v#01025850","v#01241339","",""
"^","v#01228413","v#01025850","",""
"^","v#01025850","v#01228413","",""
"^","v#01222619","v#01025850","",""
"^","v#01025850","v#01222619","",""
"^","v#01566492","v#01019665","",""
"^","v#01019665","v#01566492","",""
"^","v#01331167","v#01017942","",""
"^","v#01017942","v#01331167","",""
"^","v#01826833","v#00997275","",""
"^","v#00997275","v#01826833","",""
"^","v#00994067","v#00993032","",""
"^","v#00993032","v#00994067","",""
"^","v#01034097","v#00993032","",""
"^","v#00993032","v#01034097","",""
"^","v#00997523","v#00993032","",""
"^","v#00993032","v#00997523","",""
"^","v#01079137","v#00993032","",""
"^","v#00993032","v#01079137","",""
"^","v#01096854","v#00993032","",""
"^","v#00993032","v#01096854","",""
"^","v#01141322","v#00993032","",""
"^","v#00993032","v#01141322","",""
"^","v#01150202","v#00992836","",""
"^","v#00992836","v#01150202","",""
"^","v#01575938","v#00987154","",""
"^","v#00987154","v#01575938","",""
"^","v#01363605","v#00986697","",""
"^","v#00986697","v#01363605","",""
"^","v#00973053","v#00972191","",""
"^","v#00972191","v#00973053","",""
"^","v#01143876","v#00971707","",""
"^","v#00971707","v#01143876","",""
"^","v#01066360","v#00955030","",""
"^","v#00955030","v#01066360","",""
"^","v#00955527","v#00955030","",""
"^","v#00955030","v#00955527","",""
"^","v#00954777","v#00954637","",""
"^","v#00954637","v#00954777","",""
"^","v#01096854","v#00947443","",""
"^","v#00947443","v#01096854","",""
"^","v#01332965","v#00947443","",""
"^","v#00947443","v#01332965","",""
"^","v#01449364","v#00947443","",""
"^","v#00947443","v#01449364","",""
"^","v#01442761","v#00947443","",""
"^","v#00947443","v#01442761","",""
"^","v#01345256","v#00946301","",""
"^","v#00946301","v#01345256","",""
"^","v#01386521","v#00944672","",""
"^","v#00944672","v#01386521","",""
"^","v#01421865","v#00944672","",""
"^","v#00944672","v#01421865","",""
"^","v#01409315","v#00944672","",""
"^","v#00944672","v#01409315","",""
"^","v#01636409","v#00940210","",""
"^","v#00940210","v#01636409","",""
"^","v#01093092","v#00938859","",""
"^","v#00938859","v#01093092","",""
"^","v#00939529","v#00938859","",""
"^","v#00938859","v#00939529","",""
"^","v#01636409","v#00938859","",""
"^","v#00938859","v#01636409","",""
"^","v#01075648","v#00938146","",""
"^","v#00938146","v#01075648","",""
"^","v#01138569","v#00938146","",""
"^","v#00938146","v#01138569","",""
"^","v#01078694","v#00938146","",""
"^","v#00938146","v#01078694","",""
"^","v#01076294","v#00937788","",""
"^","v#00937788","v#01076294","",""
"^","v#01069206","v#00937788","",""
"^","v#00937788","v#01069206","",""
"^","v#00935511","v#00934848","",""
"^","v#00934848","v#00935511","",""
