lɔks],infelox,0
130415,130415,transmigratus,a,aps---mn1-,transmigrat transmigrat transmigrat,,,[t̪raːn̪s.'mɪ.gra.t̪ʊs],transmigratus,0
130424,130424,transportaneus,a,aps---mn1-,transportane transportane transportane,,,[t̪raːn̪s.'pɔr.t̪an̪ews],transportaneus,0
130425,130425,transportatus,a,aps---mn1-,transportat transportat transportat,,,[t̪raːn̪s.'pɔr.t̪a.t̪ʊs],transportatus,0
130426,130426,transpositiua,n,n-s---fn1-,transpositiu,,,[t̪raːn̪s.pɔ.'sɪ.t̪ɪ.wa],transpositiua,0
130428,130428,transpositus,a,aps---mn1-,transposit transposit transposit,,,[t̪raːn̪s.'pɔ.sɪ.t̪ʊs],transpositus,0
130431,130431,transscendo,v,v1spia--3-,transscend transscend transscens,,,[t̪raːn̪ss.'kɛn̪.d̪ɔ],transscendo,0
130432,130432,transscido,v,v1spia--3-,,,,['t̪raːn̪ss.kɪ.d̪ɔ],transscido,0
130433,130433,transspicio,v,v1spia--3i,,,,[t̪raːn̪ss.'pɪ.kɪ̣.jɔ],transspicio,0
130434,130434,transsulto,v,v1spia--1-,transsult transsultau transsulta,,,[t̪raːn̪s.'sʊɫ.t̪ɔ],transsulto,0
130435,130435,transsumo,v,v1spia--3-,transsum transsumps transsumpt,,,['t̪raːn̪s.sʊ.mɔ],transsumo,0
130436,130436,transsuo,v,v1spia--3-,transsu transsu transsut,,,['t̪raːn̪s.sʊ.jɔ],transsuo,0
130440,130440,transuecto,v,v1spia--1-,transuect transuectau transuecta,,,[t̪raːn̪.sʊ.'jɛk.t̪ɔ],transuecto,0
130442,130442,transuectus,a,aps---mn1-,transuect transuect transuect,,,[t̪raːn̪.sʊ.'jɛk.t̪ʊs],transuectus,0
130446,130446,transuersaria,n,n-p---nn2-,transuersari,,,[t̪raːn̪.sʊ.jɛr.'sa.rɪ̣.ja],transuersaria,0
130453,130453,transumptiua,n,n-s---fn1-,transumptiu,,,[t̪raːn̪.'sʊmp.t̪ɪ.wa],transumptiua,0
130457,130457,transuorse,r,rp--------,,,,[t̪raːn̪.sʊ.'jɔr.sɛ],transuorse,0
130458,130458,transuorto,v,v1spia--3-,transuort transuort transuors,,,[t̪raːn̪.sʊ.'jɔr.t̪ɔ],transuorto,0
130459,130459,trapezia,n,n-s---fn1-,trapezi,,,[t̪ra.'pɛz.zɪ̣.ja],trapezia,0
