,d0826,deportatorius,a,0,aps---mn1-,deportatori deportatori deportatori,deportatorius
51362,51362,Conuenae,n,0,n-p---fn1-,Conuen,Conuenae
51322,a2150,antemitto,v,0,v1spia--3-,antemitt antemis antemmiss,antemitto
51380,a3169,assigno,v,0,v1spia--1-,assign assignau assignat,assigno
51321,b0320,biclinium,n,0,n-s---nn2-,biclini,biclinium
51318,b0711,bugenes,a,0,aps---an3-,bugenst bugenst bugenst,bugenes
51372,c0085,caelamen,n,0,n-s---nn3-,caelamin,caelamen
51374,c0600,carbonarius,n,0,n-s---mn2-,carbonari,carbonarius
51313,c1129,centenarium,n,0,n-s---nn2-,centenari,centenarium
51319,c2208,coaeuus,a,0,aps---mn1-,coaeu coaeu coaeu,coaeuus
51334,c3395,congregus,a,0,aps---mn1-,congreg congreg congreg,congregus
51329,c3459,consacerdos,n,0,n-s---cn3-,consacerdot,consacerdos
51316,c4845,cypira,n,0,n-s---fn1-,cypir,cypira
51363,d0536,deleuo,v,0,v1spia--1-,deleu deleuau deleuat,deleuo
51333,f0033,fabulositas,n,0,n-s---fn3-,fabulositat,fabulositas
51377,h0541,honorarius,a,0,aps---mn1-,honorari honorari honorari,honorarius
51358,i0768,inanitas,n,0,n-s---fn3-,inanitat,inanitas
51370,l0829,linguosus,a,0,aps---mn1-,linguos linguos linguos,linguosus
51336,l1026,longiturnus,a,0,aps---mn1-,longiturn longiturn longiturn,longiturnus
51366,o0156,oboedio,v,0,v1spia--4-,I,oboedio
51373,p1451,perpaulum,n,0,n-s---nn2-,perpaul,perpaulum
51356,p4609,putidulus,a,0,aps---mn1-,putid putid putid,putidulus
51332,s0264,sanatio,n,0,n-s---fn3-,intolerantius intolerantissime,sanatio
51312,s3832,sursum,r,0,rp--------,sur,sursum
51386,t0952,trahea,n,0,n-s---fn1-,trahe,trahea
51353,u0636,uigeo,v,0,v1spia--2-,uig - -,uigeo
51388,u1074,ungella,n,0,n-s---fn1-,ungell,ungella
51327,a0537,addormio,v,0,v1spia--4-,addorm addormiu addormit,addormio
51404,i3039,iunctio,n,0,n-s---fn3-,iunction,iunctio
51468,51468,autumnal,a,0,aps---an3-,autumnal autumnal autumnal,autumnal
51437,51437,auspicaliter,r,0,rp--------,,auspicaliter
51389,a2734,archium,n,0,n-s---nn2-,archi,archium
51442,51442,cementicius,a,0,aps---mn1-,cementici cementici cementici,cementicius
51426,51426,cenatoria,n,0,n-s---fn1-,cenatori,cenatoria
51467,51467,chiliouattium,n,0,n-s---nn2-,chiliouatti,chiliouattium
51436,p3677,procreatrix,n,0,n-s---fn3-,procreatric,procreatrix
51429,51429,ciminterium,n,0,n-s---nn2-,ciminteri,ciminterium
51423,51423,coenator,n,0,n-s---mn3-,coenator,coenator
51405,a9210,aliquatenus,r,0,rp--------,,aliquatenus
51464,51464,conlecta,n,0,n-s---fn1-,conlect,conlecta
51393,51393,damnabiliter,r,0,rp--------,,damnabiliter
51446,a3300,atauia,n,0,n-s---fn1-,ataui,atauia
51439,a3495,auicella,n,0,n-s---fn1-,auicell,auicella
51438,51438,damnose,r,0,rp--------,,damnose
51433,51433,diatonus,a,0,aps---mn1-,diaton diaton diaton,diatonus
51463,51463,emancipatus,a,0,aps---mn1-,emancipat emancipat emancipat,emancipatus
51402,51402,esurienter,r,0,rp--------,,esurienter
51397,51397,eucharisticus,a,0,aps---mn1-,eucharistic eucharistic eucharistic,eucharisticus
51450,a0132,abpatruus,n,0,n-s---mn2-,abpatru,abpatruus
51416,51416,inconsummabilis,a,0,aps---cn3-,inconsummabil inconsummabil inconsummabil,inconsummabilis
51424,51424,insecto,v,0,v1spia--1-,insect - insectat,insecto
51427,51427,instructiuus,a,0,aps---mn1-,instructiu instructiu instructiu,instructiuus
51407,51407,utquomque,r,0,rp--------,,utquomque
51394,51394,intuitiuus,a,0,aps---mn1-,intuitiu intuitiu intuitiu,intuitiuus
51454,51454,legisdoctor,n,0,n-s---mn3-,legisdoctor,legisdoctor
51401,51401,pernotus,a,0,aps---mn1-,pernot pernot pernot,pernotus
51444,51444,portale,n,0,n-s---nn3-,portal,portale
51451,51451,pulcer,a,0,aps---mn1r,pulcr pulcr pulcr,pulcer
51457,51457,puplicus,a,0,aps---mn1-,puplic puplic puplic,puplicus
51432,c0385,candelabrus,n,0,n-s---mn2-,candelabr,candelabrus
51441,51441,pycta,n,0,n-s---mn1-,pyct,pycta
51399,51399,quoquouersum,r,0,rp--------,,quoquouersum
51469,51469,sextadecimanus,n,0,n-s---mn2-,sextadeciman,sextadecimanus
51420,c1250,cero,v,0,v1spia--1-,cer cerau cerat,cero
51449,51449,strinuus,a,0,aps---mn1-,strinu strinu strinu,strinuus
51466,51466,subintroductio,n,0,n-s---fn3-,subintroduction,subintroductio
51440,c1747,circumfingo,v,0,v1spia--3-,circumfing circumfinx circumfict,circumfingo
51447,51447,aegrotas,n,0,n-s---fn3-,aegrotat,aegrotas
51425,c2072,clauo,v,0,v1spia--1-,clau - clauat,clauo
51396,c3601,conspuo,v,1,v1spia--3-,conspu conspu consput,conspuo
51443,c4807,cyna,n,0,n-s---fn1-,cyn,cyna
51458,d0074,deactio,n,0,n-s---fn3-,deaction,deactio
51456,e0533,emunctorium,n,0,n-s---nn2-,emunctori,emunctorium
51422,e1564,exotericus,a,0,aps---mn1-,exoteric exoteric exoteric,exotericus
51461,f0568,fiscina,n,0,n-s---fn1-,fiscin,fiscina
51448,i7210,intaminatus,a,0,aps---mn1-,intaminat intaminat intaminat,intaminatus
51409,i2954,istorsum,r,0,rp--------,,istorsum
51406,m9984,merenda,n,0,n-s---fn1-,merend,merenda
51455,m1479,mula,n,0,n-s---fn1-,mul,mula
51430,p1785,pestilitas,n,0,n-s---fn3-,pestilitat,pestilitas
51462,p4564,purpura,n,0,n-s---fn1-,pur pur pur,purpura
51516,a1797,amurca,n,0,n-s---fn1-,amurc,amurca
51509,51509,carpisculus,n,0,n-s---mn2-,carpiscul,carpisculus
51473,51473,anisum,n,0,n-s---nn2-,anis,anisum
51487,51487,apographum,n,0,n-s---nn2-,apograph,apographum
51507,51507,brachycatalecticum,n,0,n-s---nn2-,brachycatalectic,brachycatalecticum
51535,51535,cameralis,a,0,aps---cn3-,cameral cameral cameral,cameralis
51484,51484,cathetos,a,0,aps---an3-,cathet cathet cathet,cathetos
51527,51527,celum,n,0,n-s---nn2-,cel,celum
51474,51474,chalcographia,n,0,n-s---fn1-,chalcographi,chalcographia
51520,u1287,usquam,r,0,rp--------,us,usquam
51533,51533,charitonblepharon,n,0,n-s---nn2-,charitonblephar,charitonblepharon
51529,51529,circumpositus,a,0,aps---mn1-,circumposit circumposit circumposit,circumpositus
51489,51489,circumstans,n,0,n-s---cn3-,circumstant,circumstans
51493,51493,conlimitum,n,0,n-s---nn2-,conlimit,conlimitum
51523,51523,conpaganus,n,0,n-s---mn2-,conpagan,conpaganus
51496,51496,denticulatum,n,0,n-s---nn2-,denticulat,denticulatum
51488,51488,diagrydium,n,0,n-s---nn2-,diagrydi,diagrydium
51503,51503,dimissus,n,0,n-s---mn2-,dimiss,dimissus
51519,a2537,appromissor,n,0,n-s---mn3-,appromissor,appromissor
51525,51525,districtim,r,0,rp--------,,districtim
51513,51513,fallaciter,r,0,rp--------,fallacius fallicissime,fallaciter
51495,51495,inquantum,r,0,rp--------,,inquantum
51518,51518,luce,r,0,rp--------,achar,luce
51500,51500,marlo,v,0,v1spia--1-,marl marlau marlat,marlo
51539,51539,ordinatralis,a,0,aps---cn3-,ordinatral ordinatral ordinatral,ordinatralis
51532,51532,pratus,n,0,n-s---mn4-,prat,pratus
51481,51481,scissus,a,0,aps---mn1-,sci sci sci,scissus
51490,51490,seculum,n,0,n-s---nn2-,secul,seculum
51505,51505,sesque,r,0,rp--------,,sesque
51504,51504,summisse,r,0,rp--------,dimiss,summisse
51506,51506,uaflum,n,0,n-s---nn2-,uafl,uaflum
51477,c0711,carrucarius,a,0,aps---mn1-,carrucari carrucari carrucari,carrucarius
51537,c2453,colludo,v,0,v1spia--3-,collud collus collus,colludo
51510,c3468,consarcino,v,0,v1spia--1-,consarcin consarcinau consarcinat,consarcino
51472,c4002,coralliticus,a,0,aps---mn1-,corallitic corallitic corallitic,coralliticus
51498,c4230,cracca,n,0,n-s---fn1-,cracc,cracca
51494,f0369,ferinus,a,0,aps---mn1-,ferin ferin ferin,ferinus
51524,f0971,frequentatio,n,0,n-s---fn3-,frequentation,frequentatio
51478,c2450,colluctator,n,0,n-s---mn3-,colluctator,colluctator
51512,i2131,instita,n,0,n-s---fn1-,instit,instita
51536,m1636,multifarius,a,0,aps---mn1-,multifari multifari multifari,multifarius
51483,o9712,opertum,n,0,n-s---nn2-,opert,opertum
51511,p1331,permadefacio,v,0,v1spia--3i,consarcin consarcinau consarcinat,permadefacio
51499,p1991,phylaca,n,0,n-s---fn1-,cracc,phylaca
51470,p2357,plorabundus,a,0,aps---mn1-,plorabund plorabund plorabund,plorabundus
51497,s2384,statarius,a,0,aps---mn1-,statari statari statari,statarius
51502,s3160,substruo,v,0,v1spia--3-,substru substrux substruct,substruo
51475,s3496,superbiloquentia,n,0,n-s---fn1-,superbiloquenti,superbiloquentia
51528,s3792,suppuratio,n,0,n-s---fn3-,suppuration,suppuratio
51530,u0230,uelifer,a,0,aps---mn1r,uelifer uelifer uelifer,uelifer
51522,u0642,uicesimarius,a,0,aps---mn1-,uicesimari uicesimari uicesimari,uicesimarius
51491,a8701,amniculus,n,0,n-s---mn2-,amnicul,amniculus
51538,g0474,grabatulus,n,0,n-s---mn2-,grabatul,grabatulus
51587,c1560,chrysus,n,0,n-s---mn2-,chrys,chrysus
51586,h0702,hydromeli,n,0,n-s---nn3-,hydromelit,hydromeli
51602,51602,bestialitas,n,0,n-s---fn3-,bestialitat,bestialitas
51607,51607,brunius,a,0,aps---mn1-,bruni bruni bruni,brunius
51551,51551,caligatus,n,0,n-s---mn2-,caligat,caligatus
51606,a0382,acinaticius,a,0,aps---mn1-,acinatici acinatici acinatici,acinaticius
29222,29222,uolneratio,n,0,n-s---fn3-,uolneration,uolneratio
51585,51585,cessitius,a,0,aps---mn1-,cessiti cessiti cessiti,cessitius
51584,51584,choerogyllius,n,0,n-s---mn2-,choerogylli,choerogyllius
51575,51575,cimintorium,n,0,n-s---nn2-,cimintori,cimintorium
51559,51559,circumglobatus,a,0,aps---mn1-,circumglobat circumglobat circumglobat,circumglobatus
51573,51573,clocca,n,0,n-s---fn1-,clocc,clocca
51541,51541,coassistens,n,0,n-s---cn3-,coassistent,coassistens
51549,51549,condumno,v,0,v1spia--1-,condumn condumnau condumnat,condumno
51543,51543,cyminatum,n,0,n-s---nn2-,cyminat,cyminatum
51544,51544,dilucide,r,0,rp--------,dilucidius dilucidissime,dilucide
51574,51574,dirigismus,n,0,n-s---mn2-,dirigism,dirigismus
51578,51578,euthanasia,n,0,n-s---fn1-,euthanasi,euthanasia
51581,51581,incurabiliter,n,0,n-s---mn2r,incurabiliter,incurabiliter
51545,a2810,argutatio,n,0,n-s---fn3-,argutation,argutatio
51567,51567,inexpugnalis,a,0,aps---cn3-,inexpugnal inexpugnal inexpugnal,inexpugnalis
51610,51610,integrale,n,0,n-s---nn3-,integral,integrale
51577,51577,malagranatum,n,0,n-s---nn2-,malagranat,malagranatum
51596,a2859,armariolum,n,0,n-s---nn2-,armariol,armariolum
51580,51580,myriophllon,n,0,n-s---nn2-,myriophll,myriophllon
51546,51546,nuncupatorius,a,0,aps---mn1-,nuncupatori nuncupatori nuncupatori,nuncupatorius
51571,51571,obedens,a,0,aps---an3-,obedent obedent obedent,obedens
51597,51597,optimisticus,a,0,aps---mn1-,optimistic optimistic optimistic,optimisticus
51599,51599,thaspi,n,0,n-p---mn2-,thasp,thaspi
51568,51568,tumbus,n,0,n-s---mn2-,tumb,tumbus
51595,51595,amnicolus,a,0,aps---mn1-,amnicol amnicol amnicol,amnicolus
51583,b0740,bupaes,n,0,n-s---mn3-,bupaed,bupaes
51557,c0651,caris,n,0,n-s---fn3-,caris,caris
51561,c2290,coerro,v,0,v1spia--1-,coerr coerrau coerrat,coerro
51576,c2374,collactanea,n,0,n-s---fn1-,collactane,collactanea
51554,c9863,collatus,n,0,n-s---mn4-,collat,collatus
51569,d0479,deiectio,n,0,n-s---fn3-,deiection,deiectio
51552,d1238,diadematus,a,0,aps---mn1-,diademat diademat diademat,diadematus
51570,d1304,diastema,n,0,n-s---nn3-,diastemat,diastema
51579,d1425,digestim,r,0,rp--------,,digestim
51565,d1837,dispersim,r,0,rp--------,,dispersim
51609,l0920,litoreus,a,0,aps---mn1-,litore litore litore,litoreus
51547,m1175,modificatio,n,0,n-s---fn3-,modification,modificatio
51603,n0494,nomenclator,n,0,n-s---mn3-,nomenclator,nomenclator
51548,o0864,oppidaneus,a,0,aps---mn1-,oppidane oppidane oppidane,oppidaneus
51608,p0622,paullulatim,r,0,rp--------,,paullulatim
51590,p3398,praetimeo,v,0,v1spia--2-,praetim praetimu -,praetimeo
51592,q0157,quatenus,r,0,rp--------,,quatenus
51588,r0942,rusticulus,a,0,aps---mn1-,rusticul rusticul rusticul,rusticulus
51600,s0467,sauiatio,n,0,n-s---fn3-,sauiation,sauiatio
51601,s9943,stratum,n,0,n-s---nn2-,strat,stratum
51550,u0885,uitulamen,n,0,n-s---nn3-,uitulamin,uitulamen
51616,p2621,porcina,n,0,n-s---fn1-,porcin,porcina
51624,51624,adspecto,v,0,v1spia--1-,adspect adspectau adspectat,adspecto
51655,51655,aeniolus,a,0,aps---mn1-,aeniol aeniol aeniol,aeniolus
39304,39304,uolnero,v,0,v1spia--1-,uolner uolnerau uolnerat,uolnero
51683,a2359,apicius,a,0,aps---mn1-,apici apici apici,apicius
51649,51649,campio,n,0,n-s---mn3-,campion,campio
51678,51678,cite,r,0,rp--------,,cite
51622,51622,completus,a,0,aps---mn1-,complet complet complet,completus
51659,51659,conuersus,n,0,n-s---mn2-,conuers,conuersus
51611,51611,crapulatus,a,0,aps---mn1-,crapulat crapulat crapulat,crapulatus
51665,a2586,aquaelicium,n,0,n-s---nn2-,aquaelici,aquaelicium
51652,51652,damnula,n,0,n-s---fn1-,damnul,damnula
51676,51676,deflorio,v,0,v1spia--4-,deflor - -,deflorio
51633,51633,dictamen,n,0,n-s---nn3-,dictamin,dictamen
51621,51621,imaginatiuus,a,0,aps---mn1-,imaginatiu imaginatiu imaginatiu,imaginatiuus
51675,51675,lazulinus,a,0,aps---mn1-,lazulin lazulin lazulin,lazulinus
51666,51666,mundialiter,r,0,rp--------,,mundialiter
51625,51625,nuncia,n,0,n-s---fn1-,nunci,nuncia
51668,c1672,circellus,n,0,n-s---mn2-,circell,circellus
51626,51626,phalarica,n,0,n-s---fn1-,phalaric,phalarica
51642,51642,phoneticus,a,0,aps---mn1-,phonetic phonetic phonetic,phoneticus
51630,51630,quoquomque,r,0,rp--------,,quoquomque
51677,51677,rythmicus,a,0,aps---mn1-,rythmic rythmic rythmic,rythmicus
51650,51650,septimani,n,0,n-p---mn2-,septiman,septimani
51638,51638,strutio,n,0,n-s---fn3-,strution,strutio
51648,51648,subcido,v,0,v1spia--3-,subcid subcid -,subcido
51647,51647,subsumentum,n,0,n-s---nn2-,subsument,subsumentum
51631,51631,telephonicus,a,0,aps---mn1-,telephonic telephonic telephonic,telephonicus
51663,51663,terrorismus,n,0,n-s---mn2-,terrorism,terrorismus
51651,51651,tragicocomoedia,n,0,n-s---fn1-,tragicocomoedi,tragicocomoedia
51620,c9995,clamatus,n,0,n-s---mn4-,clamat,clamatus
51640,c2382,collaticius,a,0,aps---mn1-,collatici collatici collatici,collaticius
51661,c3440,coniuro,v,0,v1spia--1-,con - conat,coniuro
51653,c4515,cucurbitatio,n,0,n-s---fn3-,cucurbitation,cucurbitatio
51613,c4847,cypreus,a,0,aps---mn1-,cypre cypre cypre,cypreus
51618,d1017,despumo,v,0,v1spia--1-,despum despumau despumat,despumo
51643,d1590,diluculat,v,0,v3spia--1-,dilucul diluculau diluculat,diluculat
51639,d9547,diremptus,n,0,n-s---mn4-,dirempt,diremptus
51658,f0110,falcarius,n,0,n-s---mn2-,falcari,falcarius
51629,f0365,feriae,n,0,n-p---fn1-,feri,feriae
51617,f1135,fulmino,v,0,v1spia--1-,fulmin fulminau fulminat,fulmino
51654,f1145,fumator,n,0,n-s---mn3-,fumator,fumator
51664,i3100,ius,n,0,n-s---nn3-,iur,ius
51614,l0291,largifluus,a,0,aps---mn1-,largiflu largiflu largiflu,largifluus
51656,l0676,liber,n,0,n-s---mn2r,libr,liber
51682,l0970,loculus,n,0,n-s---mn2-,locul,loculus
51623,m1085,miratrix,n,0,n-s---fn3-,complet completi completissi,miratrix
51681,o0096,oblimo,v,0,v1spia--1-,oblim oblimau oblimat,oblimo
51657,p0362,paraueredus,n,0,n-s---mn2-,parauered,paraueredus
51634,p0545,patefactio,n,0,n-s---fn3-,patefaction,patefactio
51637,o0066,obiurgator,n,0,n-s---mn3-,obiurgator,obiurgator
51673,u0778,uirguncula,n,0,n-s---fn1-,uirguncul,uirguncula
51670,d1984,disturbatio,n,0,n-s---fn3-,disturbation,disturbatio
51619,a0613,aditio,n,0,n-s---fn3-,adition,aditio
51695,51695,Stilio,n,0,n-s---fn3-,Stilion,Stilio
51684,51684,adbreuiator,n,0,n-s---mn3-,adbreuiator,adbreuiator
51714,51714,Abrotonum,n,0,n-s---nn2-,Abroton,Abrotonum
51708,51708,antigerio,a,0,aps---an3-,an an an,antigerio
51691,51691,aprico,v,0,v1spia--1-,apric - apricat,aprico
42321,u1372,uulnificus,a,0,aps---mn1-,uulnific uulnific uulnific,uulnificus
51705,51705,audo,v,0,v1spia--1-,aud aus -,audo
51719,51719,caenator,n,0,n-s---mn3-,caenator,caenator
51758,51758,conlibuit,v,0,v1spia--3-,con - conat,conlibuit
51688,51688,conpotio,v,0,v1spia--1-,conpot conpotiu conpotit,conpotio
51710,51710,constat,v,0,v1spia--1-,const constit constat,constat
51698,51698,cosmitto,v,0,v1spia--3-,cosmitt cosmis cosmiss,cosmitto
51747,51747,crocotta,n,0,n-s---mn1-,crocott,crocotta
51686,51686,culcitelia,n,0,n-s---fn1-,culciteli,culcitelia
51753,51753,cultualis,a,0,aps---cn3-,cultual cultual cultual,cultualis
51689,51689,defloccatus,a,0,aps---mn1-,defloccat defloccat defloccat,defloccatus
51734,51734,delicate,r,0,rp--------,delicatius delicatissime,delicate
51760,51760,electroda,n,0,n-s---fn1-,electrod,electroda
51687,51687,exponentialis,a,0,aps---cn3-,exponential exponential exponential,exponentialis
51703,51703,fercuium,n,0,n-s---nn2-,fercui,fercuium
51693,51693,finalus,a,0,aps---mn1-,final final final,finalus
51715,51715,fluentus,a,0,aps---mn1-,fluent fluent fluent,fluentus
51685,51685,genealogicus,a,0,aps---mn1-,genealogic genealogic genealogic,genealogicus
51740,51740,hostiliter,r,0,rp--------,hosti,hostiliter
51722,51722,indecore,r,0,rp--------,,indecore
51741,51741,liquido,r,0,rp--------,hosti,liquido
51723,51723,nonagesimus,n,0,n-s---mn2-,nonagesim,nonagesimus
51702,n9818,nonnullus,a,0,aps---mn1-,nonnull nonnull nonnull,nonnullus
51721,a1283,apyrenus,a,0,aps---mn1-,apyren apyren apyren,apyrenus
51759,a3257,astriloquus,a,0,aps---mn1-,astriloqu astriloqu astriloqu,astriloquus
51742,51742,pluralisticus,a,0,aps---mn1-,pluralistic pluralistic pluralistic,pluralisticus
51694,b0742,bupleuron,n,0,n-s---nn2g,bupleur,bupleuron
51735,c1136,centiceps,a,0,aps---an3-,centcipit centcipit centcipit,centiceps
51707,c2183,coactim,r,0,rp--------,,coactim
51709,51709,proscriptus,n,0,n-s---mn4-,proscript,proscriptus
51744,51744,remotus,a,0,aps---mn1-,remot remot remot,remotus
51701,51701,sententio,v,0,v1spia--1-,sententi sententiau sententiat,sententio
51754,51754,telephonema,n,0,n-s---fn1-,telephonemat,telephonema
51748,51748,uicenus,a,0,aps---mn1-,uicen uicen uicen,uicenus
51737,c3654,consultatorius,a,0,aps---mn1-,consultatori consultatori consultatori,consultatorius
51736,d0749,deoratus,a,0,aps---mn1-,deorat deorat deorat,deoratus
51739,d0834,deperditum,n,0,n-s---nn2-,deperdit,deperditum
51696,f1270,fabrefacio,v,0,v1spia--3i,fabrefac fabrefec fabrefact,fabrefacio
51706,f0995,frigero,v,0,v1spia--1-,frig - -,frigero
51716,g0371,glebula,n,0,n-s---fn1-,glebul,glebula
51692,h0517,homilia,n,0,n-s---fn1-,homili,homilia
51733,i1351,indubito,v,0,v1spia--1-,indubit indubitau indubitat,indubito
51711,n0175,negatiuus,a,0,aps---mn1-,negatiu negatiu negatiu,negatiuus
51743,p0892,peramoenus,a,0,aps---mn1-,peramoen peramoen peramoen,peramoenus
51746,t0380,terreus,a,0,aps---mn1-,terre terre terre,terreus
51757,u0754,uestispica,n,0,n-s---fn1-,uestispic,uestispica
51727,u1345,uitreum,n,0,n-s---nn2-,uitre,uitreum
51773,51773,fastigatus,n,0,n-s---mn4-,fastigat,fastigatus
51788,c1222,cercopithecus,n,0,n-s---mn2-,cercopithec,cercopithecus
51799,e1773,exspiratio,n,0,n-s---fn3-,exspiration,exspiratio
51769,s0210,saltem,r,0,rp--------,,saltem
51775,51775,attractus,a,0,aps---mn1-,attract attract attract,attractus
51789,51789,balineaticum,n,0,n-s---nn2-,balineatic,balineaticum
51808,51808,bulimia,n,0,n-s---fn1-,bulimi,bulimia
51810,51810,accento,v,0,v1spia--1-,accent - -,accento
51816,a2566,apsinthites,n,0,n-s---mn1g,apsinthit,apsinthites
51819,51819,charitas,n,0,n-s---fn3-,charitat,charitas
51809,51809,comaudio,v,0,v1spia--4-,comaud comaudiu comaudit,comaudio
51765,51765,tus,n,0,n-s---nn3-,tu - -,tus
51798,51798,condoctus,a,0,aps---mn1-,condoct condoct condoct,condoctus
51820,51820,conlimo,v,0,v1spia--1-,conlim conlimau conlimat,conlimo
51812,51812,conmereo,v,0,v1spia--2-,conmer - conmerit,conmereo
51791,51791,conrugis,a,0,aps---cn3-,conrug conrug conrug,conrugis
51805,51805,esotericismus,n,0,n-s---mn2-,esotericism,esotericismus
51782,51782,euitandus,a,0,aps---mn1-,euitand euitand euitand,euitandus
51766,b9146,barrinus,a,0,aps---mn1-,barrin barrin barrin,barrinus
51796,51796,fiducialiter,r,0,rp--------,fiducialius fiducialissime,fiducialiter
51814,b0457,blandiloquentia,n,0,n-s---fn1-,blandiloquenti,blandiloquentia
51772,51772,fiscale,n,0,n-s---nn3-,fiscal,fiscale
51763,51763,germinalis,a,0,aps---cn3-,germinal germinal germinal,germinalis
51802,51802,homileticum,n,0,n-s---nn2-,homiletic,homileticum
51822,51822,integer,r,0,rp--------,,integer
51831,c1023,cessum,n,0,n-s---nn2-,cess,cessum
51785,51785,ioco,v,0,v1spia--1-,ioc iocau iocat,ioco
51787,51787,isicium,n,0,n-s---nn2-,isici,isicium
51817,51817,lucrifio,v,0,v1spia--1-,lucrif - lucrifact,lucrifio
51783,51783,monarcha,n,0,n-s---mn1-,monarch,monarcha
51792,51792,pernimium,r,0,rp--------,conrug,pernimium
51825,51825,quoiusquemodi,r,0,rp--------,,quoiusquemodi
51824,51824,repostus,a,0,aps---mn1-,repost repost repost,repostus
51823,51823,telegraphista,n,0,n-s---fn1-,telegraphist,telegraphista
51806,51806,uituperabiliter,r,0,rp--------,,uituperabiliter
51768,51768,adparens,a,0,aps---an3-,adparent adparent adparent,adparens
51784,c4399,collactea,n,0,n-s---fn1-,collacte,collactea
51777,c2886,compos,a,0,aps---an3-,com com com,compos
51826,e0558,enauigo,v,0,v1spia--1-,enauig enauigau enauigat,enauigo
51797,c4189,cosmographus,n,0,n-s---mn2-,cosmograph,cosmographus
51818,c4808,cynacantha,n,0,n-s---fn1-,cynacanth,cynacantha
51829,f0854,formidolosus,a,0,aps---mn1-,formidolos formidolos formidolos,formidolosus
51770,g0530,grandiculus,a,0,aps---mn1-,grandicul grandicul grandicul,grandiculus
51828,i0445,imparilitas,n,0,n-s---fn3-,imparilitat,imparilitas
51774,i1797,iniungo,v,0,v1spia--3-,iniung iniunx iniunct,iniungo
51794,m1264,momentana,n,0,n-s---fn1-,momentan,momentana
51762,o1090,ossifraga,n,0,n-s---fn1-,ossifrag,ossifraga
51771,p3708,prodeambulo,v,0,v1spia--1-,prodeambul prodeambulau prodeambulat,prodeambulo
51793,p4425,pugnaculum,n,0,n-s---nn2-,pugnacul,pugnaculum
51786,p4584,pusillulus,a,0,aps---mn1-,pusillul pusillul pusillul,pusillulus
51780,u9982,uerberatus,n,0,n-s---mn4-,uerberat,uerberatus
51894,g0693,gyrgillus,n,0,n-s---mn2-,gyrgill,gyrgillus
51898,51898,anclabre,n,0,n-s---nn3-,anclabr,anclabre
51917,51917,aposphragisma,n,0,n-s---mn4-,aposphragismat,aposphragisma
51833,51833,boreotis,a,0,aps---cn3-,boreotid boreotid boreotid,boreotis
51902,51902,conpluuium,n,0,n-s---nn2-,conpluui,conpluuium
51837,a1917,ancillariolus,n,0,n-s---mn2-,ancillariol,ancillariolus
51912,a3108,assa,n,0,n-s---fn1-,ass,assa
51905,51905,consistentia,n,0,n-s---fn1-,consistenti,consistentia
51861,51861,copulatum,n,0,n-s---nn2-,copulat,copulatum
51858,51858,decumus,n,0,n-s---mn2-,decum,decumus
51901,51901,decusatio,n,0,n-s---fn3-,decusation,decusatio
51913,51913,erutor,n,0,n-s---mn3-,erutor,erutor
51916,51916,formonsus,a,0,aps---mn1-,formons formons formons,formonsus
51847,51847,gemmatus,a,0,aps---mn1-,gemmat gemmat gemmat,gemmatus
51868,51868,hemitonium,n,0,n-s---nn2-,hemitoni,hemitonium
51892,a2217,antiboreus,a,0,aps---mn1-,antibore antibore antibore,antiboreus
51880,51880,hendecasyllabi,n,0,n-p---mn2-,hendecasyllab,hendecasyllabi
51871,51871,hierarchia,n,0,n-s---fn1-,hierarchi,hierarchia
51872,51872,hospito,v,0,v1spia--1-,hospit - hospitat,hospito
51862,a1594,aridum,n,0,n-s---nn2-,arid,aridum
51891,51891,humane,r,0,rp--------,nuc,humane
51881,a2959,artifex,n,0,n-s---cn3-,artific,artifex
51897,51897,illegitima,n,0,n-s---fn1-,illegitim,illegitima
51838,51838,incontanter,r,0,rp--------,incontan,incontanter
51859,a3039,ascyroides,n,0,n-s---nn3-,ascyrod,ascyroides
51900,51900,interiicio,v,0,v1spia--3i,-,interiicio
51915,51915,lammina,n,0,n-s---fn1-,lammin,lammina
51908,51908,nae,r,0,rp--------,,nae
51850,c0458,canticus,a,0,aps---mn1-,cantic cantic cantic,canticus
51875,c4165,chryseus,a,0,aps---mn1-,chryse chryse chryse,chryseus
51867,c2005,ciuica,n,0,n-s---fn1-,ciuic,ciuica
51864,51864,nudiustertius,r,0,rp--------,,nudiustertius
51873,c2406,collema,n,0,n-s---nn3-,collemat,collema
51852,51852,patriarches,n,0,n-s---mn1-,patriarch,patriarches
51885,51885,pentrale,n,0,n-s---nn3-,pentral,pentrale
51846,51846,plectrologium,n,0,n-s---nn2-,plectrologi,plectrologium
51844,51844,praefracte,r,0,rp--------,,praefracte
51841,c5481,cubator,n,0,n-s---mn3-,cubator,cubator
51887,51887,prisona,n,0,n-s---fn1-,prison,prisona
51896,51896,prouidenter,r,0,rp--------,,prouidenter
51907,51907,seditiose,r,0,rp--------,perhonorific,seditiose
51883,51883,suffuscus,a,0,aps---mn1-,suffusc suffusc suffusc,suffuscus
51845,51845,synagraphus,n,0,n-s---mn2-,synagraph,synagraphus
51895,c4486,cubicus,a,0,aps---mn1-,cubic cubic cubic,cubicus
51904,d0195,decimarius,a,0,aps---mn1-,decimari decimari decimari,decimarius
51874,d1103,detonsio,n,0,n-s---fn3-,detonsion,detonsio
