,d0826,deportatorius,a,0,aps---mn1-,deportatori deportatori deportatori,deportatorius
48572,s1576,sicilicula,n,0,n-s---fn1-,sicilicul,sicilicula
48551,s3387,suffugio,v,0,v1spia--3i,suffug suffug -,suffugio
48566,u0736,uiolarium,n,0,n-s---nn2-,uiolari,uiolarium
48656,48656,adtractus,n,0,n-s---mn4-,adtract,adtractus
48641,48641,adytum,r,0,rp--------,,adytum
48611,a0538,addicta,n,0,n-s---fn1-,addict,addicta
48621,48621,argyraspis,a,0,aps---an3-,argyraspid argyraspid argyraspid,argyraspis
48653,48653,aspaltus,n,0,n-s---mn2-,aspalt,aspaltus
48612,48612,balluca,n,0,n-s---fn1-,balluc,balluca
48657,48657,cauricrepus,n,0,n-s---mn2-,cauricrep cauricrep cauricrep,cauricrepus
48604,48604,coeliacus,n,0,n-s---mn2-,coeliac,coeliacus
48644,a0032,abdicatiuus,a,0,aps---mn1-,abdicatiu abdicatiu abdicatiu,abdicatiuus
48660,48660,cognominatus,a,0,aps---mn1-,cognominat cognominat cognominat,cognominatus
48598,48598,destinata,n,0,n-s---fn1-,destinat,destinata
101047,u1327,utilis,a,0,aps---cn3i,util util util,utilis
48639,48639,discalceatus,a,0,aps---mn1-,discalceat discalceat discalceat,discalceatus
48595,48595,essendum,n,0,n-s---nn2-,essend,essendum
48635,48635,ferinus,n,0,n-s---mn2-,ferin,ferinus
48629,a3058,asyndeton,n,0,n-s---nn2g,asyndet,asyndeton
48597,48597,furaciter,r,0,rp--------,infract,furaciter
48605,48605,gremiale,n,0,n-s---nn3-,gremial,gremiale
48627,c1097,cenaticus,a,0,aps---mn1-,cenatic cenatic cenatic,cenaticus
48663,48663,illa,r,0,rp--------,accidenti,illa
48661,48661,indigniter,r,0,rp--------,indiligentius indiligentissime,indigniter
48594,48594,inreuerens,a,0,aps---an3-,inreuerent inreuerent inreuerent,inreuerens
48633,c1903,circumtinnio,v,0,v1spia--4-,circumtinn circumtinniu circumtinnit,circumtinnio
48616,c9997,coactus,n,0,n-s---mn4-,coact,coactus
48638,48638,maligne,r,0,rp--------,,maligne
48659,48659,maliuole,r,0,rp--------,,maliuole
48622,c3170,conditiuus,a,0,aps---mn1-,conditiu conditiu conditiu,conditiuus
48602,c3392,congregator,n,0,n-s---mn3-,congregator,congregator
48647,48647,oriundus,a,0,aps---mn1-,oriund oriund oriund,oriundus
48658,48658,sequestra,n,0,n-s---fn1-,sequestr,sequestra
48637,48637,seriose,r,0,rp--------,,seriose
48634,48634,surpo,v,0,v1spia--1-,surp surpu -,surpo
48652,48652,Tecum,n,0,n-s---nn2-,Seri,Tecum
48645,48645,adaequatus,a,0,aps---mn1-,adaequat adaequat adaequat,adaequatus
48649,d0616,demeaculum,n,0,n-s---nn2-,demeacul,demeaculum
48610,d1132,deuastator,n,0,n-s---mn3-,deuastator,deuastator
48617,d1868,disraro,v,0,v1spia--1-,disrar disrarau disrarat,disraro
48650,e0832,equiso,n,0,n-s---mn3-,equison,equiso
48606,f1152,fumigabundus,a,0,aps---mn1-,fumigabund fumigabund fumigabund,fumigabundus
48614,g0176,generosus,a,0,aps---mn1-,gener gener gener,generosus
48593,g0242,gerontocomium,n,0,n-s---nn2-,gerontocomi,gerontocomium
48607,g0679,gymnasium,n,0,n-s---nn2-,gymnasi,gymnasium
48613,i0384,immissarium,n,0,n-s---nn2-,immissari,immissarium
48608,i1442,ineuolutus,a,0,aps---mn1-,ineuolut ineuolut ineuolut,ineuolutus
48596,i3170,infractus,a,0,aps---mn1-,infract infract infract,infractus
48655,i1735,inhio,v,0,v1spia--1-,inhi inhiau inhiat,inhio
48624,i1838,innubus,a,0,aps---mn1-,innub innub innub,innubus
48630,p2389,plus,n,0,n-s---nn3-,plur,plus
48618,p4181,protinus,r,0,rp--------,prot,protinus
48591,r0268,refragatio,n,0,n-s---fn3-,refragation,refragatio
48603,r1296,reprehenso,v,0,v1spia--1-,reprehens reprehensau reprehensat,reprehenso
48625,t9873,torto,v,0,v1spia--1-,tort tortau tortat,torto
48600,t1804,turpiloquium,n,0,n-s---nn2-,turpiloqui,turpiloquium
48692,48692,unetuicesimus,a,1,aps---mn1-,unetuicesim unetuicesim unetuicesim,unetuicesimus
48688,48688,fucatus,n,0,n-s---mn4-,fucat,fucatus
48715,48715,acrum,n,0,n-s---nn2-,acr,acrum
48719,48719,amia,n,0,n-s---fn1-,ami,amia
48723,48723,arsenicum,n,0,n-s---nn2-,arsenic,arsenicum
48697,48697,bus,n,0,n-s---mn2-,bu,bus
48737,48737,causalitas,n,0,n-s---fn3-,causalitat,causalitas
48682,48682,coluteum,n,0,n-s---nn2-,colute,coluteum
48718,48718,cotenea,n,0,n-s---fn1-,cotene,cotenea
48711,a0011,abbatia,n,0,n-s---fn1-,abbati,abbatia
48699,48699,detorso,v,0,v1spia--3-,detors detorsau detorsat,detorso
48666,48666,fundius,r,0,rp--------,,fundius
48694,48694,gerulum,n,0,n-s---nn2-,gerul,gerulum
48722,48722,inbecillitas,n,0,n-s---fn3-,inbecillitat,inbecillitas
48676,48676,litra,n,0,n-s---fn1-,litr,litra
48684,48684,miseriter,r,0,rp--------,ostracism,miseriter
48683,48683,ostracismus,n,0,n-s---mn2-,ostracism,ostracismus
48672,48672,petitus,a,0,aps---mn1-,ancillul ancillul ancillul,petitus
48725,48725,ratifico,v,0,v1spia--1-,ratific ratificau ratificat,ratifico
48709,48709,scelerate,r,0,rp--------,sup supau supat,scelerate
48701,48701,sescentus,n,0,n-s---mn4-,sescentesim sescen sexcent,sescentus
48731,48731,sterquilinum,n,0,n-s---nn2-,sterquilin,sterquilinum
48712,48712,xylophonum,n,0,n-s---nn2-,xylophon,xylophonum
48698,48698,aduenus,a,0,aps---mn1-,aduen aduen aduen,aduenus
55006,55006,utillimus,a,0,aps---mn1-,utillim utillim utillim,utillimus
48671,a1920,ancillula,n,0,n-s---fn1-,ancillul,ancillula
48742,a8931,assertum,n,0,n-s---nn2-,assert,assertum
48724,a3285,astutus,a,0,aps---mn1-,astut astut astut,astutus
48730,a3308,atriarius,n,0,n-s---mn2-,atriari,atriarius
48687,c0100,caeliger,a,0,aps---mn1r,caeliger caeliger caeliger,caeliger
48729,c0187,calcatrix,n,0,n-s---fn3-,calcatric,calcatrix
48668,c0361,canalicula,n,0,n-s---fn1-,canalicul,canalicula
48733,c0689,carpathum,n,0,n-s---nn2-,carpath,carpathum
48670,c2706,commodule,r,0,rp--------,commod commod commod,commodule
48702,c3729,conterrito,v,0,v1spia--1-,conterrit - -,conterrito
48693,d0270,decuria,n,0,n-s---fn1-,decuri,decuria
48739,d1419,digamia,n,0,n-s---fn1-,digami,digamia
48704,e0279,electrinus,a,0,aps---mn1-,electrin electrin electrin,electrinus
48721,f8076,fruticetum,n,0,n-s---nn2-,fruticet,fruticetum
48703,i0118,igitur,r,0,rp--------,conterrit - -,igitur
48713,i0429,immutilatus,a,0,aps---mn1-,immutilat immutilat immutilat,immutilatus
48707,m0205,malluuium,n,0,n-s---nn2-,malluui,malluuium
48706,m1122,missito,v,0,v1spia--1-,missit missitau missitat,missito
48716,o1026,ornus,n,0,n-s---fn2-,orn,ornus
48710,p0964,physicus,n,0,n-s---mn2-,physic,physicus
48695,p2418,poculentus,a,0,aps---mn1-,poculent poculent poculent,poculentus
48744,p2895,praecursio,n,0,n-s---fn3-,praecursion,praecursio
48735,p3930,pronuntiator,n,0,n-s---mn3-,pronuntiator,pronuntiator
48678,r1120,refingo,v,0,v1spia--3-,refing - -,refingo
48677,s1503,setius,r,0,rp--------,,setius
48708,s3742,supo,v,0,v1spia--1-,sup supau supat,supo
48745,t0337,tribulum,n,0,n-s---nn2-,tribul,tribulum
48714,u1012,unciatim,r,0,rp--------,,unciatim
48665,u1015,unciola,n,0,n-s---fn1-,unciol,unciola
48752,c0451,cantharus,n,0,n-s---mn2-,canthar,cantharus
48801,48801,accanto,n,0,n-s---fn3-,accant - -,accanto
48747,48747,adrectus,a,0,aps---mn1-,adrect adrect adrect,adrectus
48773,48773,adsimulaticius,a,0,aps---mn1-,adsimulatici adsimulatici adsimulatici,adsimulaticius
48753,48753,beniuole,n,0,n-s---nn3-,beniuol,beniuole
48759,48759,blanditim,r,0,rp--------,,blanditim
48779,48779,canachenus,n,0,n-s---mn2-,canachen,canachenus
48805,48805,circumstagno,n,0,n-s---nn2-,circumstagn circumstagnau circumstagnat,circumstagno
48758,48758,coloreus,a,0,aps---mn1-,colore colore colore,coloreus
48806,48806,conmunitus,r,0,rp--------,,conmunitus
48795,48795,conposititius,a,0,aps---mn1-,conposititi conposititi conposititi,conposititius
48796,48796,conspelio,v,0,v1spia--4-,conspel - conspult,conspelio
48794,48794,diffido,r,0,rp--------,,diffido
48765,48765,dispartio,v,0,v1spia--4-,dispart - dispartit,dispartio
48775,48775,executor,n,0,n-s---mn3-,executor,executor
48808,48808,inheredo,v,0,v1spia--1-,inhered inheredau inheredat,inheredo
48767,48767,laurentius,a,0,aps---mn1-,laurenti laurenti laurenti,laurentius
48793,48793,moeste,r,0,rp--------,,moeste
48771,48771,obliurgatio,n,0,n-s---fn3-,obliurgation,obliurgatio
48755,48755,omnifer,a,0,aps---mn1r,omnifer omnifer omnifer,omnifer
48766,48766,procliue,r,0,rp--------,proc,procliue
48784,48784,pudenter,r,0,rp--------,pud - pudit,pudenter
48810,48810,quartadecumani,n,0,n-p---mn2-,quartadecuman,quartadecumani
48781,48781,regionalismus,n,0,n-s---mn2-,regionalism,regionalismus
48764,48764,sancte,r,0,rp--------,effluui,sancte
48786,a0874,aegoceras,n,0,n-s---nn3-,aegocerat,aegoceras
48751,48751,thunnus,n,0,n-s---mn2-,thunn,thunnus
48768,48768,ulterius,r,0,rp--------,laurenti,ulterius
48769,48769,adceleratio,n,0,n-s---fn3-,adceleration,adceleratio
48800,a2100,anserinus,a,0,aps---mn1-,anserin anserin anserin,anserinus
48774,b0064,ballaenaceus,a,0,aps---mn1-,ballaenace ballaenace ballaenace,ballaenaceus
48789,c0377,canceraticus,a,0,aps---mn1-,canceratic canceratic canceratic,canceraticus
48790,c1238,cerinthus,n,0,n-s---mn2-,cerinth,cerinthus
48760,c2234,coarticulo,v,0,v1spia--1-,coarticul coarticulau coarticulat,coarticulo
48762,c2283,coepiscopus,n,0,n-s---mn2-,coepiscop,coepiscopus
48797,c2476,collyris,n,0,n-s---fn3-,collyrid,collyris
48809,c2523,columbarium,n,0,n-s---nn2-,columbari,columbarium
48756,c2652,commentatio,n,0,n-s---fn3-,commentation,commentatio
48802,c4591,cummagis,r,0,rp--------,,cummagis
48761,c4609,cunaria,n,0,n-s---fn1-,cunari,cunaria
48763,e0162,effluuium,n,0,n-s---nn2-,effluui,effluuium
48803,f1029,frondosus,a,0,aps---mn1-,frondos frondos frondos,frondosus
48777,i1361,indulco,v,0,v1spia--1-,indulc indulcau indulcat,indulco
48782,l0002,labarum,n,0,n-s---nn2-,labar,labarum
48788,l0538,lentiscum,n,0,n-s---nn2-,lentisc,lentiscum
48804,l0945,liuidus,a,0,aps---mn1-,liuid liuid liuid,liuidus
48750,p1421,perobscurus,a,0,aps---mn1-,perobscur perobscur perobscur,perobscurus
48754,p1427,peroleo,v,0,v1spia--2-,perol perolu perolit,peroleo
48787,s0125,sagittula,n,0,n-s---fn1-,sagittul,sagittula
48783,s9938,sertum,n,0,n-s---nn2-,sert,sertum
48780,t0436,testator,n,0,n-s---mn3-,testator,testator
48748,u1095,unicolor,a,0,aps---an3-,unicolor unicolor unicolor,unicolor
48791,u1130,uniuocus,a,0,aps---mn1-,uniuoc uniuoc uniuoc,uniuocus
48825,a9237,agricultor,n,0,n-s---mn3-,agricultor,agricultor
48833,48833,anaudia,n,0,n-s---fn1-,anaudi,anaudia
48884,48884,anteago,v,0,v1spia--3-,anteag anteeg anteact,anteago
48890,48890,manicatus,n,0,n-s---fn3-,manicat,manicatus
48878,,lapidosus,a,0,aps---mn1-,lapidos lapidos lapidos,lapidosus
48845,48845,archaeologus,n,0,n-s---mn2-,archaeolog,archaeologus
48880,c3321,confuga,n,0,n-s---cn1-,confug,confuga
48811,48811,barocus,a,0,aps---mn1-,baroc baroc baroc,barocus
