,lamentatio,n,1,n-s---fn3-,lamentation,lamentatio
27323,s2189,spineus,a,1,aps---mn1-,spine spine spine,spineus
27324,s2194,spinosus,a,1,aps---mn1-,spinos spinos spinos,spinosus
27325,s2206,spiraculum,n,1,n-s---nn2-,spiracul,spiraculum
27326,s2208,spiramen,n,1,n-s---nn3-,spiramin,spiramen
27328,s2211,spiratio,n,1,n-s---fn3-,spiration,spiratio
27332,s2215,spiro,v,1,v1spia--1-,spir spirau spirat,spiro
27333,s2219,spissesco,v,1,v1spia--3-,spissesc - -,spissesco
27334,s2223,spisso,v,1,v1spia--1-,spiss spissau spissat,spisso
27335,s2224,spissus,a,1,aps---mn1-,spiss spiss spiss,spissus
27336,s2229,splendeo,v,1,v1spia--2-,splend splendu -,splendeo
27340,s2253,spolium,n,1,n-s---nn2-,spoli,spolium
27341,s2255,sponda,n,1,n-s---fn1-,spond,sponda
27343,s1676,spongia,n,1,n-s---fn1-,spongi,spongia
27344,s2277,sponsor,n,1,n-s---mn3-,sponsor,sponsor
27346,s2282,sporta,n,1,n-s---fn1-,sport,sporta
27350,s2305,spurcitia,n,1,n-s---fn1-,spurciti,spurcitia
27351,s2306,spurco,v,1,v1spia--1-,spurc spurcau spurcat,spurco
27352,s2307,spurcus,a,1,aps---mn1-,spurc spurc spurc,spurcus
27353,s2309,sputamen,n,1,n-s---nn3-,sputamin,sputamen
27354,s9961,sputum,n,1,n-s---nn2-,sput,sputum
27355,s2320,squalor,n,1,n-s---mn3-,squalor,squalor
27357,s2338,stabilimentum,n,1,n-s---nn2-,stabiliment,stabilimentum
27358,s2339,stabilio,v,1,v1spia--4-,stabil stabiliu stabilit,stabilio
27359,s2340,stabilis,a,1,aps---cn3i,stabil stabil stabil,stabilis
27360,s2341,stabilitas,n,1,n-s---fn3-,stabilitat,stabilitas
27361,s2347,stabulum,n,1,n-s---nn2-,stabul,stabulum
27363,s2370,stamen,n,1,n-s---nn3-,stamin,stamen
27365,s2390,statim,r,1,rp--------,,statim
27316,s2146,sperno,v,1,v1spia--3-,spern spreu spret,sperno
27296,s2054,spado,n,1,n-s---mn3-,spadon,spado
27348,s2298,spumo,v,1,v1spia--1-,spum spumau spumat,spumo
27321,s2184,spiculum,n,1,n-s---nn2-,spicul,spiculum
27295,s2047,soter,n,1,n-s---mn3-,soter,soter
27322,s2201,spina,n,1,n-s---fn1-,spin,spina
125090,r1265,repatesco,v,0,v1spia--3-,repatesc repatu -,repatesco
125091,r0422,repausatio,n,0,n-s---fn3-,repausation,repausatio
27393,s2515,stirps,n,1,n-s---fn3i,stirp,stirps
27396,27396,stolide,r,1,rp--------,,stolide
27423,27423,studiose,r,1,rp--------,studios,studiose
27425,27425,stulte,r,1,rp--------,stult,stulte
133263,t0969,trans,p,0,p---------,-,trans
121791,121791,phonus,n,0,n-s---mn2-,phon,phonus
27369,s9962,status,n,1,n-s---mn4-,stat,status
27370,s2415,stella,n,1,n-s---fn1-,stell,stella
27373,s2419,stellifer,a,1,aps---mn1r,stellifer stellifer stellifer,stellifer
27374,s2420,stelliger,a,1,aps---mn1r,stelliger stelliger stelliger,stelliger
27375,s2422,stellio,n,1,n-s---mn3-,stellion,stellio
27376,s2427,stemma,n,1,n-s---nn3-,stemmat,stemma
27379,s2452,sterno,v,1,v1spia--3-,stern strau strat,sterno
27380,s2454,sternuo,v,1,v1spia--3-,sternu sternu -,sternuo
27381,s2457,sternuto,v,1,v1spia--1-,sternut sternutau sternutat,sternuto
27382,s2478,stillo,v,1,v1spia--1-,still stillau stillat,stillo
27383,s2480,stilus,n,1,n-s---mn2-,stil,stilus
27384,s2486,stimulo,v,1,v1spia--1-,stimul stimulau stimulat,stimulo
27385,s2487,stimulus,n,1,n-s---mn2-,stimul,stimulus
27387,s2493,stipator,n,1,n-s---mn3-,stipator,stipator
27392,s2509,stiria,n,1,n-s---fn1-,stiri,stiria
27394,s1430,sto,v,1,v1spia--1-,st stet stat,sto
27395,s2526,stola,n,1,n-s---fn1-,stol,stola
27398,s2530,stolidus,a,1,aps---mn1-,stolid stolid stolid,stolidus
27399,s2538,stomachus,n,1,n-s---mn2-,stomach,stomachus
27400,s2550,strages,n,1,n-s---fn3i,strag,strages
27401,s2553,stramen,n,1,n-s---nn3-,stramin,stramen
27402,s2564,strangulo,v,1,v1spia--1-,strangul strangulau strangulat,strangulo
27403,s2567,strategema,n,1,n-s---nn3-,strategemat,strategema
27404,s2571,strategus,n,1,n-s---mn2-,strateg,strategus
27407,s9965,strepitus,n,1,n-s---mn4-,strepit,strepitus
27408,s2586,strepo,v,1,v1spia--3-,strep strepu strepit,strepo
27409,s2590,stria,n,1,n-s---fn1-,stri,stria
27410,s2599,strido,v,1,v1spia--3-,strid strid -,strido
27411,s2600,stridor,n,1,n-s---mn3-,stridor,stridor
27412,s4033,striga,n,1,n-s---fn1-,strig,striga
27414,s2610,strigosus,a,1,aps---mn1-,strigos strigos strigos,strigosus
27415,s2614,strio,v,1,v1spia--1-,stri - striat,strio
27417,s2635,structor,n,1,n-s---mn3-,structor,structor
27418,s2652,structura,n,1,n-s---fn1-,structur,structura
27419,s2637,strues,n,1,n-s---fn3i,stru,strues
27420,s2639,struix,n,1,n-s---fn3-,struic,struix
27421,s2646,struo,v,1,v1spia--3-,stru strux struct,struo
27424,s2659,studium,n,1,n-s---nn2-,studi,studium
27426,s2663,stultitia,n,1,n-s---fn1-,stultiti,stultitia
27428,s2670,stupidus,a,1,aps---mn1-,stupid stupid stupid,stupidus
27429,s2671,stupor,n,1,n-s---mn3-,stupor,stupor
27430,s2673,stuppa,n,1,n-s---fn1-,stupp,stuppa
27431,s2681,stuprum,n,1,n-s---nn2-,stupr,stuprum
27432,s2683,sturnus,n,1,n-s---mn2-,sturn,sturnus
27433,s2695,suadeo,v,1,v1spia--2-,suad suas suas,suadeo
27434,s2693,suadus,a,1,aps---mn1-,suad suad suad,suadus
27435,s2701,suasor,n,1,n-s---mn3-,suasor,suasor
27368,s1812,statura,n,1,n-s---fn1-,statur,statura
27391,s2839,stipula,n,1,n-s---fn1-,stipul,stipula
27390,s2502,stipo,v,1,v1spia--1-,stip stipau stipat,stipo
125092,r1267,repauso,v,0,v1spia--1-,repaus repausau repausa,repauso
27439,27439,suauiter,r,1,rp--------,suau,suauiter
125093,r0423,repedabilis,a,0,aps---cn3i,repedabil repedabil repedabil,repedabilis
125095,r0424,repensatio,n,0,n-s---fn3-,repensation,repensatio
125096,r0425,repensatrix,n,0,n-s---fn3-,repensatric,repensatrix
125094,125094,repens,r,0,rp--------,,repens
57306,i0666,imprudentia,n,1,n-s---fn1-,imprudenti,imprudentia
27445,27445,subitus,a,1,aps---mn1-,subit subit subit,subitus
27465,27465,subrigo,v,1,v1spia--3-,subrig subrex subrect,subrigo
27476,27476,substantialiter,r,1,rp--------,,substantialiter
27481,27481,subter,r,1,rp--------,,subter
113355,i0679,impulso,v,0,v1spia--1-,impuls impulsau impulsa,impulso
31861,m1308,monochordon,n,0,n-s---nn2g,monochord,monochordon
27438,s2717,suauitas,n,1,n-s---fn3-,suauitat,suauitas
27443,s2882,subigo,v,1,v1spia--3-,subig subeg subact,subigo
27447,s2934,subleuo,v,1,v1spia--1-,subleu subleuau subleuat,subleuo
27448,s2944,sublimis,a,1,aps---cn3i,sublim sublim sublim,sublimis
27449,s2945,sublimitas,n,1,n-s---fn3-,sublimitat,sublimitas
27450,s2947,sublimo,v,1,v1spia--1-,sublim sublimau sublimat,sublimo
27451,s2944,sublimus,a,1,aps---mn1-,sublim sublim sublim,sublimus
27452,s2957,subluo,v,1,v1spia--3-,sublu sublu sublut,subluo
27455,s2979,submitto,v,1,v1spia--3-,submitt submis submiss,submitto
27456,s2984,submoueo,v,1,v1spia--2-,submou submou submot,submoueo
27457,s2996,subnecto,v,1,v1spia--3-,subnect subnexu subnex,subnecto
27458,s3005,subnoto,v,1,v1spia--1-,subnot subnotau subnotat,subnoto
27459,s3016,suboles,n,1,n-s---fn3i,subol,suboles
27460,s9994,subolesco,v,1,v1spia--3-,subolesc - -,subolesco
27462,s3022,suborno,v,1,v1spia--1-,suborn subornau subornat,suborno
27463,s4036,subreptio,n,1,n-s---fn3-,subreption,subreptio
27466,s3069,subrogo,v,1,v1spia--1-,subrog subrogau subrogat,subrogo
27467,s3089,subsannator,n,1,n-s---mn3-,subsannator,subsannator
27468,s3092,subsanno,v,1,v1spia--1-,subsann subsannau subsanna,subsanno
27469,s3097,subscribo,v,1,v1spia--3-,subscrib subscrips subscript,subscribo
27470,s3107,subsellium,n,1,n-s---nn2-,subselli,subsellium
27471,s3122,subsidium,n,1,n-s---nn2-,subsidi,subsidium
27472,s3123,subsido,v,1,v1spia--3-,subsid subsed subsess,subsido
27473,s3133,subsisto,v,1,v1spia--3-,subsist substit -,subsisto
27477,s3150,substituo,v,1,v1spia--3-,substitu substitu substitut,substituo
27479,s3159,substructio,n,1,n-s---fn3-,substruction,substructio
27480,s3172,subtemen,n,1,n-s---nn3-,subtemin,subtemen
27482,s3184,subterfugio,v,1,v1spia--3i,subterfug subterfug -,subterfugio
27483,s3208,subtexo,v,1,v1spia--3-,subtex subtexu subtext,subtexo
27485,s3213,subtilitas,n,1,n-s---fn3-,subtilitat,subtilitas
27487,s3227,subtus,r,1,rp--------,,subtus
27490,s3238,subuenio,v,1,v1spia--4-,subuen subuen subuent,subuenio
27491,s6235,subuersio,n,1,n-s---fn3-,subuersion,subuersio
27492,s3237,subuerto,v,1,v1spia--3-,subuert subuert subuers,subuerto
27488,s3243,subulcus,n,1,n-s---mn2-,subulc,subulcus
27489,s3255,suburbium,n,1,n-s---nn2-,suburbi,suburbium
27493,s3260,succedo,v,1,v1spia--3-,succed success success,succedo
27494,s3271,successio,n,1,n-s---fn3-,succession,successio
27496,s3269,successus,n,1,n-s---mn4-,success,successus
50813,i0662,improuidentia,n,0,n-s---fn1-,improuidenti,improuidentia
125099,125099,repensus,a,0,aps---mn1-,repens repens repens,repensus
125098,r0426,repensor,n,0,n-s---mn3-,repensor,repensor
121851,121851,piceatus,a,0,aps---mn1-,piceat piceat piceat,piceatus
125100,r0427,repentaliter,r,0,rp--------,,repentaliter
125101,r0428,repentim,r,0,rp--------,,repentim
125097,125097,repensio,n,0,n-s---fn3-,repension,repensio
27509,s3345,suffero,v,1,v1spia--3-,suffer sustul sublat,suffero
27507,27507,suetus,a,1,aps---mn1-,suet suet suet,suetus
27510,27510,sufficiens,a,1,aps---an3i,sufficient sufficient sufficient,sufficiens
27533,27533,sulphur,n,1,n-s---nn3-,sulphur,sulphur
27536,27536,summum,n,1,n-s---nn2-,summ,summum
27541,27541,super,r,1,rp--------,,super
27548,27548,superlatus,a,1,aps---mn1-,superlat superlat superlat,superlatus
27501,s3311,sucidus,a,1,aps---mn1-,sucid sucid sucid,sucidus
27502,s3317,suculentus,a,1,aps---mn1-,suculent suculent suculent,suculentus
27504,s3323,sudarium,n,1,n-s---nn2-,sudari,sudarium
27505,s3330,sudo,v,1,v1spia--1-,sud sudau sudat,sudo
27506,s3331,sudor,n,1,n-s---mn3-,sudor,sudor
27511,s3351,sufficio,v,1,v1spia--3i,suffic suffec suffect,sufficio
27512,s3352,suffigo,v,1,v1spia--3-,suffig suffix suffix,suffigo
27513,s3353,suffimen,n,1,n-s---nn3-,suffimin,suffimen
27514,s3355,suffimentum,n,1,n-s---nn2-,suffiment,suffimentum
27515,s3361,sufflamen,n,1,n-s---nn3-,sufflamin,sufflamen
27516,s3366,sufflo,v,1,v1spia--1-,suffl sufflau sufflat,sufflo
27517,s3368,suffocatio,n,1,n-s---fn3-,suffocation,suffocatio
27518,s3369,suffoco,v,1,v1spia--1-,suffoc suffocau suffocat,suffoco
27519,s3370,suffodio,v,1,v1spia--3i,suffod suffod suffoss,suffodio
27520,s3374,suffragator,n,1,n-s---mn3-,suffragator,suffragator
27522,s3380,suffrago,n,1,n-s---fn3-,suffragin,suffrago
27525,s3402,suggero,v,1,v1spia--3-,sugger suggess suggest,suggero
27526,s3403,suggestio,n,1,n-s---fn3-,suggestion,suggestio
27527,s9979,suggestus,n,1,n-s---mn4-,suggest,suggestus
27528,s3405,suggillo,v,1,v1spia--1-,suggill suggillau suggillat,suggillo
27530,s3414,sugo,v,1,v1spia--3-,sug sux suct,sugo
27531,s3425,sulco,v,1,v1spia--1-,sulc sulcau sulcat,sulco
27532,s3426,sulcus,n,1,n-s---mn2-,sulc,sulcus
27534,s3451,summa,n,1,n-s---fn1-,summ,summa
27537,s3451,summus,a,1,aps---mn1-,summ summ summ,summus
27538,s3452,sumo,v,1,v1spia--3-,sum sumps sumpt,sumo
27539,s3457,sumptuosus,a,1,aps---mn1-,sumptuos sumptuos sumptuos,sumptuosus
27540,s9980,sumptus,n,1,n-s---mn4-,sumpt,sumptus
27542,s3493,superbia,n,1,n-s---fn1-,superbi,superbia
27543,s3500,superbus,a,1,aps---mn1-,superb superb superb,superbus
27549,s3649,supernus,a,1,aps---mn1-,supern supern supern,supernus
27550,s3650,supero,v,1,v1spia--1-,super superau superat,supero
27551,s3697,superstitio,n,1,n-s---fn3-,superstition,superstitio
27553,s3715,superuacaneus,a,1,aps---mn1-,superuacane superuacane superuacane,superuacaneus
27554,s3718,superuacuus,a,1,aps---mn1-,superuacu superuacu superuacu,superuacuus
27555,s3719,superuado,v,1,v1spia--3-,superuad - -,superuado
27556,s3741,supinus,a,1,aps---mn1-,supin supin supin,supinus
27557,s3770,supplicatio,n,1,n-s---fn3-,supplication,supplicatio
27563,s3794,suppuro,v,1,v1spia--1-,suppur suppurau suppurat,suppuro
113374,i0712,inaccessibilis,a,0,aps---cn3i,inaccessibil inaccessibil inaccessibil,inaccessibilis
27500,s3302,succurro,v,1,v1spia--3-,succurr succurr succurs,succurro
125107,r0432,reperticius,a,0,aps---mn1-,repertici repertici repertici,reperticius
125108,r0433,repertio,n,0,n-s---fn3-,repertion,repertio
125109,r0435,repertorium,n,0,n-s---nn2-,repertori,repertorium
125103,125103,repentine,r,0,rp--------,,repentine
125106,125106,repercussus,a,0,aps---mn1-,repercuss repercuss repercuss,repercussus
27601,27601,Syria,n,0,n-s---fn1-,Syri,Syria
27593,27593,symbolus,n,1,n-s---mn2-,symbol,symbolus
27595,27595,symptoma,n,1,n-s---nn3-,symptomat,symptoma
27597,27597,syncopa,n,1,n-s---fn1-,syncop,syncopa
27609,27609,tablinum,n,1,n-s---nn2-,tablin,tablinum
27617,27617,taliter,r,1,rp--------,,taliter
27624,27624,tantum,r,1,rp--------,,tantum
27625,27625,tantummodo,r,1,rp--------,,tantummodo
27633,27633,tectum,n,1,n-s---nn2-,tect,tectum
27634,27634,tectus,a,1,aps---mn1-,tect tect tect,tectus
27572,s3834,sus,n,1,n-s---cn3-,su,sus
27566,27566,supra,r,1,rp--------,,supra
27567,27567,suprascribo,v,1,v1spia--3-,suprascrib suprascrips suprascript,suprascribo
27568,s3820,surculosus,a,1,aps---mn1-,surculos surculos surculos,surculosus
27569,s3825,surditas,n,1,n-s---fn3-,surditat,surditas
27570,s3828,surdus,a,1,aps---mn1-,surd surd surd,surdus
27571,s3061,surgo,v,1,v1spia--3-,surg surrex surrect,surgo
27573,s3842,susceptor,n,1,n-s---mn3-,susceptor,susceptor
27575,s3848,suscito,v,1,v1spia--1-,suscit suscitau suscitat,suscito
27577,s3857,suspendo,v,1,v1spia--3-,suspend suspend suspens,suspendo
27578,s3862,suspicio,v,1,v1spia--3i,suspic suspex suspect,suspicio
27580,s3869,suspiritus,n,1,n-s---mn4-,suspirit,suspiritus
27581,s3870,suspirium,n,1,n-s---nn2-,suspiri,suspirium
27582,s3871,suspiro,v,1,v1spia--1-,suspir suspirau suspirat,suspiro
27583,s3874,sustentaculum,n,1,n-s---nn2-,sustentacul,sustentaculum
27584,s9987,sustentatus,n,1,n-s---mn4-,sustentat,sustentatus
27585,s3877,sustento,v,1,v1spia--1-,sustent sustentau sustentat,sustento
27587,s3882,susurratio,n,1,n-s---fn3-,susurration,susurratio
27588,s3884,susurro,v,1,v1spia--1-,susurr - -,susurro
27589,s3886,susurrus,n,1,n-s---mn2-,susurr,susurrus
27591,s9936,sutura,n,1,n-s---fn1-,sutur,sutura
27592,s3918,syllogismus,n,1,n-s---mn2-,syllogism,syllogismus
27594,s3924,symmetria,n,1,n-s---fn1-,symmetri,symmetria
27596,s3941,synagoga,n,1,n-s---fn1-,synagog,synagoga
27598,s3954,syncopo,v,1,v1spia--1-,syncop - syncopat,syncopo
27599,s9015,syngraphus,n,1,n-s---mn2-,syngraph,syngraphus
27635,t0198,tegimen,n,1,n-s---nn3-,tegimin,tegimen
27610,t0025,tabula,n,0,n-s---fn1-,tabul,tabula
27611,t0030,tabulatio,n,1,n-s---fn3-,tabulation,tabulatio
27613,t9994,tactus,n,1,n-s---mn4-,tact,tactus
27614,t0047,taedium,n,1,n-s---nn2-,taedi,taedium
27615,t0049,taenia,n,1,n-s---fn1-,taeni,taenia
27616,t0065,talentum,n,1,n-s---nn2-,talent,talentum
27619,t0076,talus,n,1,n-s---mn2-,tal,talus
27620,t1499,tam,r,1,rp--------,,tam
27621,t0081,tamarix,n,1,n-s---fn3-,tamaric,tamarix
27622,t0094,tandem,r,1,rp--------,,tandem
27628,t0129,tardo,v,1,v1spia--1-,tard tardau tardat,tardo
27629,t0131,tardus,a,1,aps---mn1-,tard tard tard,tardus
27630,t0162,taurus,n,1,n-s---mn2-,taur,taurus
27631,t0174,taxo,v,1,v1spia--1-,tax taxau taxat,taxo
27618,t0073,talpa,n,1,n-s---fn1-,talp,talpa
27640,t0225,temere,r,1,rp--------,,temere
125110,r0436,repertrix,n,0,n-s---fn3-,repertric,repertrix
121922,121922,pinnipotens,a,0,aps---an3i,pinnipotent pinnipotent pinnipotent,pinnipotens
27647,27647,temperatus,a,1,aps---mn1-,temperat temperat temperat,temperatus
125111,125111,repertus,a,0,aps---mn1-,repert repert repert,repertus
27677,t0353,termen,n,1,n-s---nn3-,termin,termen
27642,t0228,temero,v,1,v1spia--1-,temer temerau temerat,temero
27643,t0231,temno,v,1,v1spia--3-,temn - -,temno
27645,t0235,temperamentum,n,1,n-s---nn2-,temperament,temperamentum
27646,t0218,temperantia,n,1,n-s---fn1-,temperanti,temperantia
27649,t0242,tempestas,n,1,n-s---fn3-,tempestat,tempestas
27650,t0245,tempestiuus,a,1,aps---mn1-,tempestiu tempestiu tempestiu,tempestiuus
27651,t0246,tempestuosus,a,1,aps---mn1-,tempestuos tempestuos tempestuos,tempestuosus
27652,t0251,templum,n,1,n-s---nn2-,templ,templum
27653,t1501,temporalis,a,1,aps---cn3i,temporal temporal temporal,temporalis
27655,t0258,temptamen,n,1,n-s---nn3-,temptamin,temptamen
27656,t0259,temptamentum,n,1,n-s---nn2-,temptament,temptamentum
27657,t0260,temptatio,n,1,n-s---fn3-,temptation,temptatio
27658,t0263,tempto,v,1,v1spia--1-,tempt temptau temptat,tempto
27659,t0264,tempus,n,1,n-s---nn3-,tempor,tempus
27661,t0267,temulentus,a,1,aps---mn1-,temulent temulent temulent,temulentus
27662,t0271,tenax,a,1,aps---an3-,tenac tenac tenac,tenax
27663,t0272,tendicula,n,1,n-s---fn1-,tendicul,tendicula
27664,t0273,tendo,v,1,v1spia--3-,tend tetend tens,tendo
27665,t0284,tenebro,v,1,v1spia--1-,tenebr tenebrau tenebrat,tenebro
27666,t0289,teneo,v,1,v1spia--2-,ten tenu tent,teneo
27667,t0290,tener,a,1,aps---mn1r,tener tener tener,tener
27669,t0309,tentorium,n,1,n-s---nn2-,tentori,tentorium
27671,t9309,tenuo,v,1,v1spia--1-,tenu tenuau tenuat,tenuo
27672,t9312,tepefacio,v,1,v1spia--3i,tepefac tepefec tepefact,tepefacio
27674,t0343,tergeo,v,1,v1spia--2-,terg ters ters,tergeo
27675,t0350,tergum,n,1,n-s---nn2-,terg,tergum
27679,t0360,termino,v,1,v1spia--1-,termin terminau terminat,termino
27680,t0361,terminus,n,1,n-s---mn2-,termin,terminus
27681,t0371,tero,v,1,v1spia--3-,ter triu trit,tero
27682,t0372,terra,n,1,n-s---fn1-,terr,terra
27684,t0377,terrenus,a,1,aps---mn1-,terren terren terren,terrenus
27685,t0378,terreo,v,1,v1spia--2-,terr terru territ,terreo
27686,t0388,terrifico,v,1,v1spia--1-,terrific terrificau terrificat,terrifico
27689,t0423,tessera,n,1,n-s---fn1-,tesser,tessera
27639,t0219,telum,n,1,n-s---nn2-,tel,telum
27690,t0427,testa,n,1,n-s---fn1-,test,testa
27691,t0432,testamentum,n,1,n-s---nn2-,testament,testamentum
27692,t0442,testiculus,n,1,n-s---mn2-,testicul,testiculus
27696,t0456,testudo,n,1,n-s---fn3-,testudin,testudo
27697,t0457,testula,n,1,n-s---fn1-,testul,testula
27699,t0515,textor,n,1,n-s---mn3-,textor,textor
27700,t9914,textum,n,1,n-s---nn2-,text,textum
27701,t9981,textura,n,1,n-s---fn1-,textur,textura
27702,t9914,textus,n,1,n-s---mn4-,text,textus
27704,t0542,theatrum,n,1,n-s---nn2-,theatr,theatrum
27705,t0543,theca,n,1,n-s---fn1-,thec,theca
27706,t0553,thema,n,1,n-s---nn3-,themat,thema
27673,t0321,tepor,n,1,n-s---mn3-,tepor,tepor
27638,t0212,tellus,n,1,n-s---fn3-,tellur,tellus
125112,r7037,repertus,n,0,n-s---mn4-,repert,repertus
121981,121981,pistatus,a,0,aps---mn1-,pistat pistat pistat,pistatus
122048,122048,planetae,n,0,n-p---fn1-,planet,planetae
27745,t0818,tonus,n,1,n-s---mn2-,ton,tonus
27753,t0861,torques,n,1,n-s---mn3i,torqu,torques
27761,t0893,toxicum,n,1,n-s---nn2-,toxic,toxicum
27732,t1300,titulus,n,1,n-s---mn2-,titul,titulus
27736,t0777,tolero,v,1,v1spia--1-,toler tolerau tolerat,tolero
27762,t0903,trabs,n,1,n-s---fn3i,trab,trabs
125113,125113,repetitus,n,0,n-s---mn4-,repetit,repetitus
125115,125115,repignoro,v,0,v1spia--1-,repignor repignorau repignora,repignoro
125116,125116,repigratus,a,0,aps---mn1-,repigrat repigrat repigrat,repigratus
27716,27716,Tiberinus,n,1,n-s---mn2-,Tiberin,Tiberinus
27717,27717,Tiberis,n,1,n-s---cn3-,Tiber,Tiberis
27722,27722,timide,r,1,rp--------,timid,timide
27747,27747,tormento,v,1,v1spia--1-,torment tormentau tormentat,tormento
27754,27754,torrens,n,1,n-s---mn3i,torrent,torrens
27712,t0631,thronus,n,1,n-s---mn2-,thron,thronus
27724,27724,timor,n,1,n-s---mn3-,timor,timor
27711,t0618,thorax,n,1,n-s---mn3-,thorac,thorax
27713,t0644,thymiama,n,1,n-s---nn3-,thymiamat,thymiama
27715,t0652,thymum,n,1,n-s---nn2-,thym,thymum
27718,t0667,tibia,n,1,n-s---fn1-,tibi,tibia
27721,t0696,timeo,v,1,v1spia--2-,tim timu -,timeo
27723,t0701,timidus,a,1,aps---mn1-,timid timid timid,timidus
27725,t0709,tinea,n,1,n-s---fn1-,tine,tinea
27710,t0592,thesaurizo,v,1,v1spia--1-,thesauriz thesaurizau thesaurizat,thesaurizo
27726,t0712,tingo,v,1,v1spia--3-,ting tinx tinct,tingo
27728,t0731,tiro,n,1,n-s---mn3-,tiron,tiro
27729,t0743,titillo,v,1,v1spia--1-,titill titillau titillat,titillo
27730,t0746,titio,n,1,n-s---mn3-,tition,titio
27731,t0751,titubo,v,1,v1spia--1-,titub titubau titubat,titubo
27733,t0768,toga,n,1,n-s---fn1-,tog,toga
27734,t0772,togatus,a,1,aps---mn1-,togat togat togat,togatus
27737,t0780,tollo,v,1,v1spia--3-,toll sustul sublat,tollo
27738,t0792,tomix,n,1,n-s---fn3-,tomic,tomix
27739,t0795,tondeo,v,1,v1spia--2-,tond totond tons,tondeo
27740,t0796,tono,v,1,v1spia--1-,ton tonu -,tono
27741,t9992,tonsa,n,1,n-s---fn1-,tons,tonsa
27743,t0812,tonsor,n,1,n-s---mn3-,tonsor,tonsor
27744,t9984,tonsura,n,1,n-s---fn1-,tonsur,tonsura
27746,t0821,toparchia,n,1,n-s---fn1-,toparchi,toparchia
27748,t0841,tormentum,n,1,n-s---nn2-,torment,tormentum
27750,t0850,tornus,n,1,n-s---mn2-,torn,tornus
27751,t0857,torpor,n,1,n-s---mn3-,torpor,torpor
27752,t0860,torqueo,v,1,v1spia--2-,torqu tors tort,torqueo
27755,t0863,torreo,v,1,v1spia--2-,torr torru tost,torreo
27757,t0874,tortor,n,1,n-s---mn3-,tortor,tortor
27758,t0904,tortura,n,1,n-s---fn1-,tortur,tortura
27760,t9931,totus,a,1,aps---mn1p,tot tot tot,tŏtus
27763,t0913,tractatio,n,1,n-s---fn3-,tractation,tractatio
27764,t0919,tracto,v,1,v1spia--1-,tract tractau tractat,tracto
27765,t9993,tractus,n,1,n-s---mn4-,tract,tractus
27766,t0924,traditio,n,1,n-s---fn3-,tradition,traditio
27767,t0926,trado,v,1,v1spia--3-,trad tradid tradit,trado
27769,t0929,traductio,n,1,n-s---fn3-,traduction,traductio
27771,t0948,tragula,n,1,n-s---fn1-,tragul,tragula
27709,t0560,theologus,n,1,n-s---mn2-,theolog,theologus
27830,t1421,triumphus,n,1,n-s---mn2-,triumph,triumphus
27782,27782,transeunter,r,1,rp--------,,transeunter
27795,27795,transitorie,r,1,rp--------,,transitorie
27819,27819,trico,v,1,v1spia--1-,tric - tricat,trico
27821,27821,tristifico,v,1,v1spia--1-,tristific tristificau tristifica,tristifico
27828,27828,tritus,a,1,aps---mn1-,trit trit trit,tritus
133264,u0940,uls,p,0,p---------,-,uls
27812,t1179,tribunal,n,1,n-s---nn3i,tribunal,tribunal
139157,u0469,uero,r,0,rp--------,-,uero
122112,122112,plectrifer,a,0,aps---mn1r,plectrifer plectrifer plectrifer,plectrifer
24017,i0778,inardesco,v,1,v1spia--3-,inardesc inars -,inardesco
31656,i0793,inattenuatus,a,0,aps---mn1-,inattenuat inattenuat inattenuat,inattenuatus
113447,i0797,inaudibilis,a,0,aps---cn3i,inaudibil inaudibil inaudibil,inaudibilis
27780,t0992,transenna,n,1,n-s---fn1-,transenn,transenna
27785,t1009,transfodio,v,1,v1spia--3i,transfod transfod transfoss,transfodio
27786,t1013,transformo,v,1,v1spia--1-,transform transformau transformat,transformo
27788,t1019,transfugio,v,1,v1spia--3i,transfug transfug transfugit,transfugio
27789,t1020,transfugium,n,1,n-s---nn2-,transfugi,transfugium
27791,t1029,transgressio,n,1,n-s---fn3-,transgression,transgressio
27792,t1031,transgressor,n,1,n-s---mn3-,transgressor,transgressor
27794,t1035,transitio,n,1,n-s---fn3-,transition,transitio
27796,t9927,transitus,n,1,n-s---mn4-,transit,transitus
27797,t1043,translaticius,a,1,aps---mn1-,translatici translatici translatici,translaticius
27798,t1044,translatio,n,1,n-s---fn3-,translation,translatio
27799,t1055,transmeo,v,1,v1spia--1-,transme transmeau transmeat,transmeo
27800,t1061,transmitto,v,1,v1spia--3-,transmitt transmis transmiss,transmitto
27802,t1084,transporto,v,1,v1spia--1-,transport transportau transportat,transporto
27803,t1094,transtrum,n,1,n-s---nn2-,transtr,transtrum
27804,t1099,transueho,v,1,v1spia--3-,transueh transuex transuect,transueho
27806,t1148,tremo,v,1,v1spia--3-,trem tremu -,tremo
27808,t1153,trepido,v,1,v1spia--1-,trepid trepidau trepidat,trepido
27809,t1170,tribolus,n,1,n-s---mn2-,tribol,tribolus
27810,t1174,tribulatio,n,1,n-s---fn3-,tribulation,tribulatio
27811,t1176,tribulo,v,1,v1spia--1-,tribul tribulau tribulat,tribulo
27813,t1183,tribunus,n,1,n-s---mn2-,tribun,tribunus
27815,t1185,tribus,n,1,n-s---fn4-,trib,tribus
27816,t1189,tributor,n,1,n-s---mn3-,tributor,tributor
