991,submutatio,n,0,n-s---fn3-,submutation,submutatio
129592,129592,taxatus,a,0,aps---mn1-,taxat taxat taxat,taxatus
129599,129599,taxo,n,0,n-s---mn3-,taxon,taxo
129602,129602,technicus,n,0,n-s---mn2-,technic,technicus
129604,129604,technopaegnium,n,0,n-s---nn2-,technopaegni,technopaegnium
129611,129611,teda,n,0,n-s---fn1-,ted,teda
129622,129622,tegumenta,n,0,n-p---nn2-,tegument,tegumenta
129623,129623,telamo,n,0,n-s---mn3-,telamon,telamo
129624,129624,telamon,n,0,n-s---mn3-,telamon,telamon
129625,129625,telamones,n,0,n-s---mn3-,telamon,telamones
129627,129627,telestinus,a,0,aps---mn1-,telestin telestin telestin,telestinus
129630,129630,telicardios,n,0,n-s---fn2g,telicardi,telicardios
129631,129631,teliger,a,0,aps---mn1r,teliger teliger teliger,teliger
129585,t0157,taurobolium,n,0,n-s---nn2-,tauroboli,taurobolium
129632,129632,telirrhizos,n,0,n-s---fn2g,telirrhiz,telirrhizos
129636,129636,telonearius,n,0,n-s---mn2-,teloneari,telonearius
129638,129638,temerarie,r,0,rp--------,,temerarie
129641,129641,temeratus,a,0,aps---mn1-,temerat temerat temerat,temeratus
129590,,taxa,n,0,n-s---fn1-,tax,taxa
129586,t0158,taurobolus,n,0,n-s---mn2-,taurobol,taurobolus
129587,t0159,taurocenta,n,0,n-s---mn1-,taurocent,taurocenta
129589,t0163,tautologia,n,0,n-s---fn1-,tautologi,tautologia
129591,t0167,taxator,n,0,n-s---mn3-,taxator,taxator
129593,t0168,taxea,n,0,n-s---fn1-,taxe,taxea
129594,t0169,taxeota,n,0,n-s---mn1-,taxeot,taxeota
129595,t0170,taxeoticus,a,0,aps---mn1-,taxeotic taxeotic taxeotic,taxeoticus
129596,t0168,taxeus,n,0,n-s---fn2-,taxe,taxeus
129597,t0171,taxicus,a,0,aps---mn1-,taxic taxic taxic,taxicus
129598,t0173,taxim,r,0,rp--------,,taxim
129601,t0177,teba,n,0,n-s---fn1-,teb,teba
129603,t0180,technographus,n,0,n-s---mn2-,technograph,technographus
129605,t0181,technyphion,n,0,n-s---nn2g,technyphi,technyphion
129606,t0182,tecolithos,n,0,n-s---mn2g,tecolith,tecolithos
129607,t0184,tectio,n,0,n-s---fn3-,tection,tectio
129609,t0190,tectulum,n,0,n-s---nn2-,tectul,tectulum
129610,t0217,tectura,n,0,n-s---fn1-,tectur,tectura
129612,t0193,tegeste,n,0,n-s---nn3i,tegest,tegeste
129613,t0194,tegetarius,n,0,n-s---mn2-,tegetari,tegetarius
129614,t0195,tegeticula,n,0,n-s---fn1-,tegeticul,tegeticula
129615,t9195,tegiculum,n,0,n-s---nn2-,tegicul,tegiculum
129616,t0196,tegile,n,0,n-s---nn3i,tegil,tegile
129617,t0197,tegillum,n,0,n-s---nn2-,tegill,tegillum
129618,t0202,tegularius,n,0,n-s---mn2-,tegulari,tegularius
129619,$0217,tegulatus,a,0,aps---mn1-,tegulat tegulat tegulat,tegulatus
129621,t0204,tegulum,n,0,n-s---nn2-,tegul,tegulum
129628,t0209,teleta,n,0,n-s---fn1-,telet,teleta
129633,t0211,telis,n,0,n-s---fn3i,tel,telis
129635,t0214,telo,n,0,n-s---mn3-,telon,telo
129637,t0220,temerabilis,a,0,aps---cn3i,temerabil temerabil temerabil,temerabilis
129639,t0222,temeratio,n,0,n-s---fn3-,temeration,temeratio
129640,t0223,temerator,n,0,n-s---mn3-,temerator,temerator
129642,t0226,temeriter,r,0,rp--------,,temeriter
129643,t0227,temeritudo,n,0,n-s---fn3-,temeritudin,temeritudo
129645,t0233,temonarius,a,0,aps---mn1-,temonari temonari temonari,temonarius
114061,i1492,inexstirpabilis,a,0,aps---cn3i,inexstirpabil inexstirpabil inexstirpabil,inexstirpabilis
22134,22134,definienter,r,1,rp--------,,definienter
129650,129650,tempere,r,0,rp--------,,tempere
129651,129651,temperius,r,0,rp--------,,temperius
129659,129659,temporaliter,r,0,rp--------,,temporaliter
129660,129660,temporarie,r,0,rp--------,,temporarie
129663,129663,temptatus,a,0,aps---mn1-,temptat temptat temptat,temptatus
129665,129665,temptor,n,0,n-s---mn3-,temptor,temptor
129666,129666,tempulum,n,0,n-s---nn2-,tempul,tempulum
129668,129668,temtor,n,0,n-s---mn3-,temtor,temtor
129669,129669,temulenter,r,0,rp--------,,temulenter
129670,129670,tenaces,n,0,n-p---mn3i,tenac,tenaces
129673,129673,tendor,n,0,n-s---mn3-,tendor,tendor
129676,129676,tenebrasco,v,0,v1spia--3-,,tenebrasco
129681,129681,tenebrose,r,0,rp--------,,tenebrose
129683,129683,tenebrosum,n,0,n-s---nn2-,tenebros,tenebrosum
129685,129685,teneriter,r,0,rp--------,,teneriter
129689,129689,tenesmus,n,0,n-s---mn2-,tenesm,tenesmus
129690,129690,tenno,v,0,v1spia--3-,tenn - -,tenno
129695,129695,tensus,a,0,aps---mn1-,tens tens tens,tensus
129696,129696,tentator,n,0,n-s---mn3-,tentator,tentator
129697,129697,tentatrix,n,0,n-s---fn3-,tentatric,tentatrix
129698,129698,tentio,n,0,n-s---fn3-,tention,tentio
129705,129705,tenuarius,a,0,aps---mn1-,tenuari tenuari tenuari,tenuarius
129708,129708,tenuatus,a,0,aps---mn1-,tenuat tenuat tenuat,tenuatus
129709,129709,tenuescens,a,0,aps---an3i,tenuescent tenuescent tenuescent,tenuescens
129654,t0248,tempestus,a,0,aps---mn1-,tempest tempest tempest,tempestus
129655,t0247,tempestus,n,0,n-s---fn3-,tempestut,tempestus
129656,t0249,templaris,a,0,aps---cn3i,templar templar templar,templaris
129657,t0250,templatim,r,0,rp--------,,templatim
129658,t0253,temporalitas,n,0,n-s---fn3-,temporalitat,temporalitas
129661,t0256,temporatim,r,0,rp--------,,temporatim
129662,t0262,temptatrix,n,0,n-s---fn3-,temptatric,temptatrix
129667,t0265,tempusculum,n,0,n-s---nn2-,tempuscul,tempusculum
129671,t0268,tenacia,n,0,n-s---fn1-,tenaci,tenacia
129672,t0270,tenaculum,n,0,n-s---nn2-,tenacul,tenaculum
129675,t0276,tenebrarius,a,0,aps---mn1-,tenebrari tenebrari tenebrari,tenebrarius
129677,t0277,tenebratio,n,0,n-s---fn3-,tenebration,tenebratio
129678,t0279,tenebrico,v,0,v1spia--1-,tenebric tenebricau tenebricat,tenebrico
129679,t0280,tenebricositas,n,0,n-s---fn3-,tenebricositat,tenebricositas
129680,t0283,tenebrio,n,0,n-s---fn3-,tenebrion,tenebrio
129682,t0285,tenebrositas,n,0,n-s---fn3-,tenebrositat,tenebrositas
129684,t0291,teneresco,v,0,v1spia--3-,,teneresco
129687,t0295,tenerulus,a,0,aps---mn1-,tenerul tenerul tenerul,tenerulus
129691,t0298,tenon,n,0,n-s---mn3i,tenont,tenon
129692,t0303,tensibilis,a,0,aps---cn3i,tensibil tensibil tensibil,tensibilis
129693,t0304,tensio,n,0,n-s---fn3-,tension,tensio
129694,t9980,tensura,n,0,n-s---fn1-,tensur,tensura
129700,t0307,tentor,n,0,n-s---mn3-,tentor,tentor
129701,t0309,tentorius,a,0,aps---mn1-,tentori tentori tentori,tentorius
129702,t0310,tentrix,n,0,n-s---fn3-,tentric,tentrix
129703,t9996,tentus,n,0,n-s---mn4-,tent,tentus
129706,t0312,tenuatim,r,0,rp--------,,tenuatim
129707,t0314,tenuatio,n,0,n-s---fn3-,tenuation,tenuatio
129710,t0315,tenuesco,v,0,v1spia--3-,,tenuesco
129711,t0313,tenuiarius,a,0,aps---mn1-,tenuiari tenuiari tenuiari,tenuiarius
116696,l1247,lutulento,v,0,v1spia--1-,lutulent lutulentau lutulenta,lutulento
103561,b0189,battualia,n,0,n-p---nn2-,battuali,battualia
22369,22369,desertus,a,1,aps---mn1-,desert desert desert,desertus
129719,129719,teramon,n,0,n-s---nn2g,teram,teramon
129722,129722,terdecies,r,0,rp--------,,terdecies
129728,129728,terebrator,n,0,n-s---mn3-,terebrator,terebrator
129729,129729,terebratus,a,0,aps---mn1-,terebrat terebrat terebrat,terebratus
129732,129732,tergenus,r,0,rp--------,,tergenus
129734,129734,tergiuersanter,r,0,rp--------,,tergiuersanter
129739,129739,teriuga,n,0,n-s---fn1-,teriug,teriuga
129742,129742,terminate,r,0,rp--------,,terminate
129714,t0318,tepidarius,a,0,aps---mn1-,tepidari tepidari tepidari,tepidarius
129744,129744,terminatus,a,0,aps---mn1-,terminat terminat terminat,terminatus
129747,129747,termlnatus,n,0,n-s---mn4-,termlnat,termlnatus
129751,129751,ternideni,a,0,app---mn1-,terniden terniden terniden,ternideni
129755,129755,terplico,v,0,v1spia--1-,terplic terplicau terplica,terplico
129756,129756,terquini,a,0,app---mn1-,terquin terquin terquin,terquini
129760,129760,terrenitas,n,0,n-s---fn3-,terrenitat,terrenitas
129762,129762,terrestria,n,0,n-p---nn3i,terrestr,terrestria
129764,129764,terribilitas,n,0,n-s---fn3-,terribilitat,terribilitas
129765,129765,terribiliter,r,0,rp--------,,terribiliter
129769,129769,terricula,n,0,n-p---nn2-,terricul,terricula
129770,129770,terriculamenta,n,0,n-p---nn2-,terriculament,terriculamenta
129772,129772,terrifagus,a,0,aps---mn1-,terrifag terrifag terrifag,terrifagus
129768,t0385,terricula,n,0,n-s---fn1-,terricul,terricula
129715,t0319,tepido,v,0,v1spia--1-,tepid tepidau tepidat,tepido
129716,t0322,teporatus,a,0,aps---mn1-,teporat teporat teporat,teporatus
129718,t0323,teporus,a,0,aps---mn1-,tepor tepor tepor,teporus
129720,t0325,teramum,n,0,n-s---nn2-,teram,teramum
129724,t0329,terdeni,a,0,app---mn1-,terden terden terden,terdeni
129725,t0331,terebinthizusa,n,0,n-s---fn1-,terebinthizus,terebinthizusa
129726,t0334,terebramen,n,0,n-s---nn3-,terebramin,terebramen
129727,t0335,terebratio,n,0,n-s---fn3-,terebration,terebratio
129730,t9997,terebratus,n,0,n-s---mn4-,terebrat,terebratus
129731,t0333,terebrum,n,0,n-s---nn2-,terebr,terebrum
129733,t0344,tergilla,n,0,n-s---fn1-,tergill,tergilla
129737,t0349,tergoro,v,0,v1spia--1-,tergor tergorau tergora,tergoro
129740,t0352,teriugus,a,0,aps---mn1-,teriug teriug teriug,teriugus
129743,t0359,terminator,n,0,n-s---mn3-,terminator,terminator
129745,t9998,terminatus,n,0,n-s---mn4-,terminat,terminatus
129746,t0362,termiteus,a,0,aps---mn1-,termite termite termite,termiteus
129748,t0363,termo,n,0,n-s---mn3-,termon,termo
129750,t0367,terni,a,0,app---mn1-,tern tern tern,terni
129752,t0368,ternio,n,0,n-s---mn3-,ternion,ternio
129753,t0369,ternitas,n,0,n-s---fn3-,ternitat,ternitas
129754,t0370,ternox,n,0,n-s---fn3i,ternoct,ternox
129757,t0374,terraneola,n,0,n-s---fn1-,terraneol,terraneola
129758,t0376,terrarium,n,0,n-s---nn2-,terrari,terrarium
129761,t1497,terresco,v,0,v1spia--3-,,terresco
129763,t0381,terriberes,n,0,n-s---fn3-,terriber,terriberes
129766,t0383,terricola,n,1,n-s---cn1-,terricol,terricola
129767,t0384,terricrepus,a,0,aps---mn1-,terricrep terricrep terricrep,terricrepus
129771,t0386,terriculamentum,n,0,n-s---nn2-,terriculament,terriculamentum
129773,t0387,terrificatio,n,0,n-s---fn3-,terrification,terrificatio
133006,l8252,luxor,v,0,v1spid--1-,lux luxat -,luxor
22432,22432,detento,v,1,v1spia--3-,detent detentau detentat,detento
103756,b0503,boletar,n,0,n-s---nn3i,boletar,boletar
129781,129781,territus,a,0,aps---mn1-,territ territ territ,territus
129784,129784,terrulente,r,0,rp--------,,terrulente
129786,129786,tersor,n,0,n-s---mn3-,tersor,tersor
129787,129787,tersorium,n,0,n-s---nn2-,tersori,tersorium
129790,129790,tertiae,n,0,n-p---fn1-,terti,tertiae
129792,129792,tertiato,r,0,rp--------,,tertiato
129796,129796,tertiusdecimus,a,0,aps---mn1-,tertiusdecim tertiusdecim tertiusdecim,tertiusdecimus
129797,129797,tertiusdecumus,a,0,aps---mn1-,tertiusdecum tertiusdecum tertiusdecum,tertiusdecumus
129798,129798,tertus,a,0,aps---mn1-,tert tert tert,tertus
129799,129799,teruenificus,n,0,n-s---mn2-,teruenific,teruenificus
129800,129800,tesca,n,0,n-p---nn2-,tesc,tesca
129801,129801,tessalarius,a,0,aps---mn1-,tessalari tessalari tessalari,tessalarius
129805,129805,tessellatum,n,0,n-s---nn2-,tessellat,tessellatum
129810,129810,testaceum,n,0,n-s---nn2-,testace,testaceum
129812,129812,testamentalis,a,0,aps---cn3i,testamental testamental testamental,testamentalis
129815,129815,testato,r,0,rp--------,,testato
129818,129818,testiculata,n,0,n-s---fn1-,testiculat,testiculata
129822,129822,testificatus,a,0,aps---mn1-,testificat testificat testificat,testificatus
129824,129824,testimoniales,n,0,n-p---fn3i,testimonial,testimoniales
129827,129827,testuatium,n,0,n-s---nn2-,testuati,testuatium
129830,129830,tetanothrum,n,0,n-s---nn2-,tetanothr,tetanothrum
129831,129831,tetartaeum,n,0,n-s---nn2-,tetartae,tetartaeum
129834,129834,tethalassomenon,n,0,n-s---nn2-,tethalassomen,tethalassomenon
129789,129789,Tertia,n,0,n-s---fn1-,Terti,Tertia
129775,129775,terripauium,n,0,n-s---nn2-,terripaui,terripauium
129778,t0394,territio,n,0,n-s---fn3-,territion,territio
129779,t0396,territor,n,0,n-s---mn3-,territor,territor
129782,t0400,terrosus,a,0,aps---mn1-,terros terros terros,terrosus
129783,t0401,terrula,n,0,n-s---fn1-,terrul,terrula
129785,t0402,terrulentus,a,0,aps---mn1-,terrulent terrulent terrulent,terrulentus
129788,t9999,tersus,n,0,n-s---mn4-,ters,tersus
129791,t0407,tertiatio,n,0,n-s---fn3-,tertiation,tertiatio
129793,t0409,terticeps,a,0,aps---an3-,terticip terticip terticip,terticeps
129794,t0411,tertiocerius,n,0,n-s---mn2-,tertioceri,tertiocerius
129795,t0412,tertiodecimus,n,0,n-s---mn2-,tertiodecim,tertiodecimus
129802,t0420,tessaracoste,n,0,n-s---fn1g,tessaracost,tessaracoste
129804,t0422,tessellator,n,0,n-s---mn3-,tessellator,tessellator
129807,t1494,tesserarius,a,0,aps---mn1-,tesserari tesserari tesserari,tesserarius
129808,t0425,tesseratus,a,0,aps---mn1-,tesserat tesserat tesserat,tesseratus
129809,t0428,testabilis,a,0,aps---cn3i,testabil testabil testabil,testabilis
129811,t0430,testamen,n,0,n-s---nn3-,testamin,testamen
129813,t0433,testarius,n,0,n-s---mn2-,testari,testarius
129814,t0434,testatim,r,0,rp--------,,testatim
129816,t0439,testicius,a,0,aps---mn1-,testici testici testici,testicius
129821,t0443,testicutis,a,0,aps---cn3i,testicut testicut testicut,testicutis
129825,t0446,testimonialis,a,0,aps---cn3i,testimonial testimonial testimonial,testimonialis
129826,t0449,testitrahus,a,0,aps---mn1-,testitrah testitrah testitrah,testitrahus
129828,t0458,teta,n,0,n-s---fn1-,tet,teta
129829,t0459,tetanicus,a,0,aps---mn1-,tetanic tetanic tetanic,tetanicus
129832,t0087,tetartemoria,n,0,n-s---fn1-,tetartemori,tetartemoria
129833,t0091,tetartemorion,n,0,n-s---nn2g,tetartemori,tetartemorion
24067,24067,incorrigibilis,a,1,aps---cn3i,incorrigibil incorrigibil incorrigibil,incorrigibilis
129860,t0484,tetrapharmacum,n,0,n-s---nn2-,tetrapharmac,tetrapharmacum
129839,129839,tetrachordum,n,0,n-s---nn2-,tetrachord,tetrachordum
129840,129840,tetracolon,n,0,n-s---nn2g,tetracol,tetracolon
129842,129842,tetradeum,n,0,n-s---nn2-,tetrade,tetradeum
129843,129843,tetradice,n,0,n-s---fn1g,tetradic,tetradice
129846,129846,tetradorus,a,0,aps---mn1-,tetrador tetrador tetrador,tetradorus
129848,129848,tetragnathion,n,0,n-s---nn2g,tetragnathi,tetragnathion
129852,129852,tetragonismus,n,0,n-s---mn2-,tetragonism,tetragonismus
129853,129853,tetragonium,n,0,n-s---nn2-,tetragoni,tetragonium
129861,129861,tetraphori,n,0,n-p---mn2-,tetraphor,tetraphori
129864,129864,tetrapleurus,a,0,aps---mn1-,tetrapleur tetrapleur tetrapleur,tetrapleurus
129866,129866,tetraptota,n,0,n-p---nn2-,tetraptot,tetraptota
129867,129867,tetraptoton,n,0,n-s---nn2-,tetraptot,tetraptoton
129873,129873,tetrastichon,n,0,n-s---nn2-,tetrastich,tetrastichon
129875,129875,tetrastichus,a,0,aps---mn1-,tetrastich tetrastich tetrastich,tetrastichus
129877,129877,tetrastrophus,a,0,aps---mn1-,tetrastroph tetrastroph tetrastroph,tetrastrophus
129879,129879,tetrastylum,n,0,n-s---nn2-,tetrastyl,tetrastylum
129880,129880,tetrastylus,a,0,aps---mn1-,tetrastyl tetrastyl tetrastyl,tetrastylus
129882,129882,tetrax,n,0,n-s---mn3-,tetrac,tetrax
129883,129883,tetre,r,0,rp--------,,tetre
129887,129887,tetritudo,n,0,n-s---fn3-,tetritudin,tetritudo
129889,129889,tetrum,r,0,rp--------,,tetrum
129894,129894,teuchites,n,0,n-s---mn1-,teuchit,teuchites
129896,129896,Teucria,n,0,n-s---fn1-,Teucri,Teucria
129844,t0468,tetradium,n,0,n-s---nn2-,tetradi,tetradium
129845,t0469,tetradoros,a,0,aps---mn1g,tetrador tetrador tetrador,tetradoros
129847,t0470,tetraeteris,n,0,n-s---fn3-,tetraeterid,tetraeteris
129849,t0471,tetragnathius,n,0,n-s---mn2-,tetragnathi,tetragnathius
129854,t0476,tetragrammatos,a,0,aps---mn1g,tetragrammat tetragrammat tetragrammat,tetragrammatos
129855,t0477,tetralix,n,0,n-s---fn3-,tetralic,tetralix
129857,t0481,tetrans,n,0,n-s---mn3i,tetrant,tetrans
129858,t0482,tetrao,n,0,n-s---mn3-,tetraon,tetrao
129859,t0483,tetraonymus,a,0,aps---mn1-,tetraonym tetraonym tetraonym,tetraonymus
129863,t0486,tetraplasius,a,0,aps---mn1-,tetraplasi tetraplasi tetraplasi,tetraplasius
129865,t0487,tetraplo,v,0,v1spia--1-,tetrapl tetraplau tetraplat,tetraplo
129869,t0490,tetrapylum,n,0,n-s---nn2-,tetrapyl,tetrapylum
129870,t0493,tetrarhythmus,a,0,aps---mn1-,tetrarhythm tetrarhythm tetrarhythm,tetrarhythmus
129871,t0494,tetras,n,0,n-s---fn3-,tetrad,tetras
129872,t0495,tetrasemus,a,0,aps---mn1-,tetrasem tetrasem tetrasem,tetrasemus
129874,t0496,tetrastichos,a,0,aps---mn1g,tetrastich tetrastich tetrastich,tetrastichos
129876,t0497,tetrastrophos,a,0,aps---mn1g,tetrastroph tetrastroph tetrastroph,tetrastrophos
129878,t0498,tetrastylos,a,0,aps---mn1g,tetrastyl tetrastyl tetrastyl,tetrastylos
129884,t0501,tetricitas,n,0,n-s---fn3-,tetricitat,tetricitas
129885,t0503,tetrinnio,v,0,v1spia--4-,tetrinn tetrinniu tetrinnit,tetrinnio
129888,t0056,tetro,v,0,v1spia--1-,tetr tetrau tetrat,tetro
129890,t0505,tettigometra,n,0,n-s---fn1-,tettigometr,tettigometra
129891,t0506,tettigonia,n,0,n-s---fn1-,tettigoni,tettigonia
129892,t0506,tettigonium,n,0,n-s---nn2-,tettigoni,tettigonium
129893,t0507,tetus,n,0,n-s---mn2-,tet,tetus
129895,t0508,teuchitis,n,0,n-s---fn3-,teuchitid,teuchitis
114068,i1498,inexustus,a,0,aps---mn1-,inexust inexust inexust,inexustus
103897,b0681,buccellarius,n,0,n-s---mn2-,buccellari,buccellarius
125047,125047,renascibilitas,n,0,n-s---fn3-,renascibilitat,renascibilitas
129902,129902,texterna,n,0,n-s---fn1-,textern,texterna
129905,129905,textus,a,0,aps---mn1-,text text text,textus
129906,129906,thalamegus,n,0,n-s---fn2-,thalameg,thalamegus
129908,129908,thalassegle,n,0,n-s---fn1g,thalassegl,thalassegle
129912,129912,thalictruum,n,0,n-s---nn2-,thalictru,thalictruum
129913,129913,thalietrum,n,0,n-s---nn2-,thalietr,thalietrum
129898,t0511,teuthalis,n,0,n-s---fn3-,teuthalid,teuthalis
129914,129914,thalitruum,n,0,n-s---nn2-,thalitru,thalitruum
129915,129915,thamnum,n,0,n-s---nn2-,thamn,thamnum
129916,129916,thamnus,n,0,n-s---mn2-,thamn,thamnus
129917,129917,thannum,n,0,n-s---nn2-,thann,thannum
129918,129918,thassa,n,0,n-s---fn1-,thass,thassa
129923,129923,theatridium,n,0,n-s---nn2-,theatridi,theatridium
129929,129929,thelycon,n,0,n-s---nn2g,thelyc,thelycon
129931,129931,thelygonos,a,0,aps---mn1g,thelygon thelygon thelygon,thelygonos
129935,129935,thensaurum,n,0,n-s---nn2-,thensaur,thensaurum
129936,129936,theobrotion,n,0,n-s---nn2g,theobroti,theobrotion
129943,129943,theoremation,n,0,n-s---nn2g,theoremati,theoremation
129945,129945,theoretica,n,0,n-s---fn1-,theoretic,theoretica
129952,129952,therebinthos,n,0,n-s---fn2g,therebinth,therebinthos
129953,129953,theriaca,n,0,n-s---fn1-,theriac,theriaca
129954,129954,theriace,n,0,n-s---fn1g,theriac,theriace
129956,129956,theribethron,n,0,n-s---nn2g,theribethr,theribethron
129957,129957,therion,n,0,n-s---nn2g,theri,therion
129938,129938,Theodotion,n,0,n-s---nn2g,Theodoti,Theodotion
129919,129919,thau,n,0,n-s---n---,-,thau
129903,t0517,textricula,n,0,n-s---fn1-,textricul,textricula
129904,t0518,textrina,n,0,n-s---fn1-,textrin,textrina
129907,t0523,thalassaegle,n,0,n-s---fn1g,thalassaegl,thalassaegle
129910,t0530,thalassometra,n,0,n-s---mn1-,thalassometr,thalassometra
129911,t0532,thalictrum,n,0,n-s---nn2-,thalictr,thalictrum
129920,t0537,theamedes,n,0,n-s---mn3i,theamed,theamedes
129922,t0541,theatridion,n,0,n-s---nn2g,theatridi,theatridion
129924,t0544,thecatus,a,0,aps---mn1-,thecat thecat thecat,thecatus
129925,t0545,thelodiues,a,0,aps---an3-,thelodiuit thelodiuit thelodiuit,thelodiues
129928,t0548,thelycardios,n,0,n-s---fn2g,thelycardi,thelycardios
129930,t1503,thelygonon,n,0,n-s---nn2g,thelygon,thelygonon
129933,t0551,thelypteris,n,0,n-s---fn3-,thelypterid,thelypteris
129934,t0552,thelyrrhizos,n,0,n-s---fn2g,thelyrrhiz,thelyrrhizos
129937,t0554,theobrotios,n,0,n-s---fn2g,theobroti,theobrotios
129940,t0562,theonina,n,0,n-s---fn1-,theonin,theonina
129941,t0564,theopnoe,n,0,n-s---fn1g,theopno,theopnoe
129942,t0566,theorema,n,0,n-s---nn3-,theoremat,theorema
129944,t0567,theorematium,n,0,n-s---nn2-,theoremati,theorematium
129946,t0568,theoretice,n,0,n-s---fn1g,theoretic,theoretice
129948,t0570,theorice,n,0,n-s---fn1g,theoric,theorice
129949,t0571,theostasis,n,0,n-s---fn3i,theostas,theostasis
129950,t0572,theotocos,n,0,n-s---fn2g,theotoc,theotocos
129951,t0573,therapeutica,n,0,n-p---nn2-,therapeutic,therapeutica
129955,t0574,theriacus,a,0,aps---mn1-,theriac theriac theriac,theriacus
129958,t0576,therionarca,n,0,n-s---fn1-,therionarc,therionarca
130087,t0708,tinctorium,n,0,n-s---nn2-,tinctori,tinctorium
114078,i1506,infamator,n,0,n-s---mn3-,infamator,infamator
26732,26732,relatiue,r,1,rp--------,,relatiue
104320,c0653,caristia,n,0,n-p---nn2-,caristi,caristia
129964,129964,thermipolium,n,0,n-s---nn2-,thermipoli,thermipolium
129967,129967,thermospodium,n,0,n-s---nn2-,thermospodi,thermospodium
129969,129969,thermularius,a,0,aps---mn1-,thermulari thermulari thermulari,thermularius
129970,129970,theronarca,n,0,n-s---fn1-,theronarc,theronarca
129971,129971,thesaurarium,n,0,n-s---nn2-,thesaurari,thesaurarium
129973,129973,thesaurarius,n,0,n-s---mn2-,thesaurari,thesaurarius
129974,129974,thesaurensis,n,0,n-s---mn3i,thesaurens,thesaurensis
129975,129975,thesaurizatio,n,0,n-s---fn3-,thesaurization,thesaurizatio
129976,129976,thesaurizator,n,0,n-s---mn3-,thesaurizator,thesaurizator
129979,129979,thesium,n,0,n-s---nn2-,thesi,thesium
129989,129989,thius,n,0,n-s---mn2-,thi,thius
129990,129990,thladias,n,0,n-s---mn1g,thladi,thladias
129995,129995,thocus,n,0,n-s---mn2-,thoc,thocus
129996,129996,thomex,n,0,n-s---fn3-,thomic,thomex
129997,129997,thomix,n,0,n-s---fn3-,thomic,thomix
130000,130000,thorace,n,0,n-s---fn1g,thorac,thorace
130003,130003,thoracomachus,n,0,n-s---mn2-,thoracomach,thoracomachus
130004,130004,thorus,n,0,n-s---mn2-,thor,thorus
130006,130006,thorybetron,n,0,n-s---nn2g,thorybetr,thorybetron
130009,130009,thrauston,n,0,n-s---nn2-,thraust,thrauston
130013,130013,thripes,n,0,n-s---mn3-,thrip,thripes
130016,130016,thronos,n,0,n-s---mn2g,thron,thronos
130018,130018,thunnarius,a,0,aps---mn1-,thunnari thunnari thunnari,thunnarius
130019,130019,thuralis,a,0,aps---cn3i,thural thural thural,thuralis
130020,130020,thurarius,a,0,aps---mn1-,thurari thurari thurari,thurarius
130021,130021,thureus,a,0,aps---mn1-,thure thure thure,thureus
130022,130022,thuribulum,n,0,n-s---nn2-,thuribul,thuribulum
129962,t0581,thermarius,n,0,n-s---mn2-,thermari,thermarius
129963,t0583,therminus,a,0,aps---mn1-,thermin thermin thermin,therminus
129968,t0587,thermulae,n,0,n-p---fn1-,thermul,thermulae
129972,t0590,thesaurarius,a,0,aps---mn1-,thesaurari thesaurari thesaurari,thesaurarius
129978,t0595,thesis,n,0,n-s---fn3i,thes,thesis
129980,t0596,thesmophoria,n,0,n-p---nn2-,thesmophori,thesmophoria
129982,t0600,theticus,a,0,aps---mn1-,thetic thetic thetic,theticus
129983,t0601,theurgia,n,0,n-s---fn1-,theurgi,theurgia
129984,t0602,theurgicus,a,0,aps---mn1-,theurgic theurgic theurgic,theurgicus
129985,t0603,theurgus,n,0,n-s---mn2-,theurg,theurgus
129987,t0605,thiaso,v,0,v1spia--1-,thias thiasau thiasat,thiaso
129988,t0607,thieldones,n,0,n-s---mn3-,thieldon,thieldones
129991,t0609,thlasias,n,0,n-s---mn1g,thlasi,thlasias
129992,t9990,thlibias,n,0,n-s---mn1g,thlibi,thlibias
129994,t0612,thocum,n,0,n-s---nn2-,thoc,thocum
129999,t0614,thoracatus,a,0,aps---mn1-,thoracat thoracat thoracat,thoracatus
130001,t0616,thoraciculus,n,0,n-s---mn2-,thoracicul,thoraciculus
130002,t0617,thoracium,n,0,n-s---nn2-,thoraci,thoracium
130007,t0620,thos,n,0,n-s---mn3-,tho,thos
130008,t0622,thranis,n,0,n-s---mn3i,thran,thranis
130010,t0625,threnicus,a,0,aps---mn1-,threnic threnic threnic,threnicus
130011,t0626,threnus,n,0,n-s---mn2-,thren,threnus
130012,t0628,thrion,n,0,n-s---nn2g,thri,thrion
130014,t0629,thrips,n,0,n-s---mn3-,thrip,thrips
130015,t0630,thrissa,n,0,n-s---fn1-,thriss,thrissa
30999,i1512,infantaria,n,0,n-s---fn1-,infantari,infantaria
125102,125102,repentinaliter,r,0,rp--------,,repentinaliter
130045,t0649,thymion,n,0,n-s---nn2g,thymi,thymion
130024,130024,thurifer,a,0,aps---mn1r,thurifer thurifer thurifer,thurifer
130025,130025,thurificatio,n,0,n-s---fn3-,thurification,thurificatio
130026,130026,thurificator,n,0,n-s---mn3-,thurificator,thurificator
130027,130027,thurificatus,n,0,n-s---mn2-,thurificat,thurificatus
130028,130028,thurifico,v,0,v1spia--1-,thurific thurificau thurificat,thurifico
130029,130029,thurilegus,a,0,aps---mn1-,thurileg thurileg thurileg,thurilegus
130030,130030,thurinus,a,0,aps---mn1-,thurin thurin thurin,thurinus
