,06057735,n,10,the executive agency that advises the President on protecting the environment,1820
142355,06275172,n,10,"a regular route for a sentry or policeman: ""in the old days a policeman walked a beat and knew all his people by name""",
142366,06277165,n,10,the country where you were born,1820
142367,06277346,n,10,the place where someone was born,
142371,06278150,n,10,the lower side of anything,
142376,06278982,n,10,the absolute bottom,
142377,06279059,n,10,the line or plane indicating the limit or extent of something,
142378,06279444,n,10,a line that indicates a boundary,
142379,06279627,n,10,an archaic term for a boundary,
142380,06279718,n,10,the area on either side of a border or boundary,2772
142383,06280163,n,10,a boundary line created by a fence,
142384,06280273,n,10,the boundary line between two pieces of property,
142385,06280381,n,10,the boundary between two states,
142387,06280730,n,10,the boundary between two districts,
142388,06280824,n,10,the boundary between two counties,
142389,06280915,n,10,the boundary of a city,
142390,06280993,n,10,line across a billiard table behind which the cue balls are placed at the start of a game,2638
142392,06281317,n,10,the center of the Earth,2066
142393,06281393,n,10,a field of closely mowed turf for playing bowls,"1707,2415,2631"
142394,06281500,n,10,a place where animals breed,"2314,2876"
142395,06281625,n,10,a defensive post at the end of a bridge nearest to the enemy,
142396,06281742,n,10,the edge of a steep place,
142397,06281819,n,10,the area over which a radio or tv transmission can be received,
142398,06281942,n,10,a small neutral state between two rival powers,"1820,2772"
142399,06282064,n,10,the center of a target,2066
142400,06282169,n,10,the route regularly followed by a passenger bus,
142401,06282291,n,10,a place on a bus route where buses stop to discharge and take on passengers,1707
142402,06282440,n,10,a place (as at a frontier) where travellers are stopped for inspection and clearance,
142403,06282581,n,10,a place where taxis park while awaiting customers,
142404,06282697,n,10,a site where people on holiday can pitch a tent,2772
142405,06282882,n,10,a field on which the buildings of a university are situated,1707
142406,06283013,n,10,a seat of government,"1707,1820,2772"
142407,06283483,n,10,the geographical area draining into a river or reservoir,2772
142359,06276073,n,10,"the source of water from which a stream arises: ""they tracked him back toward the head of the stream""",
207398,L2786978,n,9,"the name of several kings of Pergamos, the most renowned of whom, both from his wealth and his discovery of the art of weaving cloth from gold, was Attalus III., who made the Roman people his heir",
142413,06284702,n,10,(astronomy) either of the two celestial points at which the celestial equator intersects the ecliptic,2076
142414,06284913,n,10,(astronomy) the equinoctial point that lies in the constellation of Pisces,2076
142415,06285048,n,10,(astronomy) the equinoctial point that lies in the constellation of Virgo,2076
142416,06285184,n,10,the apparent surface of the imaginary sphere on which celestial bodies appear to be projected,2076
142417,06285522,n,10,a tract of land used for burials,"1565,1707,2446"
142418,06285699,n,10,a point equidistant from the ends of a line or the extremities of a figure,2066
142434,06294952,n,10,"outlying areas (as of a city or town); ""they lived on the outskirts of Houston"" or ""they mingled in the outskirts of the crowd""",
142461,06299227,n,10,"the point where two lines meet or intersect: ""the corners of a rectangle""",2066
142454,06298187,n,10,a territorial division of a state; entitled to elect one member to the United States House of Representatives,
142459,06298933,n,10,midwestern United States (Iowa Illinois Indiana); excellent for raising corn and corn-fed livestock,
142463,06299540,n,10,"a remote area: ""in many corners of the world they still practice slavery""",
142453,06297988,n,10,"a place where two things come together: ""Pittsburgh is located at the confluence of the Allegheny and Monongahela rivers""",2772
142419,06286080,n,10,point representing the mean position of the matter in a body,2066
142420,06286230,n,10,(astronomy) the common center of mass around which two or more bodies revolve,"2066,2076"
142421,06286364,n,10,point where the hairline meets the midpoint of the forehead,2233
142422,06286507,n,10,the point within something at which gravity can be considered to act,2066
142424,06287070,n,10,the central part of a city,"1707,1820,2772"
142425,06287188,n,10,the central area or place of lowest barometric pressure within a storm,"2066,2126"
142427,06293560,n,10,a very large urban complex (usually involving several cities and towns),2772
142428,06293689,n,10,a district of a town or city,1820
142429,06294174,n,10,a district of a city or town marked out for administrative purposes,1820
142430,06294332,n,10,a precinct in which law enforcement is the responsibility of particular police force,1820
142432,06294665,n,10,a place where voters go to cast their votes in an election,
142433,06294820,n,10,the commercial center of a town or city,1820
142435,06295135,n,10,a city district (originally in New York) where composers and publishers of popular music do business,1820
142436,06295295,n,10,an aggregation or continuous network of urban communities,"1707,2772"
142437,06295443,n,10,(Brit) monotonous urban sprawl of standardized buildings,"1707,2772"
142438,06295554,n,10,an English town that forms the constituency of a member of Parliament,1718
142439,06295731,n,10,a borough in Scotland,1718
142440,06295804,n,10,a sparsely populated borough in which all or most of the land is owned by a single family,1718
142441,06295954,n,10,an English parliamentary constituency with few electors,1718
142442,06296070,n,10,one of the administrative divisions of a large city,"1820,2772"
142443,06296283,n,10,a small administrative division of a country,1820
142445,06296625,n,10,the limits of the area occupied by a city or town,2772
142446,06296783,n,10,a tract of land with few or no trees in the middle of a wooded area,2772
142447,06296913,n,10,the smallest administrative district of several European countries (Belgium and France and Italy and Switzerland),1820
142448,06297080,n,10,any of the regions of the surface of the Earth loosely divided according to latitude or longitude,2772
142449,06297284,n,10,any of the geographical zones loosely divided according to prevailing climate and latitude,2772
142450,06297506,n,10,a place where you say people are when they seem optimistically out of touch with reality,"1566,2657"
142451,06297658,n,10,a pasture subject to common use,2772
142456,06298505,n,10,the part of a city where financial institutions are centered,"1820,2772"
142457,06298647,n,10,the center of a city,"1707,1820,2772"
142458,06298782,n,10,the older and more populated and (usually) poorer central section of a city,"1707,1820,2772"
142460,06299088,n,10,the hard cylindrical core that bears the kernels of an ear of corn,2066
142464,06299666,n,10,a field planted with corn,
142466,06300934,n,10,a territorial division for local government,"1820,2772"
142467,06301193,n,10,the territory of a count palatine,1820
142468,06301288,n,10,the town or city that is the seat of government for a county,"1820,2772"
142469,06301445,n,10,(British) the town or city that is the seat of government for a shire,1820
143251,06441835,n,10,a port in S Sweden,"1820,2772"
142431,06294478,n,10,one of several districts into which a city or town is divided for voting; each contains one polling place,1820
207423,L2071740,n,9," The Ausonians, a very ancient, perhaps Greek, name of the primitive inhabitants of Middle and Lower Italy",1696
142470,06301604,n,10,"the top line of a hill, mountain, or wave",2772
142471,06301697,n,10,line marking the upper limit of tree growth in mountains or northern latitudes,2772
142472,06301858,n,10,the line on a mountain above which there is perpetual snow and ice,2772
142473,06301980,n,10,a point where two lines (paths or arcs etc.) intersect,
142492,06304468,n,10,"a region in which military operations are in progress: ""the army was in the field awaiting action""",1781
142507,06307377,n,10,"a distant region: ""I could see it in the distance""",
142496,06305554,n,10,a district where people live; occupied primarily by private residences,1820
142508,06307482,n,10,"territory over which rule or control is exercised: ""his domain extended into Europe""; ""he made it the law of the land""","1820,2772"
142525,06309747,n,10,"where you live: ""deliver the package to my home""; ""he doesn't have a home to go to""; ""your place or mine?""",
142480,06302980,n,10,"a district that has been developed to serve some purpose: ""such land is practical for small park developments""",1820
142474,06302089,n,10,a section created by a plane cutting a solid perpendicular to its longest axis,2066
142524,06309630,n,10,a person's legal place of residence,
142476,06302435,n,10,a vertical section of soil from the ground surface to the parent rock,2121
142477,06302563,n,10,the territorial and administrative division of some countries (such as France),"1820,2772"
142478,06302717,n,10,the point at which an orbit crosses the ecliptic plane going south,2076
142479,06302863,n,10,"place where something (e.g., a journey or race) ends",
142483,06303494,n,10,the territorial jurisdiction of a bishop,"1707,1802,1820"
142484,06303674,n,10,the jurisdiction or office of an abbot,"1802,1820"
142485,06303765,n,10,the territorial jurisdiction of an archbishop,"1802,1820"
142486,06303870,n,10,the territorial jurisdiction of an archdeacon,"1802,1820"
142487,06303974,n,10,the territorial jurisdiction of a caliph,"1802,1820"
142488,06304070,n,10,the see of the pope (as the bishop of Rome),1707
142489,06304168,n,10,the diocese of an archbishop,"1707,1802,1820"
142490,06304254,n,10,a diocese of the Eastern Christian Church,"1707,1802,1820"
142491,06304349,n,10,a region whose population is affected by a general disaster,
142493,06304618,n,10,a region marked off for administrative or other purposes,"1707,1820"
142495,06305411,n,10,a district set apart as the seat of government of a federation,1820
142497,06305885,n,10,a residential part of town away from the central commercial district,1820
142498,06306025,n,10,a district with many brothels,1820
142499,06306119,n,10,a residential district located on the outskirts of a city,"1707,1820"
142500,06306329,n,10,a residential area outside of a city and beyond suburbia,1820
142501,06306439,n,10,a suburban area laid out in streets and lots for a future residential area,"1707,1820"
142503,06306799,n,10,a residential district occupied primarily with tenement houses,1820
142504,06306925,n,10,(computer science) the space available on a magnetic disk,1355
142505,06307088,n,10,(computer science) the disk space required for non-data information (used for location and timing),1355
142506,06307257,n,10,the disk space that is set aside for virtual memory,1355
142509,06307923,n,10,the domain controlled by an archduke or archduchess,"1820,2772"
142510,06308030,n,10,the domain of a baron,"1820,2772"
142511,06308104,n,10,the domain controlled by a duke or duchess,"1820,2772"
142512,06308208,n,10,the domain controlled by an earl or count or countess,"1820,2772"
142513,06308315,n,10,the domain controlled by an emir,"1820,2772"
142514,06308401,n,10,the domain ruled by an emperor or empress,"1820,2772"
142515,06308549,n,10,the domain controlled by a grand duke or grand duchess,"1820,2772"
142516,06308661,n,10,the domain controlled by a viscount or viscountess,"1820,2772"
142517,06308767,n,10,the domain ruled by a king or queen,"1820,2772"
142519,06309044,n,10,territory ruled by a prince,"1820,2772"
142520,06309196,n,10,the domain over which God is spiritually sovereign,"1820,2772"
142521,06309307,n,10,the domain ruled by a sheik,"1820,2772"
142522,06309401,n,10,the domain of a suzerain,"1820,2772"
142523,06309482,n,10,the set of values of the independent variable for which a function is defined,2873
142526,06309912,n,10,the address at which a business is located,
142527,06310017,n,10,a piece of land where waste materials are dumped,1883
142528,06310239,n,10,a holiday resort offering ranch activities (riding and camping),2772
142529,06310359,n,10,(archeology) a mound of domestic refuse containing shells and animal bones marking the site of a prehistoric settlement,2800
142482,06303355,n,10,"the site of an archeological exploration: ""they set up camp next to the dig""",2800
142533,06310975,n,10,the hemisphere that includes Eurasia and Africa and Australia,2772
207443,L3863326,n,9,"the Bacchiadoe, a very ancient royal family of Corinth, descended from Bacchis, one of the Heraclidoe, which, being expelled from the throne by Cypselus, wandered to Sicily, and founded Syracuse",
142534,06311186,n,10,the regions of the world that were known to Europeans before the discovery of the Americas,2772
142535,06311351,n,10,the countries of Asia,2772
142536,06311469,n,10,a popular expression for the countries of eastern Asia (usually including China and Mongolia and Taiwan and Japan and Korea and Indochina and eastern Siberia),2772
142537,06311701,n,10,any region lying in or toward the north,2772
142538,06311854,n,10,any region lying in or toward the south,2772
142539,06311975,n,10,the region of the United States lying north of the Ohio River and east of the Mississippi River,2772
142547,06313535,n,10,(Welsh myth) the other world; land of fairies,1566
142548,06313641,n,10,a beautiful garden where Adam and Eve were placed at the Creation; when they disobeyed and ate the forbidden fruit from the tree of knowledge of good and evil they were driven from their paradise (the fall of man),1566
142551,06314184,n,10,an imaginary place of great wealth and opportunity; sought in South America by 16th-century explorers,"1566,2657"
142555,06314762,n,10,"a boundary marking the extremities of something: ""the end of town""",
142558,06315338,n,10,"the surface at either extremity of a three-dimensional object: ""one end of the box was marked ""This side up""""",
142560,06315687,n,10,"the area in which something exists or lives: ""the country--the flat agricultural surround""",2772
142571,06317549,n,10,"a piece of land cleared of trees and usually enclosed: ""he planted a field of wheat""",
142562,06316112,n,10,"the context and environment in which something is set: ""the perfect setting for a ghost story""",
142574,06318048,n,10,"a piece of land prepared for playing a game: ""the home crowd cheered when Princeton took the field""","1707,2415,2638"
142570,06317328,n,10,"somewhere (away from a studio or office or library or laboratory) where practical work is done or data is collected; ""anthropologists do much of their work in the field""",
142583,06319446,n,10,"the part in the front or nearest the viewer: ""he was in the forefront""; ""he was at the head of the column""",
142531,06310732,n,10,"the range of the eye: ""they were soon out of view""",
142540,06312253,n,10,the southeastern region of the United States,2772
142541,06312372,n,10,the southwestern region of the United States,2772
142542,06312491,n,10,the northeastern region of the United States,2772
142543,06312610,n,10,the northwestern region of the United States,2772
142544,06312748,n,10,the north central region of the United States,2772
142545,06313070,n,10,urban areas in New England and Middle West characterized by concentrations of declining industries (steel or textiles),2772
142549,06313922,n,10,any place of complete bliss and delight and peace,
142550,06314081,n,10,the boundary of a surface,
142552,06314352,n,10,a heavenly place--preaceful and beautiful--where those who are favored by the gods can go when they die,1565
142553,06314548,n,10,fictitious land described in the novel Erewhon by Samuel Butler,"1566,2657"
142554,06314665,n,10,an imaginary realm of marvels or wonders,"1566,2657"
142557,06315235,n,10,a point of termination or completion,
142565,06316649,n,10,the outermost or farthest region or point,
142566,06316818,n,10,the point located farthest from the middle of something,
142567,06316972,n,10,the area between the tee and putting green where the grass is cut short,2871
142568,06317116,n,10,the enchanted realm of fairies,"1566,2657"
142569,06317219,n,10,a rural area where farming is practiced,2772
142572,06317793,n,10,a tract of land cleared for some special purposes (recreation or burial etc.),
142573,06317924,n,10,a field where grass or alfalfa are grown to be made into hay,2772
142575,06318375,n,10,the part of a city where medical facilities are centered,"1820,2232,2772"
142576,06318511,n,10,the middle part of a playing field (as in football or lacrosse),"1707,2415,2638"
142577,06318648,n,10,a line indicating the location of the finish of a race,2638
142578,06318813,n,10,a narrow field that has been cleared to check the spread of a prairie fire or forest fire,
142579,06318970,n,10,the line from which soldiers deliver fire,1781
142580,06319069,n,10,an open-air street market for inexpensive or secondhand articles,2872
142581,06319191,n,10,a street in central London where newspaper offices are situated,"1820,1946"
142582,06319332,n,10,a fixed reference point on the concave side of a conic section,
142584,06319615,n,10,lines through 1st and 3rd base indicating the boundaries of a baseball field,2638
142585,06319747,n,10,a line across a bowling alley that a bowler must not cross,2638
142586,06319861,n,10,a line from which basketball players take penalty shots,2638
142587,06319972,n,10,the lines a baseball player must follow while running the bases,2638
207450,L9248479,n,9,"Boeturia, the north-west part of Hispania Baetica, between the Boetis and Anas",
142588,06320090,n,10,the back line at each end of a tennis court,2638
142590,06320385,n,10,the side that is forward or prominent,
142591,06320533,n,10,the line along which opposing armies face each other,1781
142592,06320683,n,10,an accumulation of refuse and discarded matter,1883
142593,06320865,n,10,a location where toxic wastes have been disposed of (often illegally),1883
142603,06324563,n,10,a line marking each end of the playing field or pitch; where the goals stand,2638
142609,06325475,n,10,"a position to be won or defended in battle (or as if in battle); ""they gained ground step by step""; ""they fought to regain the lost ground""",1781
142610,06325667,n,10,"the type of environment in which an organism or group normally lives or occurs: ""a marine habitat""",2772
142624,06328392,n,10,"any place of pain and turmoil: ""the hell of battle""; ""the inferno of the engine room""; ""when you're alone Christmas is the pits"";",
142635,06329985,n,10,"the peak of a hill: ""the sun set behind the brow of distant hills""",
142627,06328949,n,10,a breeding ground for herons; a heron rookery,"2314,2876"
142631,06329451,n,10,a hiding place; usually a remote place used by outlaws,
142643,06331140,n,10,the angular distance along the celestial equator from the observer's meridian to the hour circle of a given celestial body,2076
142634,06329833,n,10,"a high place: ""they stood on high and observed the coutryside"" or ""he doesn't like heights""",
142594,06321016,n,10,a favorite haunt where people gather,
142597,06323560,n,10,the point on the Earth's surface directly above the focus of an earthquake,2772
142595,06321114,n,10,a place where the wicked are punished after death,1566
142596,06321228,n,10,a demarcated area of the Earth,2772
142599,06323892,n,10,an area of the Earth determined by distribution of flora and fauna,2772
142600,06324045,n,10,a region including the bottom of the sea and the littoral zones,2772
142601,06324198,n,10,a point on the surface of the Earth,2772
142602,06324443,n,10,a residential district of a city in which Jews are required to live,1820
142604,06324695,n,10,a district where gold is mined,1820
142605,06324781,n,10,a field where grain is grown,
142606,06324902,n,10,a circular line on the surface of a sphere formed by intersecting it with a plane passing through the center,2076
142607,06325195,n,10,an area of closely cropped grass surrounding the hole on a golf course,2871
142608,06325352,n,10,a belt of parks or rural land surrounding a town or city,
142611,06325837,n,10,the native habitat or home of an animal or plant,2772
142614,06326331,n,10,a frequently visited place,
142615,06326473,n,10,an area near a fireplace (usually paved and extending out into a room),2446
142616,06326607,n,10,the abode of God and the angels and the souls of those who have gained salvation,1565
142617,06326830,n,10,an area in which game is hunted,2656
142618,06326922,n,10,the lowest region of the ionosphere (35 to 50 miles up) that reflects low-frequency radio waves,2772
142619,06327101,n,10,the highest region of the ionosphere (from 90 to 600 miles up) that contains the highest concentration of free electrons and is most useful for long-range radio transmission,2772
142620,06327375,n,10,a region of the ionosphere (from 50 to 90 miles up) that reflects radio waves of medium length,2772
142623,06328262,n,10,a place of eternal fire envisaged as punishment for the damned,1566
142625,06328609,n,10,half of the terrestrial globe,"2076,2772"
142626,06328786,n,10,the line formed by the lower edge of a skirt or coat,2875
142628,06329048,n,10,the line formed by the lower edge of hip-length garment,2875
142629,06329176,n,10,the line formed by measuring the hip at its greatest part,
142630,06329287,n,10,a predetermined hiding place for the deposit and distribution of illicit goods (such as drugs or stolen property),
142632,06329576,n,10,a place suitable for lurking,
142633,06329664,n,10,a place suitable for hiding something (such as yourself),
142636,06330112,n,10,a sacred place of pilgrimage,1565
142638,06330345,n,10,a spatially constricted by concentrated source (especially of radiation or pollution),
142639,06330489,n,10,the area in which an animal normally ranges,"2314,2876"
142640,06330606,n,10,the line at which the sky and Earth appear to meet,2446
142641,06330795,n,10,the great circle on the celestial sphere whose plane passes through the sensible horizon and the center of the Earth,2076
142642,06330985,n,10,either of two belts or regions near 30N or 30S characterized by calms and light baffling winds,2772
142644,06331319,n,10,a great circle on the celestial sphere that passes through both celestial poles,2076
142621,06327598,n,10,"(in various religions) the world of the dead; ""he didn't want to go to hell when he died""",1566
142646,06331609,n,10,a field where junk is collected and stored for resale,1707
207453,L4728169,n,9,"a small town in Campania, on the coast between Cumoe and Puteoli, a favorite resort of the Romans on account of its warm baths and pleasant situation",2775
142647,06331717,n,10,the jurisdiction of a justiciar,"1802,1820"
142648,06331805,n,10,a place said to exist in religious or fictional writings,"1566,2657"
142649,06332265,n,10,a district that is reserved for particular purpose,1820
142650,06332419,n,10,a reservation set aside for the use of indians,1820
142666,06334762,n,10,in law; the territory within which power can be exercised,"1802,1820"
142673,06336080,n,10,"(baseball) the position taken by a base runner preparing to advance to the next base; ""he took a long lead off first""",2871
142700,06340609,n,10,either of two points where the lines of force of the Earth's magnetic field are vertical,2772
142684,06338089,n,10,in games or sports; a mark indicating positions or bounds of the playing area,2638
142658,06333474,n,10,"the location of something surrounded by other things: ""in the midst of the crowd""",
142659,06333615,n,10,the outer region of the Earth's atmosphere; contains a high concentration of free electrons,
142651,06332530,n,10,a reservation where animals are protected,1820
142652,06332644,n,10,a preserve on which hunting is permitted during certain months of the year,1820
142654,06332930,n,10,a tract at a distance from city center that is designed for a community of businesses and factories,1787
142655,06333091,n,10,the inner or enclosed surface of something,
142656,06333215,n,10,the region that is inside of something,
142657,06333371,n,10,the interior part of a country,"1820,2772"
142660,06333839,n,10,a region that is related ethnically or historically to one country but is controlled politically by another,1718
142661,06334014,n,10,an isogram connecting points having equal barometric pressure at a given time,2091
142662,06334144,n,10,an isogram connecting points at which something occurs or arrives at the same time,2091
142663,06334282,n,10,a line drawn on a map connecting points having the same numerical value of some variable,2091
142664,06334518,n,10,an isogram connecting points receiving equal amounts of sunshine,2091
142665,06334635,n,10,an isogram connecting points having the same temperature at a given time,2091
142668,06335258,n,10,a country with a king as head of state,1820
142669,06335368,n,10,the habitation of wild animals,2772
142670,06335455,n,10,a place for launching pads,
142671,06335561,n,10,a field of cultivated and mowed grass,
142672,06335649,n,10,a relatively thin sheetlike expanse or region lying over or under another,
142674,06336248,n,10,the side of something that is sheltered from the wind,
142676,06336501,n,10,(theology) the abode of infants who die before baptism,1608
142677,06336607,n,10,an imaginary place for lost or neglected things,"1566,2657"
142678,06336706,n,10,the boundary of a specific area,
142679,06336894,n,10,the limit on the upper (or northernmost) side of something,
142680,06337010,n,10,the limit on the lower (or southernmost) side of something,
142681,06337126,n,10,a mathematical value toward which a function goes as the independent variable approaches infinity,
142682,06337331,n,10,as far as something can go,
142683,06337463,n,10,a spatial location defined by a real or imaginary unidimensional extent,
142686,06338689,n,10,place where airplanes are parked,1942
142687,06338779,n,10,a line formed by troops or ships prepared to deliver or receive an attack,1781
142688,06338932,n,10,(military) the part of the line of battle that projects closest to the enemy,1781
142689,06339081,n,10,the line along which warring troops meet,1781
142690,06339179,n,10,the path along which a freely moving object travels through the air,
142691,06339307,n,10,the route along which a column advances,
142692,06339406,n,10,a straight line along which an observer looks,
142694,06339699,n,10,an imaginary line around the Earth parallel to the equator,2772
142695,06339919,n,10,an imaginary line around the moon parallel to its equator,2076
142696,06340037,n,10,the region of the shore of a lake or sea or ocean,2121
142697,06340175,n,10,a stop where carriers can be loaded and unloaded,
142698,06340297,n,10,waterlines to show the level the water should reach when the ship is properly loaded,
142699,06340480,n,10,an elevated post affording a wide view,
142701,06340757,n,10,a cross-shaped monument set up in the marketplace of a town where public business is often conducted,1707
142702,06340916,n,10,the point on a curve where the tangent changes from positive on the left to negative on the right,
142675,06336372,n,10,an imaginary land inhabited by tiny people (in Swift's Gulliver's Travels),"1566,2657"
207475,L7419111,n,9,"Polyb., a people in Hispania Tarraconensis, near the Pyrenees",
142703,06341085,n,10,land where grass or grasslike vegetation grows,2772
142705,06341405,n,10,an environment in which many ideas and races are socially assimilated,1675
142708,06341994,n,10,a meridian from which east and west are reckoned (usually the Greenwich (England) longitude),"2076,2772"
142709,06342147,n,10,an imaginary line passing through both magnetic poles of the Earth,"2076,2772"
142710,06342277,n,10,an imaginary line on the surface of the earth following (approximately) the 180th meridian,"2076,2772"
142711,06342460,n,10,one of a networks of observation posts where meteorological data is recorded,2446
142719,06343701,n,10,the first national park in the United States; located in Wyoming; famous for Old Faithful geyser and for buffalo and bears,
142713,06342759,n,10,the abode of humans in Norse mythology,1566
142726,06344615,n,10,the celestial pole above the northern hemisphere; near Polaris,2076
142738,06346269,n,10,"where the air is unconfined: ""he wanted to get out in the air a little""; ""the concert was held in the open air""; ""camping in the open""",
142731,06345333,n,10,a circular orbit around the Earth having a period of 24 hours; a satellite in such an orbit will be stationary relative to the Earth,
142748,06347607,n,10,"a large area of land preserved in its natural state as public property: ""there are laws that protect the wildlife in this park""",2772
142749,06347803,n,10,"a piece of open land for recreational use in an urban area: ""they went for a walk in the park""","1707,2600"
142712,06342632,n,10,"some point in the air; above ground level: ""the planes collided in midair""",
142752,06348260,n,10,"the local environment: ""he hasn't been seen around these parts in years""",
142707,06341876,n,10,a meridian that passes through the observer's zenith,"2076,2772"
142714,06342851,n,10,the point on a curve where the tangent changes from negative on the left to positive on the right,
142715,06343020,n,10,an important site that is marked and preserved as public property,1707
142717,06343300,n,10,the point below the observer that is directly opposite the zenith on the imaginary sphere against which celestial bodies appear to be projected,2076
142718,06343532,n,10,a tract of land declared by the national government to be public property,2772
142720,06343914,n,10,a national park in California famous for its waterfalls and rock formations,
142721,06344077,n,10,the center point or middle of something,2066
142722,06344182,n,10,a place suitable for nesting,
142723,06344270,n,10,a pleasing country existing only in dreams or imagination,"1566,2657"
142724,06344415,n,10,an unoccupied area between opposing armies,
142725,06344533,n,10,the center point on a shield,2066
142727,06344744,n,10,the hemisphere north of the equator,2772
142729,06345001,n,10,the country of origin of an immigrant,1820
142732,06345554,n,10,the line that appears to bound an object,
142733,06345702,n,10,the outline of a coast,
142734,06345780,n,10,a side view representation of an object (especially a human face),
142735,06345899,n,10,an outline of a solid object (as cast by its shadow),
142736,06346008,n,10,the outer side or surface of something,
142737,06346129,n,10,the region that is outside of something,
142739,06346497,n,10,a station in a remote or sparsely populated location,
142740,06346616,n,10,a high place affording a good view,
142741,06346705,n,10,an irrigated or flooded field where rice is grown,
142743,06347021,n,10,an area for holding parades,2600
142744,06347108,n,10,an open area for holding fairs or exhibitions or circuses,2600
142745,06347222,n,10,the place at a fair or carnival where sideshows and similar amusements are located,2600
142746,06347376,n,10,a tract of ground free of obstacles to movement,
142747,06347477,n,10,the local subdivision of a diocese committed to one pastor,"1707,1802,1820"
142750,06348048,n,10,a lot where cars are parked,1707
142751,06348159,n,10,a space where an automobile can be parked,
142753,06348384,n,10,a field covered with grass or herbage and suitable for grazing by livestock,2772
142754,06348591,n,10,an established line of travel or access,
142756,06349144,n,10,a diagonal path,
142757,06349214,n,10,a route over which supplies can be delivered,
142758,06349331,n,10,the path of a missile discharged from a firearm,
142759,06349437,n,10,the geographic route along which birds customarily migrate,
142760,06349566,n,10,the usual course taken by vessels through a harbor or costal waters,
142761,06349687,n,10,the jurisdiction of a patriarch,"1802,1820"
142728,06344902,n,10,the northernmost point of the Earth's axis,2772
207486,L5102972,n,9,"a German tribe which became known to the Romans very early, whose abode extended from the sources of the Vistula to the Carpates, and from the Lower Danube to its mouth",
142763,06350041,n,10,(astronomy) the point in as orbit closest to the body being orbited,2076
142766,06350649,n,10,periapsis in orbit around Jupiter,2076
142767,06350755,n,10,periapsis in orbit around the moon,2076
142768,06350893,n,10,a breeding ground for epidemic disease,"2314,2876"
142769,06350986,n,10,a tract of land set aside for picnicking,2600
142770,06351100,n,10,a lofty peak,
142771,06351167,n,10,a treeless grassy plain,2772
142772,06351262,n,10,an open area at the meeting of two or more streets,1707
142774,06351572,n,10,an area where tollbooths are located,1707
142776,06352296,n,10,point of contact between two objects or parts,
142779,06352758,n,10,the place where people vote,1718
142778,06352576,n,10,one of two points of intersection of the Earth's axis and the celestial sphere,2076
142791,06354990,n,10,the part of the stage on the actor's right,2610
142780,06352837,n,10,"the particular portion of space occupied by a physical object: ""he put the lamp back in its place""",
142785,06353917,n,10,"the physical position of something: ""he changed the setting on the thermostat""",
142795,06355691,n,10,"the part of something that is nearest to the normal viewer: ""he walked to the front of the stage""",
142793,06355345,n,10,the part of the stage on the actor's left,2610
142789,06354584,n,10,"the position of a prominent or well-known object in a particular landscape; ""the church steeple provided a convenient landmark""",
142773,06351418,n,10,"a public square with room for pedestrians: ""they met at Elm Plaza""; ""Grosvenor Place""",1707
142792,06355123,n,10,"location near or direction toward the left side; i.e. the side to the north when a person or object faces east: ""she stood on the left""",
142800,06356389,n,10,"land and buildings together considered as a place of business: ""bread is baked on the premises""",
142807,06357319,n,10,"a district of a city having some distinguishing character: ""the Latin Quarter""","1707,1820"
142808,06357451,n,10,"a circular region whose area is indicated by the length of its radius: ""they located it within a radius of 2 miles""",
142809,06357619,n,10,"the limits within which something can be effective: ""he was beyond the range of their fire""",
142811,06358061,n,10,"the limits of the values a function can take: ""the range of this function is the interval from 0 to 1""",2873
142812,06358233,n,10,"the side of an object that is opposite its front: ""his room was toward the rear of the hotel""",
142815,06358701,n,10,"the extended spatial location of something: ""the farming regions of France""; ""religions in all parts of the world""; ""regions of outer space""",
142817,06359911,n,10,"any two places or regions on diametrically opposite sides of the Earth: ""the North Pole and the South Pole are antipodes""",2772
142818,06360088,n,10,"the distance that a rifle bullet will carry: ""the target was out of rifle range""",
142819,06360239,n,10,"an unknown and unexplored region: ""they came like angels out the unknown""",2772
142822,06360712,n,10,a line on a sphere that cuts all meridians at the same angle; the path taken by a ship or plane that maintains a constant compass direction,
142782,06353479,n,10,a point occupied by troops for tactical reasons,1781
142783,06353637,n,10,(astronomy) position of a planet as defined by its angular distance from its perihelion (as observed from the sun),2076
142777,06352396,n,10,one of two antipodal points where the Earth's axis of rotation intersects the Earth's surface,2772
142784,06353805,n,10,physical position in relation to the surroundings,
142786,06354049,n,10,position or manner in which something is situated,
142796,06355858,n,10,an urban district having corporate status and powers of self-government,"1707,1820,2772"
142797,06356061,n,10,an elevated place serving as a seat,
142798,06356148,n,10,a cemetery for unknown or indigent people,"1565,1707"
142799,06356250,n,10,the district administered by a prefect (as in France or Japan or the Roman Empire),1820
142801,06356539,n,10,the goal towards which Christians strive,1565
142802,06356639,n,10,a territory controlled by (but not a possession of) a stronger state,1820
142803,06356766,n,10,(theology) a place where Roman Catholics think those who have died in a state of grace undergo limited torment to expiate their sins,1608
142804,06356954,n,10,the area enclosed by two perpendicular radii of a circle,
142805,06357065,n,10,any of the four areas into which a plane is divided by two orthogonal coordinate axes,
142806,06357205,n,10,a quarter of the circumference of a circle,2066
142814,06358593,n,10,a line that is colored red bisects an ice hockey rink,2638
142820,06360401,n,10,an area where troops and equipment in transit are assembled before a military operation,
142781,06353358,n,10,"the appropriate or customary location: ""the cars were in position""",
